Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Total,14848,28118,42966,Kangyidaunt,MMR017002
 Urban,2500,1450,3950,Kyaungon,MMR017007
 Rural,18069,19383,37452,Kyaungon,MMR017007
 Total,20569,20833,41402,Kyaungon,MMR017007
 Urban,3987,2012,5999,Kyonpyaw,MMR017005
 Rural,31193,22296,53489,Kyonpyaw,MMR017005
 Total,35180,24308,59488,Kyonpyaw,MMR017005
 Urban,878,1663,2541,Ngaputaw,MMR017004
 Rural,5632,29203,34835,Ngaputaw,MMR017004
 Total,6510,30866,37376,Ngaputaw,MMR017004
 Urban,21904,15537,37441,Pathein,MMR017001
 Rural,11188,17407,28595,Pathein,MMR017001
 Total,33092,32944,66036,Pathein,MMR017001
 Urban,1851,915,2766,Yekyi,MMR017006
 Rural,13467,11569,25036,Yekyi,MMR017006
 Total,15318,12484,27802,Yekyi,MMR017006
 Urban,655,1085,1740,Thapaung,MMR017003
 Rural,6171,29326,35497,Thapaung,MMR017003
 Total,6826,30411,37237,Thapaung,MMR017003
 Urban,226,607,833,Ngayokaung(ST),MMR017004
 Rural,827,8541,9368,Ngayokaung(ST),MMR017004
 Total,1053,9148,10201,Ngayokaung(ST),MMR017004
 Urban,812,2737,3549,Hainggyikyun(ST),MMR017004
 Rural,3452,22074,25526,Hainggyikyun(ST),MMR017004
 Total,4264,24811,29075,Hainggyikyun(ST),MMR017004
 Urban,238,581,819,Shwethaungyan(ST),MMR017001
 Rural,1967,7395,9362,Shwethaungyan(ST),MMR017001
 Total,2205,7976,10181,Shwethaungyan(ST),MMR017001
 Urban,604,2071,2675,Ngwehsaung(ST),MMR017001
 Rural,1399,5396,6795,Ngwehsaung(ST),MMR017001
 Total,2003,7467,9470,Ngwehsaung(ST),MMR017001
 Urban,2532,2065,4597,Ngathaingchaung(ST),MMR017006
 Rural,7344,10972,18316,Ngathaingchaung(ST),MMR017006
 Total,9876,13037,22913,Ngathaingchaung(ST),MMR017006
 Urban,2886,2531,5417,Kyaiklatt,MMR017025
 Rural,7049,31282,38331,Kyaiklatt,MMR017025
 Total,9935,33813,43748,Kyaiklatt,MMR017025
 Urban,2174,1392,3566,Daydaye,MMR017026
 Rural,6855,38189,45044,Daydaye,MMR017026
 Total,9029,39581,48610,Daydaye,MMR017026
 Urban,5045,5009,10054,Phyapon,MMR017023
 Rural,5575,26001,31576,Phyapon,MMR017023
 Total,10620,31010,41630,Phyapon,MMR017023
 Urban,5656,4459,10115,Bogale,MMR017024
 Rural,8753,57119,65872,Bogale,MMR017024
 Total,14409,61578,75987,Bogale,MMR017024
 Urban,301,476,777,Ahmar(ST),MMR017023
 Rural,3375,23634,27009,Ahmar(ST),MMR017023
 Total,3676,24110,27786,Ahmar(ST),MMR017023
 Urban,3846,2054,5900,Nyaungdon,MMR017021
 Rural,18891,26410,45301,Nyaungdon,MMR017021
 Total,22737,28464,51201,Nyaungdon,MMR017021
 Urban,3550,1630,5180,Danubyu,MMR017022
 Rural,20945,18672,39617,Danubyu,MMR017022
 Total,24495,20302,44797,Danubyu,MMR017022
 Urban,2928,1364,4292,Pantanaw,MMR017020
 Rural,28748,27237,55985,Pantanaw,MMR017020
 Total,31676,28601,60277,Pantanaw,MMR017020
 Urban,6081,3056,9137,Maubin,MMR017019
 Rural,20932,41735,62667,Maubin,MMR017019
 Total,27013,44791,71804,Maubin,MMR017019
 Urban,8213,4300,12513,Myaungmya,MMR017014
 Rural,13307,40352,53659,Myaungmya,MMR017014
 Total,21520,44652,66172,Myaungmya,MMR017014
 Urban,2883,2422,5305,Wakema,MMR017017
 Rural,17924,44219,62143,Wakema,MMR017017
 Total,20807,46641,67448,Wakema,MMR017017
 Urban,1998,1048,3046,Einme,MMR017015
 Rural,15327,28082,43409,Einme,MMR017015
 Total,17325,29130,46455,Einme,MMR017015
 Urban,4026,3557,7583,Mawlamyinegyun,MMR017018
 Rural,12027,55276,67303,Mawlamyinegyun,MMR017018
 Total,16053,58833,74886,Mawlamyinegyun,MMR017018
 Urban,3907,3296,7203,Labutta,MMR017016
 Rural,5411,42532,47943,Labutta,MMR017016
 Total,9318,45828,55146,Labutta,MMR017016
 Urban,47,454,501,Pyinsalu(ST),MMR017016
 Rural,2584,17352,19936,Pyinsalu(ST),MMR017016
 Total,2631,17806,20437,Pyinsalu(ST),MMR017016
 Urban,3861,1445,5306,Kyangin,MMR017012
 Rural,12306,9245,21551,Kyangin,MMR017012
 Total,16167,10690,26857,Kyangin,MMR017012
 Urban,3275,1982,5257,Zalun,MMR017009
 Rural,18214,18602,36816,Zalun,MMR017009
 Total,21489,20584,42073,Zalun,MMR017009
 Urban,4359,1690,6049,Myanaung,MMR017011
 Rural,34051,19820,53871,Myanaung,MMR017011
 Total,38410,21510,59920,Myanaung,MMR017011
 Urban,468,302,770,Laymyethna,MMR017010
 Rural,11327,14147,25474,Laymyethna,MMR017010
 Total,11795,14449,26244,Laymyethna,MMR017010
 Urban,13175,6654,19829,Hinthada,MMR017008
 Rural,39756,26544,66300,Hinthada,MMR017008
 Total,52931,33198,86129,Hinthada,MMR017008
 Urban,2499,1079,3578,Ingapu,MMR017013
 Rural,30112,23539,53651,Ingapu,MMR017013
 Total,32611,24618,57229,Ingapu,MMR017013
 Urban,6408,2738,9146,Tatkon,MMR018003
 Rural,12772,29829,42601,Tatkon,MMR018003
 Total,19180,32567,51747,Tatkon,MMR018003
 Urban,2190,6056,8246,Zeyarthiri,MMR018001
 Rural,6249,11580,17829,Zeyarthiri,MMR018001
 Total,8439,17636,26075,Zeyarthiri,MMR018001
 Urban,1204,3691,4895,Ottarathiri,MMR018008
 Rural,1901,11865,13766,Ottarathiri,MMR018008
 Total,3105,15556,18661,Ottarathiri,MMR018008
 Urban,3734,6514,10248,Pobbathiri,MMR018005
 Rural,5506,11862,17368,Pobbathiri,MMR018005
 Total,9240,18376,27616,Pobbathiri,MMR018005
 Urban,7539,6917,14456,Pyinmana,MMR018006
 Rural,11349,13858,25207,Pyinmana,MMR018006
 Total,18888,20775,39663,Pyinmana,MMR018006
 Urban,3812,2311,6123,Lewe,MMR018007
 Rural,17831,41220,59051,Lewe,MMR018007
 Total,21643,43531,65174,Lewe,MMR018007
 Urban,6085,18637,24722,Zabuthiri,MMR018002
 Rural,693,905,1598,Zabuthiri,MMR018002
 Total,6778,19542,26320,Zabuthiri,MMR018002
 Urban,338,570,908,Dekkhinathiri,MMR018004
 Rural,2171,3918,6089,Dekkhinathiri,MMR018004
 Total,2509,4488,6997,Dekkhinathiri,MMR018004
 Urban,1430775,1618658,3049433,Dekkhinathiri,MMR018004
 Rural,2477777,5350622,7828399,Dekkhinathiri,MMR018004
 Total,3908552,6969280,10877832,Dekkhinathiri,MMR018004
