Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
 Rural,324,20107,20431
 Total,395,21505,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1359,24362,25721
 Rural,1626,45422,47048
 Total,2985,69784,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,43,1910,1953
 Rural,452,9330,9782
 Total,495,11240,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,82,754,836
 Rural,476,20746,21222
 Total,558,21500,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,737,8252,8989
 Rural,66,2931,2997
 Total,803,11183,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,10,298,308
 Rural,76,2713,2789
 Total,86,3011,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,80,2758,2838
 Rural,122,4548,4670
 Total,202,7306,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,28,1796,1824
 Rural,171,8350,8521
 Total,199,10146,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,87,1855,1942
 Rural,311,17993,18304
 Total,398,19848,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,42,2141,2183
 Rural,124,5054,5178
 Total,166,7195,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,187,3388,3575
 Rural,1102,31066,32168
 Total,1289,34454,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,253,253
 Rural,8,1395,1403
 Total,8,1648,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5,533,538
 Rural,20,6419,6439
 Total,25,6952,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,9,366,375
 Rural,12,1181,1193
 Total,21,1547,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2,208,210
 Rural,1,99,100
 Total,3,307,310
NotApp :,2,*,*
