Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,62,3509,3571
 Rural,98,14856,14954
 Total,160,18365,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,17,1109,1126
 Rural,110,18693,18803
 Total,127,19802,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,13,1198,1211
 Rural,25,5892,5917
 Total,38,7090,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,272,12308,12580
 Rural,140,12761,12901
 Total,412,25069,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,22,1025,1047
 Rural,34,7795,7829
 Total,56,8820,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,2334,2355
 Rural,13,2497,2510
 Total,34,4831,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,9,706,715
 Rural,3,2386,2389
 Total,12,3092,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,281,286
 Rural,8,3468,3476
 Total,13,3749,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2325,52567,54892
 Rural,603,51637,52240
 Total,2928,104204,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,118,3511,3629
 Rural,73,28825,28898
 Total,191,32336,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
