Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
AREA # 040301,Mindat,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,95,2248,2343
 Rural,678,5501,6179
 Total,773,7749,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,41,1629,1670
 Rural,810,5156,5966
 Total,851,6785,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,807,807
 Rural,266,2904,3170
 Total,266,3711,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,1350,1350
 Rural,100,11843,11943
 Total,100,13193,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,57,405,462
 Rural,742,1317,2059
 Total,799,1722,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,10,623,633
 Rural,401,5189,5590
 Total,411,5812,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,191,16305,16496
 Rural,20334,28313,48647
 Total,20525,44618,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,114,3517,3631
 Rural,12501,9172,21673
 Total,12615,12689,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,239,1714,1953
 Rural,10395,11914,22309
 Total,10634,13628,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,237,13294,13531
 Rural,10448,26268,36716
 Total,10685,39562,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,198,2093,2291
 Rural,14946,15387,30333
 Total,15144,17480,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,162,2144,2306
 Rural,20943,23463,44406
 Total,21105,25607,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1305,3878,5183
 Rural,33630,22513,56143
 Total,34935,26391,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,549,1950,2499
 Rural,11578,6786,18364
 Total,12127,8736,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,133,3832,3965
 Rural,11076,11332,22408
 Total,11209,15164,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,100,855,955
 Rural,14175,15215,29390
 Total,14275,16070,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,429,2543,2972
 Rural,19112,13853,32965
 Total,19541,16396,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,218,2088,2306
 Rural,2595,2149,4744
 Total,2813,4237,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,496,39910,40406
 Rural,10215,25341,35556
 Total,10711,65251,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,98,1095,1193
 Rural,14244,13179,27423
 Total,14342,14274,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,305,1850,2155
 Rural,14215,19221,33436
 Total,14520,21071,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1005,4076,5081
 Rural,7460,10835,18295
 Total,8465,14911,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,288,4975,5263
 Rural,14750,11948,26698
 Total,15038,16923,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,202,1640,1842
 Rural,14116,7272,21388
 Total,14318,8912,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,302,2768,3070
 Rural,13871,9448,23319
 Total,14173,12216,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,149,1063,1212
 Rural,10675,6981,17656
 Total,10824,8044,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,87,4482,4569
 Rural,14976,11858,26834
 Total,15063,16340,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,340,2250,2590
 Rural,6529,5086,11615
 Total,6869,7336,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,177,1292,1469
 Rural,13786,6645,20431
 Total,13963,7937,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1201,24520,25721
 Rural,19020,28028,47048
 Total,20221,52548,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,36,1917,1953
 Rural,5278,4504,9782
 Total,5314,6421,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,100,736,836
 Rural,14877,6345,21222
 Total,14977,7081,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
