Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,43,5038,5081
 Rural,294,18001,18295
 Total,337,23039,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,146,5117,5263
 Rural,6328,20370,26698
 Total,6474,25487,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,3,1839,1842
 Rural,508,20880,21388
 Total,511,22719,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,254,2816,3070
 Rural,4144,19175,23319
 Total,4398,21991,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,1212,1212
 Rural,28,17628,17656
 Total,28,18840,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,4567,4569
 Rural,483,26351,26834
 Total,485,30918,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,2590,2590
 Rural,5,11610,11615
 Total,5,14200,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,1467,1469
 Rural,11,20420,20431
 Total,13,21887,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,48,25673,25721
 Rural,837,46211,47048
 Total,885,71884,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,51,1902,1953
 Rural,1803,7979,9782
 Total,1854,9881,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,125,711,836
 Rural,1866,19356,21222
 Total,1991,20067,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,15,8974,8989
 Rural,164,2833,2997
 Total,179,11807,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,306,308
 Rural,17,2772,2789
 Total,19,3078,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,2838,2838
 Rural,78,4592,4670
 Total,78,7430,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,313,1511,1824
 Rural,1329,7192,8521
 Total,1642,8703,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,524,1418,1942
 Rural,2420,15884,18304
 Total,2944,17302,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,191,1992,2183
 Rural,593,4585,5178
 Total,784,6577,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,319,3256,3575
 Rural,5971,26197,32168
 Total,6290,29453,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,3,250,253
 Rural,19,1384,1403
 Total,22,1634,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,538,538
 Rural,1,6438,6439
 Total,1,6976,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,374,375
 Rural,3,1190,1193
 Total,4,1564,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,23,187,210
 Rural,3,97,100
 Total,26,284,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,286,286
 Rural,-,908,908
 Total,-,1194,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,338,338
 Rural,6,2005,2011
 Total,6,2343,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,1,3753,3754
 Total,1,3922,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,1077,1077
 Rural,332,28123,28455
 Total,332,29200,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,1222,1222
 Rural,632,24613,25245
 Total,632,25835,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,931,931
 Rural,82,31349,31431
 Total,82,32280,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,73,1065,1138
 Rural,993,27092,28085
 Total,1066,28157,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,118,15264,15382
 Rural,260,9301,9561
 Total,378,24565,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,5,1235,1240
 Rural,190,24305,24495
 Total,195,25540,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,2403,2407
 Rural,382,20085,20467
 Total,386,22488,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,7,1070,1077
 Rural,206,20790,20996
 Total,213,21860,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,16,480,496
 Rural,19,3675,3694
 Total,35,4155,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,9,615,624
 Rural,16,3637,3653
 Total,25,4252,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,256,21292,21548
 Rural,966,31835,32801
 Total,1222,53127,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,18,1124,1142
 Rural,2500,29346,31846
 Total,2518,30470,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,63,3508,3571
 Rural,386,14568,14954
 Total,449,18076,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,220,906,1126
 Rural,1037,17766,18803
 Total,1257,18672,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,17,1194,1211
 Rural,194,5723,5917
 Total,211,6917,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,203,12377,12580
 Rural,590,12311,12901
 Total,793,24688,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,37,1010,1047
 Rural,478,7351,7829
 Total,515,8361,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,64,2291,2355
 Rural,133,2377,2510
 Total,197,4668,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,25,690,715
 Rural,126,2263,2389
 Total,151,2953,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,285,286
 Rural,464,3012,3476
 Total,465,3297,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,411,54481,54892
 Rural,1567,50673,52240
 Total,1978,105154,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,188,3441,3629
 Rural,4484,24414,28898
 Total,4672,27855,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,47,4207,4254
 Rural,3290,38531,41821
 Total,3337,42738,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,96,4950,5046
 Rural,3849,28188,32037
 Total,3945,33138,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,431,12631,13062
 Rural,1891,29809,31700
 Total,2322,42440,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,6872,6873
 Rural,459,44316,44775
 Total,460,51188,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,94,8646,8740
 Rural,2811,34202,37013
 Total,2905,42848,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,256,4609,4865
 Rural,1758,15159,16917
 Total,2014,19768,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,43,21857,21900
 Rural,301,35259,35560
 Total,344,57116,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,5955,5955
 Rural,320,44252,44572
 Total,320,50207,50527
NotApp :,460,*,*
