Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total
 Total,1208,7668,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,134,2221,2355
 Rural,476,2034,2510
 Total,610,4255,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,67,648,715
 Rural,133,2256,2389
 Total,200,2904,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,15,271,286
 Rural,245,3231,3476
 Total,260,3502,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,29680,25212,54892
 Rural,19890,32350,52240
 Total,49570,57562,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1870,1759,3629
 Rural,9515,19383,28898
 Total,11385,21142,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1852,2402,4254
 Rural,14839,26982,41821
 Total,16691,29384,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3092,1954,5046
 Rural,13471,18566,32037
 Total,16563,20520,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8286,4776,13062
 Rural,16739,14961,31700
 Total,25025,19737,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4769,2104,6873
 Rural,26584,18191,44775
 Total,31353,20295,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6278,2462,8740
 Rural,16504,20509,37013
 Total,22782,22971,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2037,2828,4865
 Rural,3767,13150,16917
 Total,5804,15978,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,14846,7054,21900
 Rural,14560,21000,35560
 Total,29406,28054,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3402,2553,5955
 Rural,12555,32017,44572
 Total,15957,34570,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1529,729,2258
 Rural,9816,10809,20625
 Total,11345,11538,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,9118,4709,13827
 Rural,22364,18740,41104
 Total,31482,23449,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1817,1392,3209
 Rural,13261,20400,33661
 Total,15078,21792,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
