Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,21,2,23
 Bungalow/Brick house,45,51,96
 Semi-pacca house,142,159,301
 Wooden house,1080,2194,3274
 Bamboo,1168,4179,5347
 Hut 2 - 3 years,23,281,304
 Hut 1 year,8,115,123
 Other,3,22,25
 Total,2490,7003,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5913,-,5913
 Bungalow/Brick house,175,-,175
 Semi-pacca house,13,-,13
 Wooden house,8,-,8
 Hut 2 - 3 years,2,-,2
 Other,9,-,9
 Total,6120,-,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5847,-,5847
 Bungalow/Brick house,468,-,468
 Semi-pacca house,229,-,229
 Wooden house,10,-,10
 Hut 2 - 3 years,1,-,1
 Hut 1 year,1,-,1
 Other,7,-,7
 Total,6563,-,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,7699,-,7699
 Bungalow/Brick house,396,-,396
 Semi-pacca house,188,-,188
 Wooden house,247,-,247
 Bamboo,33,-,33
 Hut 2 - 3 years,16,-,16
 Hut 1 year,6,-,6
 Other,14,-,14
 Total,8599,-,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3976,-,3976
 Bungalow/Brick house,364,-,364
 Semi-pacca house,79,-,79
 Wooden house,54,-,54
 Total,4473,-,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,7556,-,7556
 Bungalow/Brick house,531,-,531
 Semi-pacca house,652,-,652
 Wooden house,1770,-,1770
 Bamboo,366,-,366
 Hut 2 - 3 years,12,-,12
 Hut 1 year,11,-,11
 Other,45,-,45
 Total,10943,-,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8522,-,8522
 Bungalow/Brick house,1514,-,1514
 Semi-pacca house,1687,-,1687
 Wooden house,7761,-,7761
 Bamboo,3064,-,3064
 Hut 2 - 3 years,60,-,60
 Hut 1 year,31,-,31
 Other,423,-,423
 Total,23062,-,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15372,-,15372
 Bungalow/Brick house,964,-,964
 Semi-pacca house,1585,-,1585
 Wooden house,2607,-,2607
 Bamboo,22,-,22
 Hut 2 - 3 years,39,-,39
 Hut 1 year,10,-,10
 Other,36,-,36
 Total,20635,-,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17803,-,17803
 Bungalow/Brick house,2665,-,2665
 Semi-pacca house,3494,-,3494
 Wooden house,7969,-,7969
 Bamboo,538,-,538
 Hut 2 - 3 years,52,-,52
 Hut 1 year,41,-,41
 Other,275,-,275
 Total,32837,-,32837
NotApp :,851,*,*
AREA # 120409,Kamayut,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,12239,-,12239
 Bungalow/Brick house,1353,-,1353
 Semi-pacca house,1051,-,1051
 Wooden house,1444,-,1444
 Bamboo,139,-,139
 Hut 2 - 3 years,15,-,15
 Hut 1 year,17,-,17
 Other,41,-,41
 Total,16299,-,16299
NotApp :,1002,*,*
AREA # 120410,Mayangon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11020,-,11020
 Bungalow/Brick house,5069,-,5069
 Semi-pacca house,6806,-,6806
 Wooden house,14141,-,14141
 Bamboo,1315,-,1315
 Hut 2 - 3 years,157,-,157
 Hut 1 year,73,-,73
 Other,226,-,226
 Total,38807,-,38807
NotApp :,891,*,*
AREA # 120411,Dagon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3547,-,3547
 Bungalow/Brick house,250,-,250
 Semi-pacca house,196,-,196
 Wooden house,472,-,472
 Bamboo,38,-,38
 Hut 2 - 3 years,43,-,43
 Hut 1 year,9,-,9
 Other,53,-,53
 Total,4608,-,4608
NotApp :,176,*,*
AREA # 120412,Bahan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8336,-,8336
 Bungalow/Brick house,2769,-,2769
 Semi-pacca house,2688,-,2688
 Wooden house,3305,-,3305
 Bamboo,193,-,193
 Hut 2 - 3 years,22,-,22
 Hut 1 year,26,-,26
 Other,87,-,87
 Total,17426,-,17426
NotApp :,1076,*,*
AREA # 120413,Seikkan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,175,-,175
 Bungalow/Brick house,121,-,121
 Semi-pacca house,38,-,38
 Wooden house,53,-,53
 Bamboo,6,-,6
 Hut 2 - 3 years,3,-,3
 Hut 1 year,5,-,5
 Other,9,-,9
 Total,410,-,410
NotApp :,67,*,*
AREA # 130101,Taunggyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4365,396,4761
 Bungalow/Brick house,17389,5499,22888
 Semi-pacca house,8015,2677,10692
 Wooden house,10576,3673,14249
 Bamboo,15575,13291,28866
 Hut 2 - 3 years,275,219,494
 Hut 1 year,133,63,196
 Other,320,138,458
 Total,56648,25956,82604
NotApp :,922,*,*
AREA # 130102,Nyaungshwe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,68,67,135
 Bungalow/Brick house,677,2399,3076
 Semi-pacca house,397,2566,2963
 Wooden house,1175,17664,18839
 Bamboo,665,16272,16937
 Hut 2 - 3 years,27,287,314
 Hut 1 year,6,162,168
 Other,44,158,202
 Total,3059,39575,42634
NotApp :,550,*,*
AREA # 130103,Hopon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,261,156,417
 Bungalow/Brick house,1676,1743,3419
 Semi-pacca house,800,1623,2423
 Wooden house,238,4759,4997
 Bamboo,1512,11792,13304
 Hut 2 - 3 years,35,62,97
 Hut 1 year,5,39,44
 Other,9,18,27
 Total,4536,20192,24728
NotApp :,246,*,*
AREA # 130104,Hsihseng,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,208,257,465
 Bungalow/Brick house,488,2914,3402
 Semi-pacca house,161,2039,2200
 Wooden house,1200,8681,9881
 Bamboo,533,15667,16200
 Hut 2 - 3 years,43,147,190
 Hut 1 year,8,34,42
 Other,8,383,391
 Total,2649,30122,32771
NotApp :,323,*,*
AREA # 130105,Kalaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,803,640,1443
 Bungalow/Brick house,4214,7314,11528
 Semi-pacca house,1407,3611,5018
 Wooden house,2173,3817,5990
 Bamboo,3681,11898,15579
 Hut 2 - 3 years,149,258,407
 Hut 1 year,60,34,94
 Other,111,1171,1282
 Total,12598,28743,41341
NotApp :,409,*,*
AREA # 130106,Pindaya,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,21,12,33
 Bungalow/Brick house,1347,6283,7630
 Semi-pacca house,384,2761,3145
 Wooden house,131,1162,1293
 Bamboo,372,4968,5340
 Hut 2 - 3 years,-,67,67
 Hut 1 year,1,17,18
 Other,3,15,18
 Total,2259,15285,17544
NotApp :,214,*,*
AREA # 130107,Ywarngan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,4,27
 Bungalow/Brick house,509,4330,4839
 Semi-pacca house,245,2838,3083
 Wooden house,84,4616,4700
 Bamboo,284,5076,5360
 Hut 2 - 3 years,5,187,192
 Hut 1 year,2,44,46
 Other,3,98,101
 Total,1155,17193,18348
NotApp :,248,*,*
AREA # 130108,Yatsauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1135,94,1229
 Bungalow/Brick house,1160,2961,4121
 Semi-pacca house,554,1851,2405
 Wooden house,1408,5836,7244
 Bamboo,1326,9120,10446
 Hut 2 - 3 years,61,240,301
 Hut 1 year,2,54,56
 Other,31,124,155
 Total,5677,20280,25957
NotApp :,294,*,*
AREA # 130109,Pinlaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,278,29,307
 Bungalow/Brick house,1790,7980,9770
 Semi-pacca house,291,2016,2307
 Wooden house,113,5088,5201
 Bamboo,277,7168,7445
 Hut 2 - 3 years,6,233,239
 Hut 1 year,6,79,85
 Other,9,141,150
 Total,2770,22734,25504
NotApp :,214,*,*
AREA # 130110,Phekon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,433,180,613
 Bungalow/Brick house,1254,2752,4006
 Semi-pacca house,473,1930,2403
 Wooden house,747,8743,9490
 Bamboo,435,2670,3105
 Hut 2 - 3 years,63,110,173
 Hut 1 year,18,26,44
 Other,8,242,250
 Total,3431,16653,20084
NotApp :,187,*,*
AREA # 130151,Kyauktalongyi(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,26,9,35
 Bungalow/Brick house,161,1468,1629
 Semi-pacca house,87,1329,1416
 Wooden house,91,2679,2770
 Bamboo,234,6104,6338
 Hut 2 - 3 years,2,64,66
 Hut 1 year,-,5,5
 Other,1,5,6
 Total,602,11663,12265
NotApp :,78,*,*
AREA # 130152,Indaw(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,93,94
 Bungalow/Brick house,181,579,760
 Semi-pacca house,260,708,968
 Wooden house,584,1591,2175
 Bamboo,773,3293,4066
 Hut 2 - 3 years,6,23,29
 Hut 1 year,2,17,19
 Other,29,10,39
 Total,1836,6314,8150
NotApp :,120,*,*
AREA # 130153,Naungtayar(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15,393,408
 Bungalow/Brick house,586,2754,3340
 Semi-pacca house,60,1426,1486
 Wooden house,26,3709,3735
 Bamboo,291,6756,7047
 Hut 2 - 3 years,1,50,51
 Hut 1 year,-,11,11
 Other,-,501,501
 Total,979,15600,16579
NotApp :,149,*,*
AREA # 130201,Loilem,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,202,85,287
 Bungalow/Brick house,570,916,1486
 Semi-pacca house,370,335,705
 Wooden house,1376,2338,3714
 Bamboo,317,4275,4592
 Hut 2 - 3 years,3,43,46
 Hut 1 year,1,13,14
 Other,14,43,57
 Total,2853,8048,10901
NotApp :,112,*,*
AREA # 130202,Le`char,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,19,108,127
 Bungalow/Brick house,564,818,1382
 Semi-pacca house,220,621,841
 Wooden house,274,2411,2685
 Bamboo,212,3423,3635
 Hut 2 - 3 years,1,17,18
 Hut 1 year,3,12,15
 Other,37,50,87
 Total,1330,7460,8790
NotApp :,101,*,*
AREA # 130203,Nanhsam(South),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,423,488,911
 Bungalow/Brick house,1377,1311,2688
 Semi-pacca house,635,976,1611
 Wooden house,1319,3472,4791
 Bamboo,1023,7555,8578
 Hut 2 - 3 years,14,63,77
 Hut 1 year,1,32,33
 Other,49,125,174
 Total,4841,14022,18863
NotApp :,264,*,*
AREA # 130204,Kunhing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,143,166
 Bungalow/Brick house,368,221,589
 Semi-pacca house,435,297,732
 Wooden house,250,552,802
 Bamboo,439,1718,2157
 Hut 2 - 3 years,22,48,70
 Hut 1 year,2,28,30
 Other,3,21,24
 Total,1542,3028,4570
NotApp :,122,*,*
AREA # 130205,Kehsi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,71,-,71
 Bungalow/Brick house,269,393,662
 Semi-pacca house,75,227,302
 Wooden house,309,3620,3929
 Bamboo,116,3778,3894
 Hut 2 - 3 years,-,17,17
 Hut 1 year,1,8,9
 Other,1,16,17
 Total,842,8059,8901
NotApp :,109,*,*
AREA # 130206,Mongkai,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,2,10
 Bungalow/Brick house,506,393,899
 Semi-pacca house,297,560,857
 Wooden house,432,5810,6242
 Bamboo,450,7032,7482
 Hut 2 - 3 years,3,42,45
 Hut 1 year,-,78,78
 Other,523,196,719
 Total,2219,14113,16332
NotApp :,213,*,*
AREA # 130207,Mineshu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,4,27
 Bungalow/Brick house,488,531,1019
 Semi-pacca house,277,494,771
 Wooden house,414,1860,2274
 Bamboo,821,4010,4831
 Hut 2 - 3 years,29,158,187
 Hut 1 year,1,46,47
 Other,30,15,45
 Total,2083,7118,9201
NotApp :,161,*,*
AREA # 130251,Panglong(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,119,91,210
 Bungalow/Brick house,1524,156,1680
 Semi-pacca house,990,315,1305
 Wooden house,1752,4980,6732
 Bamboo,712,3696,4408
 Hut 2 - 3 years,13,15,28
 Hut 1 year,-,8,8
 Other,114,31,145
 Total,5224,9292,14516
NotApp :,104,*,*
AREA # 130252,Kholan(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,119,401,520
 Bungalow/Brick house,648,83,731
 Semi-pacca house,157,65,222
 Wooden house,274,618,892
 Bamboo,453,1370,1823
 Hut 2 - 3 years,33,36,69
 Hut 1 year,10,11,21
 Other,54,32,86
 Total,1748,2616,4364
NotApp :,145,*,*
AREA # 130253,Karli(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,90,77,167
 Bungalow/Brick house,685,273,958
 Semi-pacca house,167,270,437
 Wooden house,162,1790,1952
 Bamboo,526,2446,2972
 Hut 2 - 3 years,21,27,48
 Hut 1 year,4,17,21
 Other,10,2,12
 Total,1665,4902,6567
NotApp :,80,*,*
AREA # 130254,Minenaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,245,245
 Bungalow/Brick house,181,153,334
 Semi-pacca house,88,229,317
 Wooden house,64,853,917
 Bamboo,402,3557,3959
 Hut 2 - 3 years,9,9,18
 Hut 1 year,4,12,16
 Other,4,1,5
 Total,752,5059,5811
NotApp :,69,*,*
AREA # 130255,Minesan(Monsan)(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,45,40,85
 Bungalow/Brick house,11,104,115
 Semi-pacca house,111,166,277
 Wooden house,82,2042,2124
 Bamboo,251,1529,1780
 Hut 2 - 3 years,3,21,24
 Hut 1 year,4,14,18
 Other,-,2243,2243
 Total,507,6159,6666
NotApp :,259,*,*
AREA # 130301,Linkhe`,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,63,300,363
 Bungalow/Brick house,174,291,465
 Semi-pacca house,986,3549,4535
 Wooden house,247,1325,1572
 Bamboo,216,1072,1288
 Hut 2 - 3 years,25,81,106
 Hut 1 year,6,40,46
 Other,1,12,13
 Total,1718,6670,8388
NotApp :,100,*,*
AREA # 130302,Mone`,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,205,211
 Bungalow/Brick house,795,301,1096
 Semi-pacca house,590,329,919
 Wooden house,200,761,961
 Bamboo,490,2254,2744
 Hut 2 - 3 years,10,134,144
 Hut 1 year,4,14,18
 Other,8,123,131
 Total,2103,4121,6224
NotApp :,66,*,*
AREA # 130303,Maukme`,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,72,8,80
 Bungalow/Brick house,228,230,458
 Semi-pacca house,375,457,832
 Wooden house,349,1952,2301
 Bamboo,153,3280,3433
 Hut 2 - 3 years,7,25,32
 Hut 1 year,8,4,12
 Other,-,46,46
 Total,1192,6002,7194
NotApp :,191,*,*
AREA # 130304,Minepan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,227,209,436
 Bungalow/Brick house,277,71,348
 Semi-pacca house,420,116,536
 Wooden house,734,1156,1890
 Bamboo,290,1758,2048
 Hut 2 - 3 years,8,75,83
 Hut 1 year,2,39,41
 Other,1,38,39
 Total,1959,3462,5421
NotApp :,165,*,*
AREA # 130351,Homane(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,-,8
 Bungalow/Brick house,31,2,33
 Semi-pacca house,38,5,43
 Wooden house,495,217,712
 Bamboo,100,247,347
 Hut 2 - 3 years,2,-,2
 Other,-,15,15
 Total,674,486,1160
NotApp :,17,*,*
AREA # 130352,Kengtaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,314,-,314
 Bungalow/Brick house,222,-,222
 Semi-pacca house,190,-,190
 Wooden house,1193,24,1217
 Bamboo,97,138,235
 Hut 2 - 3 years,25,1,26
 Hut 1 year,9,1,10
 Other,47,-,47
 Total,2097,164,2261
NotApp :,46,*,*
AREA # 130401,Lashio,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4101,398,4499
 Bungalow/Brick house,15146,5763,20909
 Semi-pacca house,4486,2395,6881
 Wooden house,1702,3826,5528
 Bamboo,8045,17430,25475
 Hut 2 - 3 years,289,528,817
 Hut 1 year,137,137,274
 Other,193,356,549
 Total,34099,30833,64932
NotApp :,881,*,*
AREA # 130402,Theinni,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,69,505,574
 Bungalow/Brick house,1160,2257,3417
 Semi-pacca house,181,1381,1562
 Wooden house,91,375,466
 Bamboo,388,4738,5126
 Hut 2 - 3 years,9,132,141
 Hut 1 year,3,30,33
 Other,22,438,460
 Total,1923,9856,11779
NotApp :,116,*,*
AREA # 130403,Mineye`,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,87,131,218
 Bungalow/Brick house,433,249,682
 Semi-pacca house,159,477,636
 Wooden house,129,2978,3107
 Bamboo,527,7755,8282
 Hut 2 - 3 years,4,151,155
 Hut 1 year,2,58,60
 Other,129,59,188
 Total,1470,11858,13328
NotApp :,139,*,*
AREA # 130404,Tantyan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,239,240,479
 Bungalow/Brick house,2013,1252,3265
 Semi-pacca house,1031,773,1804
 Wooden house,439,6102,6541
 Bamboo,2990,19613,22603
 Hut 2 - 3 years,37,235,272
 Hut 1 year,4,58,62
 Other,55,61,116
 Total,6808,28334,35142
NotApp :,291,*,*
AREA # 130501,MuSe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1945,370,2315
 Bungalow/Brick house,4385,1862,6247
 Semi-pacca house,1658,1011,2669
 Wooden house,503,481,984
 Bamboo,4616,4808,9424
 Hut 2 - 3 years,23,25,48
 Hut 1 year,12,6,18
 Other,192,317,509
 Total,13334,8880,22214
NotApp :,873,*,*
AREA # 130502,Namkham,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,44,95,139
 Bungalow/Brick house,1674,946,2620
 Semi-pacca house,1028,885,1913
 Wooden house,1211,4439,5650
 Bamboo,2101,8366,10467
 Hut 2 - 3 years,3,189,192
 Hut 1 year,2,37,39
 Other,69,328,397
 Total,6132,15285,21417
NotApp :,200,*,*
AREA # 130503,Kukai,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,263,89,352
 Bungalow/Brick house,1809,1358,3167
 Semi-pacca house,682,858,1540
 Wooden house,250,2106,2356
 Bamboo,475,8962,9437
 Hut 2 - 3 years,9,227,236
 Hut 1 year,7,118,125
 Other,1188,630,1818
 Total,4683,14348,19031
NotApp :,175,*,*
AREA # 130551,Monekoe(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,181,20,201
 Bungalow/Brick house,572,177,749
 Semi-pacca house,269,511,780
 Wooden house,77,410,487
 Bamboo,141,1437,1578
 Hut 2 - 3 years,2,7,9
 Hut 1 year,2,4,6
 Other,225,323,548
 Total,1469,2889,4358
NotApp :,29,*,*
AREA # 130552,Manhero(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,27,10,37
 Bungalow/Brick house,85,320,405
 Semi-pacca house,36,71,107
 Wooden house,9,106,115
 Bamboo,125,419,544
 Other,64,371,435
 Total,346,1297,1643
NotApp :,30,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,168,22,190
 Bungalow/Brick house,960,532,1492
 Semi-pacca house,136,207,343
 Wooden house,54,183,237
 Bamboo,391,1731,2122
 Hut 2 - 3 years,9,6,15
 Hut 1 year,2,1,3
 Other,48,93,141
 Total,1768,2775,4543
NotApp :,51,*,*
AREA # 130554,Tamoenye(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,104,28,132
 Bungalow/Brick house,806,591,1397
 Semi-pacca house,415,663,1078
 Wooden house,114,1005,1119
 Bamboo,544,7234,7778
 Hut 2 - 3 years,1,29,30
 Hut 1 year,4,7,11
 Other,499,1005,1504
 Total,2487,10562,13049
NotApp :,45,*,*
AREA # 130601,Kyukme,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,402,284,686
 Bungalow/Brick house,3368,3296,6664
 Semi-pacca house,1321,1475,2796
 Wooden house,563,3469,4032
 Bamboo,2917,10428,13345
 Hut 2 - 3 years,21,299,320
 Hut 1 year,6,61,67
 Other,55,406,461
 Total,8653,19718,28371
NotApp :,367,*,*
AREA # 130602,Naungkhio,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,61,782,843
 Bungalow/Brick house,1685,6184,7869
 Semi-pacca house,881,5793,6674
 Wooden house,215,3005,3220
 Bamboo,1295,11621,12916
 Hut 2 - 3 years,12,248,260
 Hut 1 year,4,133,137
 Other,18,287,305
 Total,4171,28053,32224
NotApp :,365,*,*
AREA # 130603,Hsipaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,137,738,875
 Bungalow/Brick house,1123,2721,3844
 Semi-pacca house,444,1785,2229
 Wooden house,480,9505,9985
 Bamboo,1807,18849,20656
 Hut 2 - 3 years,6,143,149
 Hut 1 year,2,53,55
 Other,10,103,113
 Total,4009,33897,37906
NotApp :,454,*,*
AREA # 130604,Namtu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,258,31,289
 Bungalow/Brick house,337,795,1132
 Semi-pacca house,702,644,1346
 Wooden house,941,1344,2285
 Bamboo,916,5171,6087
 Hut 2 - 3 years,37,224,261
 Hut 1 year,7,32,39
 Other,59,143,202
 Total,3257,8384,11641
NotApp :,153,*,*
AREA # 130605,Namsan(North),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,26,9,35
 Bungalow/Brick house,50,157,207
 Semi-pacca house,115,467,582
 Wooden house,582,7931,8513
 Bamboo,155,3977,4132
 Hut 2 - 3 years,1,116,117
 Hut 1 year,1,35,36
 Other,5,58,63
 Total,935,12750,13685
NotApp :,265,*,*
AREA # 130606,Momeik,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,7,261,268
 Bungalow/Brick house,251,307,558
 Semi-pacca house,277,725,1002
 Wooden house,262,2334,2596
 Bamboo,1411,7603,9014
 Hut 2 - 3 years,15,115,130
 Hut 1 year,-,41,41
 Other,10,33,43
 Total,2233,11419,13652
NotApp :,177,*,*
AREA # 130607,Mabane,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,89,89
 Bungalow/Brick house,35,219,254
 Semi-pacca house,32,331,363
 Wooden house,557,4545,5102
 Bamboo,88,2672,2760
 Hut 2 - 3 years,2,40,42
 Hut 1 year,-,17,17
 Other,-,5,5
 Total,714,7918,8632
NotApp :,266,*,*
AREA # 130608,Manton,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,61,1,62
 Bungalow/Brick house,111,13,124
 Semi-pacca house,75,32,107
 Wooden house,207,1247,1454
 Bamboo,234,5379,5613
 Hut 2 - 3 years,57,183,240
 Hut 1 year,8,24,32
 Other,26,25,51
 Total,779,6904,7683
NotApp :,136,*,*
AREA # 130651,Minengaw(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,-,9
 Bungalow/Brick house,123,74,197
 Semi-pacca house,61,161,222
 Wooden house,112,1294,1406
 Bamboo,305,1853,2158
 Hut 2 - 3 years,1,22,23
 Hut 1 year,-,6,6
 Other,2,6,8
 Total,613,3416,4029
NotApp :,98,*,*
AREA # 130652,Minelon(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,1,1
 Bungalow/Brick house,32,14,46
 Semi-pacca house,33,114,147
 Wooden house,81,1690,1771
 Bamboo,405,3406,3811
 Hut 2 - 3 years,22,31,53
 Hut 1 year,1,7,8
 Other,12,7,19
 Total,586,5270,5856
NotApp :,201,*,*
AREA # 130701,Kunlon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,114,110,224
 Bungalow/Brick house,292,1280,1572
 Semi-pacca house,223,1045,1268
 Wooden house,193,833,1026
 Bamboo,313,5669,5982
 Hut 2 - 3 years,2,20,22
 Hut 1 year,2,8,10
 Other,19,269,288
 Total,1158,9234,10392
NotApp :,158,*,*
AREA # 130801,Laukine,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1226,792,2018
 Bungalow/Brick house,1280,2769,4049
 Semi-pacca house,395,3475,3870
 Wooden house,10,1231,1241
 Bamboo,14,1773,1787
 Hut 2 - 3 years,5,68,73
 Hut 1 year,5,18,23
 Other,6,1164,1170
 Total,2941,11290,14231
NotApp :,557,*,*
AREA # 130802,Kongyan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,46,2,48
 Bungalow/Brick house,91,156,247
 Semi-pacca house,26,763,789
 Wooden house,9,954,963
 Bamboo,15,2344,2359
 Hut 2 - 3 years,-,15,15
 Other,7,1034,1041
