Urban_Rural,Sex_Male,Sex_Female,Sex_Total
 Rural,54312,52191,106503
 Total,57195,55473,112668
AREA # 050405,Kawlin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9957,11474,21431
 Rural,59825,64041,123866
 Total,69782,75515,145297
AREA # 050406,Wuntho,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5598,6374,11972
 Rural,29867,31556,61423
 Total,35465,37930,73395
AREA # 050407,Pinlebu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3259,3704,6963
 Rural,49134,55871,105005
 Total,52393,59575,111968
AREA # 050501,Kalay,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,60657,69849,130506
 Rural,106901,111166,218067
 Total,167558,181015,348573
AREA # 050502,Kalewa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4168,4651,8819
 Rural,23547,24066,47613
 Total,27715,28717,56432
AREA # 050503,Mingin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1579,1888,3467
 Rural,48592,52304,100896
 Total,50171,54192,104363
AREA # 050601,Tamu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,21295,22442,43737
 Rural,7944,7662,15606
 Total,29239,30104,59343
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,917,725,1642
 Rural,7843,7313,15156
 Total,8760,8038,16798
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7004,7555,14559
 Rural,12004,12165,24169
 Total,19008,19720,38728
AREA # 050701,Mawlaik,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4401,4155,8556
 Rural,20654,22104,42758
 Total,25055,26259,51314
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4905,5144,10049
 Rural,48964,53681,102645
 Total,53869,58825,112694
AREA # 050801,Hkamti,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5881,5670,11551
 Rural,21035,15072,36107
 Total,26916,20742,47658
AREA # 050802,Homalin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10958,10262,21220
 Rural,122792,114194,236986
 Total,133750,124456,258206
