Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Other,12,229,241
 Total,3604,73779,77383
NotApp :,11221,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,189,13104,13293
 Grade 1,23,751,774
 Grade 2,40,654,694
 Grade 3,30,709,739
 Grade 4,29,589,618
 Grade 5,55,809,864
 Grade 6,31,346,377
 Grade 7,15,227,242
 Grade 8,23,222,245
 Grade 9,14,165,179
 Grade 10,8,107,115
 Grade 11,4,108,112
 College,1,13,14
 Vocational training,-,1,1
 Undergraduate diploma,-,5,5
 Graduate,1,24,25
 Postgraduate diploma,-,1,1
 Master degree,2,-,2
 Other,-,380,380
 Total,465,18215,18680
NotApp :,3055,*,*
AREA # 030153,Leiktho(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,150,4541,4691
 Grade 1,151,2979,3130
 Grade 2,105,3074,3179
 Grade 3,156,3904,4060
 Grade 4,182,4195,4377
 Grade 5,311,7444,7755
 Grade 6,239,3272,3511
 Grade 7,190,2165,2355
 Grade 8,172,1842,2014
 Grade 9,230,1894,2124
 Grade 10,165,1166,1331
 Grade 11,468,1762,2230
 College,87,164,251
 Vocational training,5,20,25
 Undergraduate diploma,12,33,45
 Graduate,140,246,386
 Postgraduate diploma,-,8,8
 Master degree,17,1,18
 PhD,1,1,2
 Other,-,12,12
 Total,2781,38723,41504
NotApp :,7102,*,*
AREA # 030154,Bawgali(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,45,1309,1354
 Grade 1,46,840,886
 Grade 2,50,1055,1105
 Grade 3,103,1346,1449
 Grade 4,111,1368,1479
 Grade 5,210,2389,2599
 Grade 6,115,1080,1195
 Grade 7,159,872,1031
 Grade 8,130,765,895
 Grade 9,221,825,1046
 Grade 10,148,549,697
 Grade 11,378,724,1102
 College,35,51,86
 Vocational training,2,2,4
 Undergraduate diploma,4,21,25
 Graduate,69,79,148
 Postgraduate diploma,4,2,6
 Master degree,2,1,3
 PhD,-,1,1
 Other,9,48,57
 Total,1841,13327,15168
NotApp :,2069,*,*
AREA # 030201,Pharpon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,342,1574,1916
 Grade 1,128,716,844
 Grade 2,159,826,985
 Grade 3,213,930,1143
 Grade 4,324,1232,1556
 Grade 5,275,1045,1320
 Grade 6,181,585,766
 Grade 7,221,597,818
 Grade 8,222,608,830
 Grade 9,199,470,669
 Grade 10,383,571,954
 Grade 11,106,225,331
 College,44,86,130
 Vocational training,2,-,2
 Undergraduate diploma,5,29,34
 Graduate,198,199,397
 Postgraduate diploma,6,2,8
 Master degree,2,27,29
 PhD,1,2,3
 Other,2,7,9
 Total,3013,9731,12744
NotApp :,1446,*,*
AREA # 030251,Kamamaung(ST},*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1735,1996,3731
 Grade 1,634,402,1036
 Grade 2,811,473,1284
 Grade 3,1036,554,1590
 Grade 4,1360,555,1915
 Grade 5,1627,570,2197
 Grade 6,963,355,1318
 Grade 7,804,243,1047
 Grade 8,763,215,978
 Grade 9,677,232,909
 Grade 10,791,164,955
 Grade 11,564,109,673
 College,199,26,225
 Vocational training,4,-,4
 Undergraduate diploma,34,4,38
 Graduate,332,47,379
 Postgraduate diploma,4,-,4
 Master degree,5,1,6
 PhD,1,-,1
 Other,18,12,30
 Total,12362,5958,18320
NotApp :,2575,*,*
AREA # 030301,Myawady,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,8759,21600,30359
 Grade 1,4885,4747,9632
 Grade 2,6536,5791,12327
 Grade 3,7890,6494,14384
 Grade 4,12925,8172,21097
 Grade 5,12404,6931,19335
 Grade 6,7282,3779,11061
 Grade 7,6418,3059,9477
 Grade 8,7349,3080,10429
 Grade 9,6206,2578,8784
 Grade 10,8845,2777,11622
 Grade 11,4057,1394,5451
 College,2155,491,2646
 Vocational training,90,31,121
 Undergraduate diploma,177,95,272
 Graduate,4363,936,5299
 Postgraduate diploma,132,21,153
 Master degree,44,22,66
 PhD,11,8,19
 Other,442,321,763
 Total,100970,72327,173297
NotApp :,22327,*,*
AREA # 030351,Sugali(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,135,2013,2148
 Grade 1,17,469,486
 Grade 2,21,315,336
 Grade 3,20,329,349
 Grade 4,15,338,353
 Grade 5,20,327,347
 Grade 6,9,190,199
 Grade 7,6,117,123
 Grade 8,3,99,102
 Grade 9,6,109,115
 Grade 10,1,77,78
 Grade 11,7,75,82
 College,3,27,30
 Vocational training,-,6,6
 Undergraduate diploma,1,1,2
 Graduate,30,10,40
 Postgraduate diploma,-,2,2
 Other,-,106,106
 Total,294,4610,4904
NotApp :,799,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,471,2558,3029
 Grade 1,157,429,586
 Grade 2,208,438,646
 Grade 3,319,424,743
 Grade 4,235,368,603
 Grade 5,318,312,630
 Grade 6,183,164,347
 Grade 7,147,126,273
 Grade 8,105,72,177
 Grade 9,117,90,207
 Grade 10,128,55,183
 Grade 11,78,42,120
 College,16,10,26
 Vocational training,1,2,3
 Undergraduate diploma,2,1,3
 Graduate,50,6,56
 Postgraduate diploma,7,1,8
 Other,154,157,311
 Total,2696,5255,7951
NotApp :,1262,*,*
AREA # 030401,Kawkareik,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3243,44436,47679
 Grade 1,1371,10242,11613
 Grade 2,1865,13007,14872
 Grade 3,2821,15686,18507
 Grade 4,3187,14871,18058
 Grade 5,5159,19603,24762
 Grade 6,3168,8702,11870
 Grade 7,2635,6569,9204
 Grade 8,2587,6005,8592
 Grade 9,2877,5730,8607
 Grade 10,2227,3268,5495
 Grade 11,3902,3826,7728
 College,973,983,1956
 Vocational training,47,60,107
 Undergraduate diploma,119,167,286
 Graduate,2639,1793,4432
 Postgraduate diploma,53,59,112
 Master degree,43,56,99
 PhD,4,10,14
 Other,131,1280,1411
 Total,39051,156353,195404
NotApp :,24938,*,*
AREA # 030402,Kyarinseikkyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,906,23193,24099
 Grade 1,313,5548,5861
 Grade 2,481,7531,8012
 Grade 3,569,9254,9823
 Grade 4,667,8702,9369
 Grade 5,1078,10945,12023
 Grade 6,622,4490,5112
 Grade 7,488,3358,3846
 Grade 8,493,2844,3337
 Grade 9,524,2582,3106
 Grade 10,675,1929,2604
 Grade 11,521,1884,2405
 College,248,538,786
 Vocational training,7,35,42
 Undergraduate diploma,23,134,157
 Graduate,614,719,1333
 Postgraduate diploma,10,68,78
 Master degree,10,16,26
 PhD,-,1,1
 Other,61,2707,2768
 Total,8310,86478,94788
NotApp :,11639,*,*
AREA # 030451,Payarthonezu(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2453,18945,21398
 Grade 1,960,4020,4980
 Grade 2,1598,4491,6089
 Grade 3,2042,4711,6753
 Grade 4,2609,4649,7258
 Grade 5,3490,4607,8097
 Grade 6,2224,2171,4395
 Grade 7,1701,1596,3297
 Grade 8,1755,1304,3059
 Grade 9,1673,1317,2990
 Grade 10,1718,1137,2855
 Grade 11,1194,482,1676
 College,417,205,622
 Vocational training,22,11,33
 Undergraduate diploma,17,32,49
 Graduate,654,255,909
 Postgraduate diploma,10,5,15
 Master degree,3,5,8
 PhD,-,1,1
 Other,183,4889,5072
 Total,24723,54833,79556
NotApp :,10928,*,*
AREA # 030452,Kyaidon(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,485,24174,24659
 Grade 1,118,2632,2750
 Grade 2,152,3066,3218
 Grade 3,230,3386,3616
 Grade 4,278,3256,3534
 Grade 5,347,3538,3885
 Grade 6,219,1558,1777
 Grade 7,158,1054,1212
 Grade 8,196,1001,1197
 Grade 9,206,860,1066
 Grade 10,137,565,702
 Grade 11,292,683,975
 College,81,71,152
 Vocational training,1,7,8
 Undergraduate diploma,13,9,22
 Graduate,112,61,173
 Postgraduate diploma,2,3,5
 Master degree,-,2,2
 Other,123,843,966
 Total,3150,46769,49919
NotApp :,8019,*,*
AREA # 040101,HaKa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2191,3085,5276
 Grade 1,877,1093,1970
 Grade 2,857,1156,2013
 Grade 3,1017,1536,2553
 Grade 4,1759,1998,3757
 Grade 5,2099,3838,5937
 Grade 6,1081,1334,2415
 Grade 7,1178,1218,2396
 Grade 8,1444,1211,2655
 Grade 9,1748,1306,3054
 Grade 10,2321,1433,3754
 Grade 11,2548,473,3021
 College,713,101,814
 Vocational training,62,5,67
 Undergraduate diploma,143,96,239
 Graduate,2188,255,2443
 Postgraduate diploma,93,17,110
 Master degree,95,12,107
 PhD,16,1,17
 Other,68,7,75
 Total,22498,20175,42673
NotApp :,5679,*,*
AREA # 040102,Thantlang,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,684,6563,7247
 Grade 1,291,2040,2331
 Grade 2,325,2230,2555
 Grade 3,311,2806,3117
 Grade 4,633,3997,4630
 Grade 5,493,3887,4380
 Grade 6,358,2333,2691
 Grade 7,404,2341,2745
 Grade 8,513,2616,3129
 Grade 9,534,2785,3319
 Grade 10,991,2768,3759
 Grade 11,491,1228,1719
 College,135,188,323
 Vocational training,28,37,65
 Undergraduate diploma,43,141,184
 Graduate,508,457,965
 Postgraduate diploma,27,36,63
 Master degree,30,31,61
 PhD,3,4,7
 Other,1,19,20
 Total,6803,36507,43310
NotApp :,7064,*,*
AREA # 040201,Falam,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,601,3166,3767
 Grade 1,189,1332,1521
 Grade 2,243,1459,1702
 Grade 3,318,1949,2267
 Grade 4,367,2257,2624
 Grade 5,956,4621,5577
 Grade 6,421,1997,2418
 Grade 7,394,1723,2117
 Grade 8,437,1886,2323
 Grade 9,665,2206,2871
 Grade 10,573,1723,2296
 Grade 11,1536,2618,4154
 College,517,286,803
 Vocational training,23,22,45
 Undergraduate diploma,68,115,183
 Graduate,932,535,1467
 Postgraduate diploma,47,46,93
 Master degree,34,40,74
 PhD,6,6,12
 Other,16,20,36
 Total,8343,28007,36350
NotApp :,5107,*,*
AREA # 040202,Tedim,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,728,8931,9659
 Grade 1,445,3708,4153
 Grade 2,506,3918,4424
 Grade 3,553,5123,5676
 Grade 4,630,5693,6323
 Grade 5,1104,9278,10382
 Grade 6,596,4425,5021
 Grade 7,659,3909,4568
 Grade 8,706,4057,4763
 Grade 9,994,4420,5414
 Grade 10,1201,3441,4642
 Grade 11,2070,4742,6812
 College,348,504,852
 Vocational training,46,108,154
 Undergraduate diploma,125,247,372
 Graduate,1173,900,2073
 Postgraduate diploma,68,82,150
 Master degree,41,59,100
 PhD,8,4,12
 Other,11,18,29
 Total,12012,63567,75579
NotApp :,12044,*,*
AREA # 040203,Tonzaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,292,1995,2287
 Grade 1,107,1037,1144
 Grade 2,152,953,1105
 Grade 3,193,1170,1363
 Grade 4,207,1308,1515
 Grade 5,362,2243,2605
 Grade 6,225,1101,1326
 Grade 7,182,821,1003
 Grade 8,172,812,984
 Grade 9,252,931,1183
 Grade 10,162,626,788
 Grade 11,665,825,1490
 College,49,95,144
 Vocational training,7,13,20
 Undergraduate diploma,31,42,73
 Graduate,237,152,389
 Postgraduate diploma,12,9,21
 Master degree,6,4,10
 PhD,1,-,1
 Other,-,5,5
 Total,3314,14142,17456
NotApp :,3266,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,224,287,511
 Grade 1,108,126,234
 Grade 2,138,137,275
 Grade 3,191,173,364
 Grade 4,187,255,442
 Grade 5,385,381,766
 Grade 6,233,219,452
 Grade 7,199,181,380
 Grade 8,229,195,424
 Grade 9,309,215,524
 Grade 10,273,173,446
 Grade 11,465,224,689
 College,63,27,90
 Vocational training,10,1,11
 Undergraduate diploma,17,2,19
 Graduate,136,51,187
 Postgraduate diploma,8,2,10
 Master degree,3,5,8
 PhD,1,-,1
 Other,1,-,1
 Total,3180,2654,5834
NotApp :,786,*,*
AREA # 040252,Cikha(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,143,1006,1149
 Grade 1,52,459,511
 Grade 2,56,564,620
 Grade 3,94,722,816
 Grade 4,100,778,878
 Grade 5,123,1267,1390
 Grade 6,73,539,612
 Grade 7,59,461,520
 Grade 8,74,506,580
 Grade 9,89,473,562
 Grade 10,40,411,451
 Grade 11,212,933,1145
 College,38,78,116
 Vocational training,-,5,5
 Undergraduate diploma,11,32,43
 Graduate,69,94,163
 Postgraduate diploma,4,11,15
 Master degree,5,16,21
 PhD,-,1,1
 Other,1,1,2
 Total,1243,8357,9600
NotApp :,1556,*,*
AREA # 040301,Mindat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1578,7657,9235
 Grade 1,348,2029,2377
 Grade 2,385,1677,2062
 Grade 3,448,1849,2297
 Grade 4,552,1915,2467
 Grade 5,974,3652,4626
 Grade 6,457,1300,1757
 Grade 7,481,1107,1588
 Grade 8,552,1054,1606
 Grade 9,669,1030,1699
 Grade 10,911,1333,2244
 Grade 11,1288,891,2179
 College,347,164,511
 Vocational training,54,9,63
 Undergraduate diploma,54,46,100
 Graduate,921,217,1138
 Postgraduate diploma,66,18,84
 Master degree,26,8,34
 PhD,2,-,2
 Other,15,10,25
 Total,10128,25966,36094
NotApp :,6506,*,*
AREA # 040302,Matupi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1116,5971,7087
 Grade 1,343,1197,1540
 Grade 2,289,1351,1640
 Grade 3,331,1557,1888
 Grade 4,458,2216,2674
 Grade 5,660,3408,4068
 Grade 6,351,1501,1852
 Grade 7,375,1391,1766
 Grade 8,462,1510,1972
 Grade 9,533,2017,2550
 Grade 10,999,1965,2964
 Grade 11,759,1495,2254
 College,254,289,543
 Vocational training,17,7,24
 Undergraduate diploma,40,61,101
 Graduate,652,289,941
 Postgraduate diploma,19,19,38
 Master degree,15,13,28
 PhD,3,1,4
 Other,8,7,15
 Total,7684,26265,33949
NotApp :,5137,*,*
AREA # 040303,Kanpalet,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,489,3825,4314
 Grade 1,163,1007,1170
 Grade 2,148,897,1045
 Grade 3,164,910,1074
 Grade 4,172,943,1115
 Grade 5,356,2118,2474
 Grade 6,152,779,931
 Grade 7,134,636,770
 Grade 8,219,695,914
 Grade 9,243,645,888
 Grade 10,336,889,1225
 Grade 11,505,731,1236
 College,107,79,186
 Vocational training,44,14,58
 Undergraduate diploma,12,11,23
 Graduate,397,151,548
 Postgraduate diploma,25,10,35
 Master degree,12,2,14
 PhD,3,1,4
 Other,1,5,6
 Total,3682,14348,18030
NotApp :,3463,*,*
AREA # 040304,Paletwat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,656,16638,17294
 Grade 1,158,3423,3581
 Grade 2,191,3165,3356
 Grade 3,273,3964,4237
 Grade 4,289,3975,4264
 Grade 5,686,6724,7410
 Grade 6,295,2413,2708
 Grade 7,320,1860,2180
 Grade 8,294,1816,2110
 Grade 9,398,1957,2355
 Grade 10,246,1475,1721
 Grade 11,1145,2619,3764
 College,157,143,300
 Vocational training,16,30,46
 Undergraduate diploma,55,39,94
 Graduate,574,266,840
 Postgraduate diploma,22,14,36
 Master degree,5,6,11
 Other,3,13,16
 Total,5783,50540,56323
NotApp :,8648,*,*
AREA # 040351,Reazu(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,389,1880,2269
 Grade 1,80,392,472
 Grade 2,65,431,496
 Grade 3,68,573,641
 Grade 4,125,820,945
 Grade 5,243,1817,2060
 Grade 6,109,491,600
 Grade 7,99,448,547
 Grade 8,114,400,514
 Grade 9,147,478,625
 Grade 10,89,431,520
 Grade 11,293,405,698
 College,15,22,37
 Vocational training,3,4,7
 Undergraduate diploma,7,18,25
 Graduate,73,41,114
 Postgraduate diploma,5,8,13
 Master degree,-,1,1
 Other,1,5,6
 Total,1925,8665,10590
NotApp :,1675,*,*
AREA # 040352,Sami(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,509,7075,7584
 Grade 1,114,1687,1801
 Grade 2,128,1555,1683
 Grade 3,202,1928,2130
 Grade 4,227,1987,2214
 Grade 5,256,3233,3489
 Grade 6,194,1336,1530
 Grade 7,124,998,1122
 Grade 8,171,995,1166
 Grade 9,168,1064,1232
 Grade 10,140,773,913
 Grade 11,297,1497,1794
 College,38,51,89
 Vocational training,3,17,20
 Undergraduate diploma,11,29,40
 Graduate,65,170,235
 Postgraduate diploma,7,7,14
 Master degree,-,7,7
 Other,1,9,10
 Total,2655,24418,27073
NotApp :,5009,*,*
AREA # 050101,Sagaing,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3928,10515,14443
 Grade 1,1876,5868,7744
 Grade 2,2644,9179,11823
 Grade 3,4169,15191,19360
 Grade 4,6464,23228,29692
 Grade 5,12516,65648,78164
 Grade 6,4565,12126,16691
 Grade 7,3913,9695,13608
 Grade 8,4618,9615,14233
 Grade 9,4972,10892,15864
 Grade 10,6153,7767,13920
 Grade 11,6188,8686,14874
 College,3361,4744,8105
 Vocational training,249,216,465
 Undergraduate diploma,479,901,1380
 Graduate,8943,8186,17129
 Postgraduate diploma,208,255,463
 Master degree,338,322,660
 PhD,41,59,100
 Other,258,6469,6727
 Total,75883,209562,285445
NotApp :,21749,*,*
AREA # 050102,Myinmu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,714,6901,7615
 Grade 1,430,2762,3192
 Grade 2,517,4413,4930
 Grade 3,790,7201,7991
 Grade 4,1255,9186,10441
 Grade 5,3219,28711,31930
 Grade 6,884,4056,4940
 Grade 7,776,3354,4130
 Grade 8,891,3270,4161
 Grade 9,949,3276,4225
 Grade 10,851,2457,3308
 Grade 11,1473,3254,4727
 College,600,1196,1796
 Vocational training,20,87,107
 Undergraduate diploma,108,159,267
 Graduate,1706,2499,4205
 Postgraduate diploma,39,89,128
 Master degree,28,66,94
 PhD,2,3,5
 Other,59,1320,1379
 Total,15311,84260,99571
NotApp :,7415,*,*
AREA # 050103,Myaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,606,4987,5593
 Grade 1,159,2656,2815
 Grade 2,263,3765,4028
 Grade 3,409,5922,6331
 Grade 4,484,9730,10214
 Grade 5,1462,30752,32214
 Grade 6,375,5031,5406
 Grade 7,317,4267,4584
 Grade 8,349,4491,4840
 Grade 9,438,4171,4609
 Grade 10,444,3988,4432
 Grade 11,683,3825,4508
 College,260,1534,1794
 Vocational training,10,155,165
 Undergraduate diploma,31,170,201
 Graduate,970,3771,4741
 Postgraduate diploma,10,73,83
 Master degree,8,58,66
 PhD,-,4,4
 Other,1,2166,2167
 Total,7279,91516,98795
NotApp :,7616,*,*
AREA # 050201,Shwebo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3427,12640,16067
 Grade 1,1438,4194,5632
 Grade 2,2050,6917,8967
 Grade 3,3209,11312,14521
 Grade 4,4969,15374,20343
 Grade 5,9298,44256,53554
 Grade 6,4138,10155,14293
 Grade 7,3523,8228,11751
 Grade 8,4056,7907,11963
 Grade 9,4262,7561,11823
 Grade 10,4632,5281,9913
 Grade 11,6087,6084,12171
 College,2814,2539,5353
 Vocational training,363,137,500
 Undergraduate diploma,408,314,722
 Graduate,8507,4952,13459
 Postgraduate diploma,273,168,441
 Master degree,290,178,468
 PhD,43,28,71
 Other,593,6055,6648
 Total,64380,154280,218660
NotApp :,16882,*,*
AREA # 050202,Khin U,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,656,11456,12112
 Grade 1,288,4276,4564
 Grade 2,371,6570,6941
 Grade 3,647,9675,10322
 Grade 4,1054,15058,16112
 Grade 5,1605,36983,38588
 Grade 6,629,7371,8000
 Grade 7,641,6355,6996
 Grade 8,637,6247,6884
 Grade 9,747,5232,5979
 Grade 10,929,3619,4548
 Grade 11,479,3509,3988
 College,408,1768,2176
 Vocational training,25,105,130
 Undergraduate diploma,51,257,308
 Graduate,1333,2590,3923
 Postgraduate diploma,12,52,64
 Master degree,12,43,55
 PhD,5,2,7
 Other,7,3063,3070
 Total,10536,124231,134767
NotApp :,11690,*,*
AREA # 050203,Wetlet,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,435,15364,15799
 Grade 1,148,4910,5058
 Grade 2,294,10391,10685
 Grade 3,486,14907,15393
 Grade 4,713,25122,25835
 Grade 5,1702,43588,45290
 Grade 6,612,9917,10529
 Grade 7,524,8469,8993
 Grade 8,584,8089,8673
 Grade 9,634,7226,7860
 Grade 10,626,5778,6404
 Grade 11,959,4783,5742
 College,429,2378,2807
 Vocational training,355,122,477
 Undergraduate diploma,48,365,413
 Graduate,1437,4973,6410
 Postgraduate diploma,14,103,117
 Master degree,22,107,129
 PhD,1,11,12
 Other,105,4906,5011
 Total,10128,171509,181637
NotApp :,14579,*,*
AREA # 050204,Kambalu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,957,16158,17115
 Grade 1,430,8321,8751
 Grade 2,811,10928,11739
 Grade 3,1211,18083,19294
 Grade 4,1991,29684,31675
 Grade 5,4375,73568,77943
 Grade 6,1623,17264,18887
 Grade 7,1245,13551,14796
 Grade 8,1364,12269,13633
 Grade 9,1782,12083,13865
 Grade 10,1392,6581,7973
 Grade 11,2031,8641,10672
 College,880,3487,4367
 Vocational training,147,235,382
 Undergraduate diploma,129,510,639
 Graduate,1979,5936,7915
 Postgraduate diploma,64,73,137
 Master degree,71,68,139
 PhD,14,10,24
 Other,501,8591,9092
 Total,22997,246041,269038
NotApp :,26523,*,*
AREA # 050205,Kyunhlau,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,528,7402,7930
 Grade 1,259,2763,3022
 Grade 2,410,3357,3767
 Grade 3,605,5426,6031
 Grade 4,1301,9436,10737
 Grade 5,1895,25921,27816
 Grade 6,725,5936,6661
 Grade 7,621,4771,5392
 Grade 8,774,4588,5362
 Grade 9,645,4037,4682
 Grade 10,1286,4214,5500
 Grade 11,338,1083,1421
 College,359,1003,1362
 Vocational training,28,40,68
 Undergraduate diploma,44,90,134
 Graduate,1186,1622,2808
 Postgraduate diploma,10,35,45
 Master degree,6,12,18
 PhD,2,4,6
 Other,201,1352,1553
 Total,11223,83092,94315
NotApp :,9772,*,*
AREA # 050206,Ye U,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,885,8265,9150
 Grade 1,271,2643,2914
 Grade 2,442,3489,3931
 Grade 3,754,5456,6210
 Grade 4,1490,8655,10145
 Grade 5,2790,30480,33270
 Grade 6,990,5600,6590
 Grade 7,974,4874,5848
 Grade 8,1261,5255,6516
 Grade 9,1541,4633,6174
 Grade 10,2538,2591,5129
 Grade 11,1734,2749,4483
 College,795,1074,1869
 Vocational training,52,57,109
 Undergraduate diploma,67,175,242
 Graduate,2497,2258,4755
 Postgraduate diploma,19,51,70
 Master degree,24,33,57
 PhD,3,2,5
 Other,34,787,821
 Total,19161,89127,108288
NotApp :,10002,*,*
AREA # 050207,Depayin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,216,15563,15779
 Grade 1,82,4514,4596
 Grade 2,148,5314,5462
 Grade 3,221,9131,9352
 Grade 4,417,14063,14480
 Grade 5,624,35037,35661
 Grade 6,236,7449,7685
 Grade 7,224,6731,6955
 Grade 8,245,6219,6464
 Grade 9,235,5514,5749
 Grade 10,327,3796,4123
 Grade 11,298,4157,4455
 College,136,1757,1893
 Vocational training,13,108,121
 Undergraduate diploma,29,155,184
 Graduate,497,3278,3775
 Postgraduate diploma,8,58,66
 Master degree,8,50,58
 PhD,2,4,6
 Other,1,1441,1442
 Total,3967,124339,128306
NotApp :,12509,*,*
AREA # 050208,Tasei,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,513,9933,10446
 Grade 1,289,3779,4068
 Grade 2,463,5190,5653
 Grade 3,776,7583,8359
 Grade 4,1415,10871,12286
 Grade 5,2409,50766,53175
 Grade 6,912,8884,9796
 Grade 7,845,7957,8802
 Grade 8,924,7908,8832
 Grade 9,839,6943,7782
 Grade 10,1086,4603,5689
 Grade 11,715,5017,5732
 College,483,1675,2158
 Vocational training,22,97,119
 Undergraduate diploma,16,209,225
 Graduate,1421,3090,4511
 Postgraduate diploma,11,46,57
 Master degree,19,45,64
 PhD,1,3,4
 Other,52,1915,1967
 Total,13211,136514,149725
NotApp :,15385,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,680,2545,3225
 Grade 1,276,583,859
 Grade 2,313,906,1219
 Grade 3,556,1586,2142
 Grade 4,936,2843,3779
 Grade 5,1703,4515,6218
 Grade 6,688,1144,1832
 Grade 7,573,899,1472
 Grade 8,572,843,1415
 Grade 9,558,773,1331
 Grade 10,477,442,919
 Grade 11,730,551,1281
 College,229,240,469
 Vocational training,8,4,12
 Undergraduate diploma,22,22,44
 Graduate,655,434,1089
 Postgraduate diploma,8,16,24
 Master degree,13,11,24
 PhD,1,2,3
 Other,815,525,1340
 Total,9813,18884,28697
NotApp :,2568,*,*
AREA # 050301,Monywa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,12508,15131,27639
 Grade 1,4447,3919,8366
 Grade 2,6002,6018,12020
 Grade 3,9879,10164,20043
 Grade 4,17171,15590,32761
 Grade 5,31272,47008,78280
 Grade 6,10756,8800,19556
 Grade 7,9803,7524,17327
 Grade 8,11613,7840,19453
 Grade 9,12898,6834,19732
 Grade 10,14110,5839,19949
 Grade 11,15342,6339,21681
 College,7535,3059,10594
 Vocational training,519,124,643
 Undergraduate diploma,919,320,1239
 Graduate,24985,5778,30763
 Postgraduate diploma,710,210,920
 Master degree,1425,231,1656
 PhD,218,27,245
 Other,759,1753,2512
 Total,192871,152508,345379
NotApp :,26716,*,*
AREA # 050302,Butalin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,118,10809,10927
 Grade 1,106,2786,2892
 Grade 2,114,4718,4832
 Grade 3,178,7615,7793
 Grade 4,361,9644,10005
