Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
NotApp :,3047,*,*
AREA # 020203,Meisi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,25,670,695
 Grade 1,29,287,316
 Grade 2,47,292,339
 Grade 3,57,443,500
 Grade 4,77,431,508
 Grade 5,121,698,819
 Grade 6,74,316,390
 Grade 7,55,241,296
 Grade 8,69,203,272
 Grade 9,53,242,295
 Grade 10,62,139,201
 Grade 11,80,185,265
 College,30,16,46
 Vocational training,2,-,2
 Undergraduate diploma,12,6,18
 Graduate,73,58,131
 Postgraduate diploma,3,-,3
 PhD,1,-,1
 Other,65,428,493
 Total,935,4655,5590
NotApp :,729,*,*
AREA # 020251,Ywathit(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,207,230,437
 Grade 1,22,40,62
 Grade 2,63,61,124
 Grade 3,124,117,241
 Grade 4,119,115,234
 Grade 5,161,165,326
 Grade 6,86,71,157
 Grade 7,78,59,137
 Grade 8,66,45,111
 Grade 9,63,40,103
 Grade 10,38,26,64
 Grade 11,96,56,152
 College,30,8,38
 Undergraduate diploma,5,1,6
 Graduate,40,28,68
 Postgraduate diploma,1,-,1
 Total,1199,1062,2261
NotApp :,255,*,*
AREA # 030101,Hpa-an,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4594,71323,75917
 Grade 1,2120,18484,20604
 Grade 2,2880,22459,25339
 Grade 3,3881,29037,32918
 Grade 4,5028,28042,33070
 Grade 5,7856,42449,50305
 Grade 6,4876,20762,25638
 Grade 7,3784,13891,17675
 Grade 8,4268,13061,17329
 Grade 9,4918,13055,17973
 Grade 10,5093,8229,13322
 Grade 11,7482,11710,19192
 College,2717,3547,6264
 Vocational training,149,233,382
 Undergraduate diploma,445,563,1008
 Graduate,7845,5724,13569
 Postgraduate diploma,292,337,629
 Master degree,250,149,399
 PhD,27,30,57
 Other,320,3095,3415
 Total,68825,306180,375005
NotApp :,46570,*,*
AREA # 030102,Hlaingbwe,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1160,43688,44848
 Grade 1,307,7427,7734
 Grade 2,546,9288,9834
 Grade 3,781,11310,12091
 Grade 4,895,10736,11631
 Grade 5,1238,15082,16320
 Grade 6,915,7163,8078
 Grade 7,697,5055,5752
 Grade 8,687,4078,4765
 Grade 9,672,4017,4689
 Grade 10,760,2500,3260
 Grade 11,766,2814,3580
 College,269,710,979
 Vocational training,13,44,57
 Undergraduate diploma,12,118,130
 Graduate,677,1361,2038
 Postgraduate diploma,21,55,76
 Master degree,4,39,43
 PhD,2,1,3
 Other,18,529,547
 Total,10440,126015,136455
NotApp :,19089,*,*
AREA # 030103,Thandaunggyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,852,953,1805
 Grade 1,689,792,1481
 Grade 2,830,878,1708
 Grade 3,1072,1166,2238
 Grade 4,1330,1249,2579
 Grade 5,1729,2062,3791
 Grade 6,1009,1087,2096
 Grade 7,928,805,1733
 Grade 8,1048,809,1857
 Grade 9,1058,851,1909
 Grade 10,1742,1071,2813
 Grade 11,710,436,1146
 College,372,69,441
 Vocational training,50,26,76
 Undergraduate diploma,78,8,86
 Graduate,751,135,886
 Postgraduate diploma,16,4,20
 Master degree,51,-,51
 PhD,2,-,2
 Other,9,4,13
 Total,14326,12405,26731
NotApp :,3478,*,*
AREA # 030151,Paingkyon(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1339,39668,41007
 Grade 1,213,3860,4073
 Grade 2,200,4159,4359
 Grade 3,218,4979,5197
 Grade 4,238,4596,4834
 Grade 5,325,5680,6005
 Grade 6,190,3513,3703
 Grade 7,152,1711,1863
 Grade 8,157,1423,1580
 Grade 9,131,1501,1632
 Grade 10,127,810,937
 Grade 11,158,1043,1201
 College,28,235,263
 Vocational training,-,6,6
 Undergraduate diploma,4,28,32
 Graduate,108,328,436
 Postgraduate diploma,3,8,11
 Master degree,1,2,3
