Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
 Urban,7322,47570,54892
 Rural,2041,50199,52240
 Total,9363,97769,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,406,3223,3629
 Rural,400,28498,28898
 Total,806,31721,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,209,4045,4254
 Rural,327,41494,41821
 Total,536,45539,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,353,4693,5046
 Rural,367,31670,32037
 Total,720,36363,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,233,12829,13062
 Rural,83,31617,31700
 Total,316,44446,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,86,6787,6873
 Rural,161,44614,44775
 Total,247,51401,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,807,7933,8740
 Rural,859,36154,37013
 Total,1666,44087,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,493,4372,4865
 Rural,224,16693,16917
 Total,717,21065,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3215,18685,21900
 Rural,1482,34078,35560
 Total,4697,52763,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,677,5278,5955
 Rural,1621,42951,44572
 Total,2298,48229,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,259,1999,2258
 Rural,388,20237,20625
 Total,647,22236,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1613,12214,13827
 Rural,1193,39911,41104
 Total,2806,52125,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,298,2911,3209
 Rural,1294,32367,33661
 Total,1592,35278,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,294,2082,2376
 Rural,586,23819,24405
 Total,880,25901,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
