Highest_grade,Sex_Male,Sex_Female,Sex_Total
NotApp :,3055,*,*
AREA # 030153,Leiktho(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2157,2534,4691
 Grade 1,1638,1492,3130
 Grade 2,1649,1530,3179
 Grade 3,2092,1968,4060
 Grade 4,2259,2118,4377
 Grade 5,4034,3721,7755
 Grade 6,1913,1598,3511
 Grade 7,1284,1071,2355
 Grade 8,1080,934,2014
 Grade 9,1073,1051,2124
 Grade 10,625,706,1331
 Grade 11,928,1302,2230
 College,115,136,251
 Vocational training,14,11,25
 Undergraduate diploma,24,21,45
 Graduate,135,251,386
 Postgraduate diploma,4,4,8
 Master degree,16,2,18
 PhD,2,-,2
 Other,10,2,12
 Total,21052,20452,41504
NotApp :,7102,*,*
AREA # 030154,Bawgali(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,677,677,1354
 Grade 1,465,421,886
 Grade 2,556,549,1105
 Grade 3,758,691,1449
 Grade 4,753,726,1479
 Grade 5,1245,1354,2599
 Grade 6,608,587,1195
 Grade 7,512,519,1031
 Grade 8,427,468,895
 Grade 9,529,517,1046
 Grade 10,334,363,697
 Grade 11,471,631,1102
 College,39,47,86
 Vocational training,-,4,4
 Undergraduate diploma,8,17,25
 Graduate,55,93,148
 Postgraduate diploma,2,4,6
 Master degree,2,1,3
 PhD,1,-,1
 Other,32,25,57
 Total,7474,7694,15168
NotApp :,2069,*,*
AREA # 030201,Pharpon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,942,974,1916
 Grade 1,412,432,844
 Grade 2,484,501,985
 Grade 3,617,526,1143
 Grade 4,849,707,1556
 Grade 5,745,575,1320
 Grade 6,439,327,766
 Grade 7,475,343,818
 Grade 8,476,354,830
 Grade 9,374,295,669
 Grade 10,483,471,954
 Grade 11,163,168,331
 College,65,65,130
 Vocational training,1,1,2
 Undergraduate diploma,24,10,34
 Graduate,251,146,397
 Postgraduate diploma,4,4,8
 Master degree,27,2,29
 PhD,2,1,3
 Other,8,1,9
 Total,6841,5903,12744
NotApp :,1446,*,*
AREA # 030251,Kamamaung(ST},*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1733,1998,3731
 Grade 1,542,494,1036
 Grade 2,687,597,1284
 Grade 3,780,810,1590
 Grade 4,930,985,1915
 Grade 5,1095,1102,2197
 Grade 6,690,628,1318
 Grade 7,568,479,1047
 Grade 8,507,471,978
 Grade 9,489,420,909
 Grade 10,435,520,955
 Grade 11,342,331,673
 College,99,126,225
 Vocational training,3,1,4
 Undergraduate diploma,14,24,38
 Graduate,140,239,379
 Postgraduate diploma,1,3,4
 Master degree,1,5,6
 PhD,1,-,1
 Other,26,4,30
 Total,9083,9237,18320
NotApp :,2575,*,*
AREA # 030301,Myawady,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14421,15938,30359
 Grade 1,4831,4801,9632
 Grade 2,5840,6487,12327
 Grade 3,6918,7466,14384
 Grade 4,10169,10928,21097
 Grade 5,9794,9541,19335
 Grade 6,5741,5320,11061
 Grade 7,5284,4193,9477
 Grade 8,5932,4497,10429
 Grade 9,5151,3633,8784
 Grade 10,6467,5155,11622
 Grade 11,3042,2409,5451
 College,1463,1183,2646
 Vocational training,65,56,121
 Undergraduate diploma,153,119,272
 Graduate,2478,2821,5299
 Postgraduate diploma,52,101,153
 Master degree,38,28,66
 PhD,11,8,19
 Other,529,234,763
 Total,88379,84918,173297
NotApp :,22327,*,*
AREA # 030351,Sugali(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1053,1095,2148
 Grade 1,277,209,486
 Grade 2,176,160,336
 Grade 3,189,160,349
 Grade 4,189,164,353
 Grade 5,187,160,347
 Grade 6,106,93,199
 Grade 7,65,58,123
 Grade 8,61,41,102
 Grade 9,67,48,115
 Grade 10,44,34,78
 Grade 11,49,33,82
 College,17,13,30
 Vocational training,3,3,6
 Undergraduate diploma,1,1,2
 Graduate,27,13,40
 Postgraduate diploma,1,1,2
 Other,60,46,106
 Total,2572,2332,4904
NotApp :,799,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1586,1443,3029
 Grade 1,290,296,586
 Grade 2,357,289,646
 Grade 3,391,352,743
 Grade 4,285,318,603
 Grade 5,302,328,630
 Grade 6,188,159,347
 Grade 7,147,126,273
 Grade 8,101,76,177
 Grade 9,126,81,207
 Grade 10,112,71,183
 Grade 11,63,57,120
 College,13,13,26
 Vocational training,3,-,3
 Undergraduate diploma,2,1,3
 Graduate,35,21,56
 Postgraduate diploma,2,6,8
 Other,202,109,311
 Total,4205,3746,7951
NotApp :,1262,*,*
AREA # 030401,Kawkareik,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,19679,28000,47679
 Grade 1,5951,5662,11613
 Grade 2,7352,7520,14872
 Grade 3,9253,9254,18507
 Grade 4,8993,9065,18058
 Grade 5,12339,12423,24762
 Grade 6,5853,6017,11870
 Grade 7,4559,4645,9204
 Grade 8,4314,4278,8592
 Grade 9,4400,4207,8607
 Grade 10,2690,2805,5495
 Grade 11,3661,4067,7728
 College,904,1052,1956
 Vocational training,59,48,107
 Undergraduate diploma,150,136,286
 Graduate,1600,2832,4432
 Postgraduate diploma,39,73,112
 Master degree,62,37,99
 PhD,10,4,14
 Other,1083,328,1411
 Total,92951,102453,195404
NotApp :,24938,*,*
AREA # 030402,Kyarinseikkyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10852,13247,24099
 Grade 1,3076,2785,5861
 Grade 2,4143,3869,8012
 Grade 3,5014,4809,9823
 Grade 4,4467,4902,9369
 Grade 5,5685,6338,12023
 Grade 6,2388,2724,5112
 Grade 7,1790,2056,3846
 Grade 8,1679,1658,3337
 Grade 9,1566,1540,3106
 Grade 10,1222,1382,2604
 Grade 11,1093,1312,2405
 College,364,422,786
 Vocational training,24,18,42
 Undergraduate diploma,85,72,157
 Graduate,474,859,1333
 Postgraduate diploma,34,44,78
 Master degree,18,8,26
 PhD,-,1,1
 Other,2017,751,2768
 Total,45991,48797,94788
NotApp :,11639,*,*
AREA # 030451,Payarthonezu(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10435,10963,21398
 Grade 1,2553,2427,4980
 Grade 2,2976,3113,6089
 Grade 3,3278,3475,6753
 Grade 4,3415,3843,7258
 Grade 5,3804,4293,8097
 Grade 6,2119,2276,4395
 Grade 7,1612,1685,3297
 Grade 8,1472,1587,3059
 Grade 9,1510,1480,2990
 Grade 10,1406,1449,2855
 Grade 11,890,786,1676
 College,284,338,622
 Vocational training,21,12,33
 Undergraduate diploma,30,19,49
 Graduate,367,542,909
 Postgraduate diploma,6,9,15
 Master degree,2,6,8
 PhD,-,1,1
 Other,2914,2158,5072
 Total,39094,40462,79556
NotApp :,10928,*,*
AREA # 030452,Kyaidon(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11541,13118,24659
 Grade 1,1408,1342,2750
 Grade 2,1647,1571,3218
 Grade 3,1945,1671,3616
 Grade 4,1902,1632,3534
 Grade 5,2025,1860,3885
 Grade 6,903,874,1777
 Grade 7,661,551,1212
 Grade 8,678,519,1197
 Grade 9,571,495,1066
 Grade 10,371,331,702
 Grade 11,523,452,975
 College,73,79,152
 Vocational training,5,3,8
 Undergraduate diploma,6,16,22
 Graduate,96,77,173
 Postgraduate diploma,3,2,5
 Master degree,1,1,2
 Other,832,134,966
 Total,25191,24728,49919
NotApp :,8019,*,*
AREA # 040101,HaKa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2012,3264,5276
 Grade 1,989,981,1970
 Grade 2,932,1081,2013
 Grade 3,1195,1358,2553
 Grade 4,1782,1975,3757
 Grade 5,2897,3040,5937
 Grade 6,1266,1149,2415
 Grade 7,1248,1148,2396
 Grade 8,1357,1298,2655
 Grade 9,1523,1531,3054
 Grade 10,1677,2077,3754
 Grade 11,1351,1670,3021
 College,374,440,814
 Vocational training,32,35,67
 Undergraduate diploma,124,115,239
 Graduate,1201,1242,2443
 Postgraduate diploma,68,42,110
 Master degree,64,43,107
 PhD,9,8,17
 Other,54,21,75
 Total,20155,22518,42673
NotApp :,5679,*,*
AREA # 040102,Thantlang,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2856,4391,7247
 Grade 1,1191,1140,2331
 Grade 2,1166,1389,2555
 Grade 3,1445,1672,3117
 Grade 4,2292,2338,4630
 Grade 5,2188,2192,4380
 Grade 6,1330,1361,2691
 Grade 7,1456,1289,2745
 Grade 8,1631,1498,3129
 Grade 9,1656,1663,3319
 Grade 10,1696,2063,3759
 Grade 11,871,848,1719
 College,186,137,323
 Vocational training,36,29,65
 Undergraduate diploma,119,65,184
 Graduate,585,380,965
 Postgraduate diploma,48,15,63
 Master degree,47,14,61
 PhD,5,2,7
 Other,9,11,20
 Total,20813,22497,43310
NotApp :,7064,*,*
AREA # 040201,Falam,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1238,2529,3767
 Grade 1,801,720,1521
 Grade 2,789,913,1702
 Grade 3,976,1291,2267
 Grade 4,1219,1405,2624
 Grade 5,2767,2810,5577
 Grade 6,1304,1114,2418
 Grade 7,1199,918,2117
 Grade 8,1392,931,2323
 Grade 9,1600,1271,2871
 Grade 10,1261,1035,2296
 Grade 11,1989,2165,4154
 College,314,489,803
 Vocational training,24,21,45
 Undergraduate diploma,111,72,183
 Graduate,716,751,1467
 Postgraduate diploma,57,36,93
 Master degree,55,19,74
 PhD,9,3,12
 Other,26,10,36
 Total,17847,18503,36350
NotApp :,5107,*,*
AREA # 040202,Tedim,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2889,6770,9659
 Grade 1,2013,2140,4153
 Grade 2,1999,2425,4424
 Grade 3,2376,3300,5676
 Grade 4,2916,3407,6323
 Grade 5,5107,5275,10382
 Grade 6,2742,2279,5021
 Grade 7,2511,2057,4568
 Grade 8,2777,1986,4763
 Grade 9,3039,2375,5414
 Grade 10,2348,2294,4642
 Grade 11,3333,3479,6812
 College,386,466,852
 Vocational training,78,76,154
 Undergraduate diploma,170,202,372
 Graduate,1031,1042,2073
 Postgraduate diploma,86,64,150
 Master degree,75,25,100
 PhD,12,-,12
 Other,20,9,29
 Total,35908,39671,75579
NotApp :,12044,*,*
AREA # 040203,Tonzaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,775,1512,2287
 Grade 1,560,584,1144
 Grade 2,511,594,1105
 Grade 3,589,774,1363
 Grade 4,730,785,1515
 Grade 5,1266,1339,2605
 Grade 6,687,639,1326
 Grade 7,541,462,1003
 Grade 8,537,447,984
 Grade 9,669,514,1183
 Grade 10,420,368,788
 Grade 11,761,729,1490
 College,80,64,144
 Vocational training,7,13,20
 Undergraduate diploma,46,27,73
 Graduate,228,161,389
 Postgraduate diploma,17,4,21
 Master degree,8,2,10
 PhD,1,-,1
 Other,1,4,5
 Total,8434,9022,17456
NotApp :,3266,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,168,343,511
 Grade 1,122,112,234
 Grade 2,130,145,275
 Grade 3,165,199,364
 Grade 4,204,238,442
 Grade 5,378,388,766
 Grade 6,223,229,452
 Grade 7,206,174,380
 Grade 8,228,196,424
 Grade 9,287,237,524
 Grade 10,239,207,446
 Grade 11,373,316,689
 College,46,44,90
 Vocational training,8,3,11
 Undergraduate diploma,8,11,19
 Graduate,108,79,187
 Postgraduate diploma,8,2,10
 Master degree,4,4,8
 PhD,-,1,1
 Other,1,-,1
 Total,2906,2928,5834
NotApp :,786,*,*
AREA # 040252,Cikha(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,285,864,1149
 Grade 1,241,270,511
 Grade 2,266,354,620
 Grade 3,370,446,816
 Grade 4,454,424,878
 Grade 5,767,623,1390
 Grade 6,325,287,612
 Grade 7,280,240,520
 Grade 8,358,222,580
 Grade 9,340,222,562
 Grade 10,255,196,451
 Grade 11,626,519,1145
 College,72,44,116
 Vocational training,3,2,5
 Undergraduate diploma,16,27,43
 Graduate,94,69,163
 Postgraduate diploma,14,1,15
 Master degree,20,1,21
 PhD,1,-,1
 Other,1,1,2
 Total,4788,4812,9600
NotApp :,1556,*,*
AREA # 040301,Mindat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2583,6652,9235
 Grade 1,1250,1127,2377
 Grade 2,953,1109,2062
 Grade 3,1088,1209,2297
 Grade 4,1142,1325,2467
 Grade 5,2302,2324,4626
 Grade 6,907,850,1757
 Grade 7,901,687,1588
 Grade 8,903,703,1606
 Grade 9,997,702,1699
 Grade 10,1181,1063,2244
 Grade 11,1161,1018,2179
 College,307,204,511
 Vocational training,32,31,63
 Undergraduate diploma,60,40,100
 Graduate,597,541,1138
 Postgraduate diploma,60,24,84
 Master degree,29,5,34
 PhD,-,2,2
 Other,16,9,25
 Total,16469,19625,36094
NotApp :,6506,*,*
AREA # 040302,Matupi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2275,4812,7087
 Grade 1,796,744,1540
 Grade 2,813,827,1640
 Grade 3,892,996,1888
 Grade 4,1292,1382,2674
 Grade 5,2119,1949,4068
 Grade 6,997,855,1852
 Grade 7,988,778,1766
 Grade 8,1076,896,1972
 Grade 9,1317,1233,2550
 Grade 10,1428,1536,2964
 Grade 11,1135,1119,2254
 College,288,255,543
 Vocational training,7,17,24
 Undergraduate diploma,38,63,101
 Graduate,551,390,941
 Postgraduate diploma,25,13,38
 Master degree,20,8,28
 PhD,3,1,4
 Other,9,6,15
 Total,16069,17880,33949
NotApp :,5137,*,*
AREA # 040303,Kanpalet,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1189,3125,4314
 Grade 1,577,593,1170
 Grade 2,485,560,1045
 Grade 3,519,555,1074
 Grade 4,573,542,1115
 Grade 5,1292,1182,2474
 Grade 6,526,405,931
 Grade 7,452,318,770
 Grade 8,536,378,914
 Grade 9,494,394,888
 Grade 10,724,501,1225
 Grade 11,706,530,1236
 College,101,85,186
 Vocational training,31,27,58
 Undergraduate diploma,11,12,23
 Graduate,316,232,548
 Postgraduate diploma,18,17,35
 Master degree,10,4,14
 PhD,3,1,4
 Other,4,2,6
 Total,8567,9463,18030
NotApp :,3463,*,*
AREA # 040304,Paletwat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5477,11817,17294
 Grade 1,1824,1757,3581
 Grade 2,1701,1655,3356
 Grade 3,2076,2161,4237
 Grade 4,2240,2024,4264
 Grade 5,4055,3355,7410
 Grade 6,1492,1216,2708
 Grade 7,1242,938,2180
 Grade 8,1257,853,2110
 Grade 9,1414,941,2355
 Grade 10,1016,705,1721
 Grade 11,2118,1646,3764
 College,172,128,300
 Vocational training,30,16,46
 Undergraduate diploma,44,50,94
 Graduate,502,338,840
 Postgraduate diploma,24,12,36
 Master degree,8,3,11
 Other,9,7,16
 Total,26701,29622,56323
NotApp :,8648,*,*
AREA # 040351,Reazu(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,738,1531,2269
 Grade 1,228,244,472
 Grade 2,236,260,496
 Grade 3,271,370,641
 Grade 4,415,530,945
 Grade 5,910,1150,2060
 Grade 6,299,301,600
 Grade 7,293,254,547
 Grade 8,273,241,514
 Grade 9,304,321,625
 Grade 10,229,291,520
 Grade 11,301,397,698
 College,21,16,37
 Vocational training,3,4,7
 Undergraduate diploma,10,15,25
 Graduate,68,46,114
 Postgraduate diploma,5,8,13
 Master degree,1,-,1
 Other,2,4,6
 Total,4607,5983,10590
NotApp :,1675,*,*
AREA # 040352,Sami(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2135,5449,7584
 Grade 1,929,872,1801
 Grade 2,799,884,1683
 Grade 3,1010,1120,2130
 Grade 4,1146,1068,2214
 Grade 5,2041,1448,3489
 Grade 6,897,633,1530
 Grade 7,650,472,1122
 Grade 8,755,411,1166
 Grade 9,758,474,1232
 Grade 10,597,316,913
 Grade 11,1126,668,1794
 College,59,30,89
 Vocational training,11,9,20
 Undergraduate diploma,34,6,40
 Graduate,174,61,235
 Postgraduate diploma,13,1,14
 Master degree,7,-,7
 Other,7,3,10
 Total,13148,13925,27073
NotApp :,5009,*,*
AREA # 050101,Sagaing,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5319,9124,14443
 Grade 1,3593,4151,7744
 Grade 2,4919,6904,11823
 Grade 3,7765,11595,19360
 Grade 4,12631,17061,29692
 Grade 5,34846,43318,78164
 Grade 6,7926,8765,16691
 Grade 7,7049,6559,13608
 Grade 8,7914,6319,14233
 Grade 9,8892,6972,15864
 Grade 10,7596,6324,13920
 Grade 11,7918,6956,14874
 College,4070,4035,8105
 Vocational training,270,195,465
 Undergraduate diploma,798,582,1380
 Graduate,7073,10056,17129
 Postgraduate diploma,200,263,463
 Master degree,154,506,660
 PhD,41,59,100
 Other,3385,3342,6727
 Total,132359,153086,285445
NotApp :,21749,*,*
AREA # 050102,Myinmu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2971,4644,7615
 Grade 1,1520,1672,3192
 Grade 2,2049,2881,4930
 Grade 3,3367,4624,7991
 Grade 4,4549,5892,10441
 Grade 5,14263,17667,31930
 Grade 6,2284,2656,4940
 Grade 7,2023,2107,4130
 Grade 8,2161,2000,4161
 Grade 9,2147,2078,4225
 Grade 10,1693,1615,3308
 Grade 11,2457,2270,4727
 College,887,909,1796
 Vocational training,62,45,107
 Undergraduate diploma,142,125,267
 Graduate,1628,2577,4205
 Postgraduate diploma,41,87,128
 Master degree,14,80,94
 PhD,2,3,5
 Other,990,389,1379
 Total,45250,54321,99571
NotApp :,7415,*,*
AREA # 050103,Myaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2170,3423,5593
 Grade 1,1363,1452,2815
 Grade 2,1702,2326,4028
 Grade 3,2523,3808,6331
 Grade 4,4056,6158,10214
 Grade 5,13128,19086,32214
 Grade 6,2487,2919,5406
 Grade 7,2290,2294,4584
 Grade 8,2585,2255,4840
 Grade 9,2575,2034,4609
 Grade 10,2419,2013,4432
 Grade 11,2396,2112,4508
 College,921,873,1794
 Vocational training,97,68,165
 Undergraduate diploma,109,92,201
 Graduate,1975,2766,4741
 Postgraduate diploma,20,63,83
 Master degree,14,52,66
 PhD,1,3,4
 Other,947,1220,2167
 Total,43778,55017,98795
NotApp :,7616,*,*
AREA # 050201,Shwebo,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5973,10094,16067
 Grade 1,2764,2868,5632
 Grade 2,3798,5169,8967
 Grade 3,5695,8826,14521
 Grade 4,8567,11776,20343
 Grade 5,23648,29906,53554
 Grade 6,6719,7574,14293
 Grade 7,5859,5892,11751
 Grade 8,6364,5599,11963
 Grade 9,6437,5386,11823
 Grade 10,5424,4489,9913
 Grade 11,6630,5541,12171
 College,2727,2626,5353
 Vocational training,261,239,500
 Undergraduate diploma,547,175,722
 Graduate,5613,7846,13459
 Postgraduate diploma,131,310,441
 Master degree,115,353,468
 PhD,23,48,71
 Other,3317,3331,6648
 Total,100612,118048,218660
NotApp :,16882,*,*
AREA # 050202,Khin U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4733,7379,12112
 Grade 1,2111,2453,4564
 Grade 2,2802,4139,6941
 Grade 3,4071,6251,10322
 Grade 4,7004,9108,16112
 Grade 5,17830,20758,38588
 Grade 6,3972,4028,8000
 Grade 7,3510,3486,6996
 Grade 8,3607,3277,6884
 Grade 9,3298,2681,5979
 Grade 10,2459,2089,4548
 Grade 11,2117,1871,3988
 College,1187,989,2176
 Vocational training,83,47,130
 Undergraduate diploma,206,102,308
 Graduate,1544,2379,3923
 Postgraduate diploma,20,44,64
 Master degree,15,40,55
 PhD,2,5,7
 Other,1445,1625,3070
 Total,62016,72751,134767
NotApp :,11690,*,*
AREA # 050203,Wetlet,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5242,10557,15799
 Grade 1,2406,2652,5058
 Grade 2,4580,6105,10685
 Grade 3,6494,8899,15393
 Grade 4,11149,14686,25835
 Grade 5,20360,24930,45290
 Grade 6,5057,5472,10529
 Grade 7,4533,4460,8993
 Grade 8,4626,4047,8673
 Grade 9,4366,3494,7860
 Grade 10,3593,2811,6404
 Grade 11,3183,2559,5742
 College,1475,1332,2807
 Vocational training,279,198,477
 Undergraduate diploma,276,137,413
 Graduate,2620,3790,6410
 Postgraduate diploma,42,75,117
 Master degree,35,94,129
 PhD,7,5,12
 Other,2402,2609,5011
 Total,82725,98912,181637
NotApp :,14579,*,*
AREA # 050204,Kambalu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6062,11053,17115
 Grade 1,4295,4456,8751
 Grade 2,5149,6590,11739
 Grade 3,7955,11339,19294
 Grade 4,13895,17780,31675
 Grade 5,36480,41463,77943
 Grade 6,9473,9414,18887
 Grade 7,7713,7083,14796
 Grade 8,7340,6293,13633
 Grade 9,7433,6432,13865
 Grade 10,4477,3496,7973
 Grade 11,5643,5029,10672
 College,2358,2009,4367
 Vocational training,195,187,382
 Undergraduate diploma,424,215,639
 Graduate,3379,4536,7915
 Postgraduate diploma,49,88,137
 Master degree,41,98,139
 PhD,12,12,24
 Other,4158,4934,9092
 Total,126531,142507,269038
NotApp :,26523,*,*
AREA # 050205,Kyunhlau,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2701,5229,7930
 Grade 1,1426,1596,3022
 Grade 2,1535,2232,3767
 Grade 3,2454,3577,6031
 Grade 4,4747,5990,10737
 Grade 5,14107,13709,27816
 Grade 6,3546,3115,6661
 Grade 7,3069,2323,5392
 Grade 8,3105,2257,5362
 Grade 9,2647,2035,4682
 Grade 10,3056,2444,5500
 Grade 11,869,552,1421
 College,746,616,1362
 Vocational training,41,27,68
 Undergraduate diploma,82,52,134
 Graduate,1257,1551,2808
 Postgraduate diploma,22,23,45
 Master degree,4,14,18
 PhD,3,3,6
 Other,827,726,1553
 Total,46244,48071,94315
NotApp :,9772,*,*
AREA # 050206,Ye U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3060,6090,9150
 Grade 1,1373,1541,2914
 Grade 2,1639,2292,3931
 Grade 3,2179,4031,6210
 Grade 4,3835,6310,10145
 Grade 5,13365,19905,33270
 Grade 6,3116,3474,6590
 Grade 7,2878,2970,5848
 Grade 8,3466,3050,6516
 Grade 9,3238,2936,6174
 Grade 10,2521,2608,5129
 Grade 11,2254,2229,4483
 College,925,944,1869
 Vocational training,62,47,109
 Undergraduate diploma,157,85,242
 Graduate,1904,2851,4755
 Postgraduate diploma,18,52,70
 Master degree,15,42,57
 PhD,4,1,5
 Other,301,520,821
 Total,46310,61978,108288
NotApp :,10002,*,*
AREA # 050207,Depayin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4997,10782,15779
 Grade 1,2250,2346,4596
 Grade 2,2252,3210,5462
 Grade 3,3639,5713,9352
 Grade 4,5974,8506,14480
 Grade 5,16682,18979,35661
 Grade 6,3786,3899,7685
 Grade 7,3616,3339,6955
 Grade 8,3470,2994,6464
 Grade 9,3194,2555,5749
 Grade 10,2242,1881,4123
 Grade 11,2434,2021,4455
 College,961,932,1893
 Vocational training,65,56,121
 Undergraduate diploma,128,56,184
 Graduate,1519,2256,3775
 Postgraduate diploma,27,39,66
 Master degree,11,47,58
 PhD,2,4,6
 Other,797,645,1442
 Total,58046,70260,128306
NotApp :,12509,*,*
AREA # 050208,Tasei,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3267,7179,10446
 Grade 1,1993,2075,4068
 Grade 2,2294,3359,5653
 Grade 3,3017,5342,8359
 Grade 4,4578,7708,12286
 Grade 5,22258,30917,53175
 Grade 6,4727,5069,9796
 Grade 7,4429,4373,8802
 Grade 8,4641,4191,8832
 Grade 9,4066,3716,7782
 Grade 10,2860,2829,5689
 Grade 11,2777,2955,5732
 College,980,1178,2158
 Vocational training,65,54,119
 Undergraduate diploma,147,78,225
 Graduate,1756,2755,4511
 Postgraduate diploma,18,39,57
 Master degree,15,49,64
 PhD,2,2,4
 Other,814,1153,1967
 Total,64704,85021,149725
NotApp :,15385,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1264,1961,3225
 Grade 1,424,435,859
 Grade 2,552,667,1219
 Grade 3,857,1285,2142
 Grade 4,1679,2100,3779
 Grade 5,2894,3324,6218
 Grade 6,881,951,1832
 Grade 7,788,684,1472
 Grade 8,779,636,1415
 Grade 9,705,626,1331
 Grade 10,553,366,919
 Grade 11,681,600,1281
 College,254,215,469
 Vocational training,6,6,12
 Undergraduate diploma,38,6,44
 Graduate,432,657,1089
 Postgraduate diploma,8,16,24
 Master degree,6,18,24
 PhD,1,2,3
 Other,642,698,1340
 Total,13444,15253,28697
NotApp :,2568,*,*
AREA # 050301,Monywa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9738,17901,27639
 Grade 1,4031,4335,8366
 Grade 2,5014,7006,12020
 Grade 3,8059,11984,20043
 Grade 4,13537,19224,32761
 Grade 5,34819,43461,78280
 Grade 6,9445,10111,19556
 Grade 7,9080,8247,17327
 Grade 8,10719,8734,19453
 Grade 9,11073,8659,19732
 Grade 10,10583,9366,19949
 Grade 11,11305,10376,21681
 College,5047,5547,10594
 Vocational training,345,298,643
 Undergraduate diploma,753,486,1239
 Graduate,12695,18068,30763
 Postgraduate diploma,321,599,920
 Master degree,409,1247,1656
 PhD,70,175,245
 Other,1317,1195,2512
 Total,158360,187019,345379
NotApp :,26716,*,*
AREA # 050302,Butalin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3698,7229,10927
 Grade 1,1374,1518,2892
 Grade 2,1956,2876,4832
 Grade 3,2905,4888,7793
 Grade 4,3894,6111,10005
 Grade 5,15471,19773,35244
 Grade 6,3195,3627,6822
 Grade 7,2845,2776,5621
 Grade 8,2933,2702,5635
 Grade 9,2800,2547,5347
 Grade 10,2467,1953,4420
 Grade 11,2213,2058,4271
 College,808,766,1574
 Vocational training,44,30,74
 Undergraduate diploma,145,68,213
 Graduate,1644,2497,4141
 Postgraduate diploma,33,58,91
