Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Female,3932,8270,6,330,-,-,-,10,-,18,2,19,5,408,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,13,3,-,-,-,-,-,-,35,7,5,1,19,873,3,8,-,1,-,-,369,-,-,-,3,-,-,9,-,4,-,4,-,-,-,-,-,-,3,-,-,-,-,7,121,684,59,-,-,1,-,-,-,10,-,325,249,4,-,15822,Yanbye,MMR012013
 Total,7441,21375,93,3201,-,1,-,49,-,57,3,20,5,432,-,15,-,4,2,-,-,-,7,6,10,-,-,-,-,2,15,56,27,-,13,2,-,-,-,486,16,9,18,26,1362,234,75,-,7,-,1,513,2,-,-,10,-,-,17,-,7,1,8,-,-,-,-,8,2,7,-,-,1,-,18,493,1027,105,3,8,18,-,1,-,23,3,705,572,13,1,38636,Yanbye,MMR012013
 Male,3592,17123,383,2052,-,3,-,29,-,49,3,1,1,19,-,69,-,4,-,-,1,-,20,8,7,-,-,1,-,1,16,179,59,-,12,1,-,-,1,1000,71,14,71,11,789,552,59,4,84,-,4,249,9,-,-,11,-,-,13,-,4,2,3,-,1,-,-,2,1,3,-,-,5,2,36,1441,311,46,7,7,8,-,-,-,10,8,1076,489,4,-,30041,An,MMR012014
 Female,3968,7257,40,236,-,-,-,-,-,17,-,1,2,285,-,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,42,2,-,1,2,-,-,-,236,23,3,2,13,1108,18,7,1,16,-,1,554,-,-,-,5,-,-,17,-,3,-,2,-,-,-,-,-,-,2,-,-,-,-,27,171,582,85,2,1,1,1,-,-,3,-,442,235,1,-,15426,An,MMR012014
 Total,7560,24380,423,2288,-,3,-,29,-,66,3,2,3,304,-,79,-,4,-,-,1,-,21,8,7,-,-,1,-,1,16,221,61,-,13,3,-,-,1,1236,94,17,73,24,1897,570,66,5,100,-,5,803,9,-,-,16,-,-,30,-,7,2,5,-,1,-,-,2,1,5,-,-,5,2,63,1612,893,131,9,8,9,1,-,-,13,8,1518,724,5,-,45467,An,MMR012014
 Male,3488,14157,691,6170,-,5,-,53,-,173,24,2,2,44,4,62,-,8,-,3,2,4,14,20,31,-,-,-,-,9,53,220,226,-,71,9,-,-,3,2416,60,79,184,28,1472,2006,242,55,91,-,837,583,15,1,1,17,2,-,46,-,4,2,16,-,-,1,-,33,1,8,-,-,13,5,100,1360,285,70,15,8,29,-,8,1,11,10,538,288,3,-,36492,Thandwe,MMR012015
 Female,2862,4776,63,590,-,-,-,8,-,71,12,7,42,372,1,20,-,-,-,-,-,5,6,-,2,-,-,-,1,-,-,60,2,-,8,3,-,-,1,275,25,2,6,45,3068,28,3,11,4,-,819,1698,4,1,-,17,-,1,69,1,8,3,12,-,-,-,-,-,-,9,-,-,1,2,68,487,1013,114,4,2,3,-,1,4,9,-,252,144,4,3,17132,Thandwe,MMR012015
 Total,6350,18933,754,6760,-,5,-,61,-,244,36,9,44,416,5,82,-,8,-,3,2,9,20,20,33,-,-,-,1,9,53,280,228,-,79,12,-,-,4,2691,85,81,190,73,4540,2034,245,66,95,-,1656,2281,19,2,1,34,2,1,115,1,12,5,28,-,-,1,-,33,1,17,-,-,14,7,168,1847,1298,184,19,10,32,-,9,5,20,10,790,432,7,3,53624,Thandwe,MMR012015
 Male,4371,13043,760,1869,1,-,-,77,-,144,10,2,1,29,1,46,1,6,-,-,-,1,16,13,21,-,-,1,-,8,34,190,201,-,50,11,-,-,-,1669,55,19,98,26,1234,1700,226,-,145,-,3,470,9,-,-,12,1,1,36,-,7,1,6,-,-,-,1,12,-,8,-,-,14,2,220,987,259,84,8,6,8,-,7,2,23,7,922,433,9,-,29637,Toungup,MMR012016
 Female,5569,4679,69,92,-,-,-,26,-,75,5,1,4,452,-,14,-,2,-,-,1,-,12,-,2,-,-,-,-,-,1,60,4,-,12,3,-,-,-,163,43,11,2,33,2731,25,1,-,6,-,1,972,1,1,-,2,1,-,43,-,7,-,9,-,-,-,-,3,-,2,-,-,-,-,71,237,728,106,1,2,1,1,1,4,4,-,340,135,4,-,16775,Toungup,MMR012016
 Total,9940,17722,829,1961,1,-,-,103,-,219,15,3,5,481,1,60,1,8,-,-,1,1,28,13,23,-,-,1,-,8,35,250,205,-,62,14,-,-,-,1832,98,30,100,59,3965,1725,227,-,151,-,4,1442,10,1,-,14,2,1,79,-,14,1,15,-,-,-,1,15,-,10,-,-,14,2,291,1224,987,190,9,8,9,1,8,6,27,7,1262,568,13,-,46412,Toungup,MMR012016
 Male,1276,5001,477,3203,-,-,-,47,-,58,1,3,-,10,-,41,-,2,-,-,-,-,18,4,9,-,-,-,-,2,31,117,80,-,7,-,-,-,-,569,83,12,58,11,485,393,24,-,29,-,1,163,2,-,-,1,-,-,7,-,2,-,1,-,-,-,-,5,-,5,-,-,6,-,9,510,109,16,2,2,4,-,6,1,6,3,204,245,-,1,13362,Gwa,MMR012017
 Female,931,1707,57,321,-,-,-,6,-,27,1,-,-,104,-,14,-,-,-,-,-,-,7,-,-,-,-,-,-,-,1,24,2,-,1,-,-,-,-,56,58,5,2,3,903,13,2,-,1,-,1,483,1,-,-,3,-,-,7,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,1,107,272,32,-,1,-,-,1,1,4,-,83,93,-,1,5340,Gwa,MMR012017
 Total,2207,6708,534,3524,-,-,-,53,-,85,2,3,-,114,-,55,-,2,-,-,-,-,25,4,9,-,-,-,-,2,32,141,82,-,8,-,-,-,-,625,141,17,60,14,1388,406,26,-,30,-,2,646,3,-,-,4,-,-,14,-,3,-,1,-,-,-,-,6,-,6,-,-,6,-,10,617,381,48,2,3,4,-,7,2,10,3,287,338,-,2,18702,Gwa,MMR012017
 Male,1522,7741,244,377,-,1,-,15,-,25,2,-,-,6,-,4,-,-,-,-,-,-,5,4,2,-,-,-,-,-,16,55,25,-,5,1,-,-,-,258,17,3,8,4,246,95,25,-,2,-,2,46,-,1,-,4,-,-,1,-,-,1,-,-,-,-,-,8,1,-,-,-,-,1,11,121,73,18,1,-,3,-,1,-,3,-,303,265,-,-,11572,Maei(ST),MMR012016
 Female,1333,3098,10,20,-,-,-,9,-,10,-,-,-,105,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,8,7,1,-,1,356,-,-,-,-,-,-,110,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,3,-,-,-,-,5,24,133,20,1,-,-,-,-,-,1,-,106,140,-,-,5517,Maei(ST),MMR012016
 Total,2855,10839,254,397,-,1,-,24,-,35,2,-,-,111,-,4,-,-,-,-,-,-,7,4,2,-,-,-,-,-,16,64,25,-,5,1,-,-,-,266,24,4,8,5,602,95,25,-,2,-,2,156,-,1,-,5,-,-,1,-,-,1,-,-,-,-,-,12,1,3,-,-,-,1,16,145,206,38,2,-,3,-,1,-,4,-,409,405,-,-,17089,Maei(ST),MMR012016
 Male,893,3353,73,1504,-,1,-,20,-,35,1,-,-,4,-,12,-,2,-,-,3,-,6,2,4,-,-,-,-,3,26,29,15,-,5,1,-,-,-,230,61,7,15,2,165,128,18,-,7,-,1,79,3,1,-,5,-,-,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,1,5,112,87,9,6,2,-,-,-,-,13,2,93,40,1,1,7091,Kyeintali(ST),MMR012017
 Female,1073,854,3,207,-,-,-,2,-,12,-,-,-,32,-,5,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,15,22,2,-,3,317,4,-,-,-,-,-,290,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,28,184,17,1,1,-,-,-,-,3,-,21,8,1,-,3122,Kyeintali(ST),MMR012017
 Total,1966,4207,76,1711,-,1,-,22,-,47,1,-,-,36,-,17,-,2,-,-,3,-,9,2,4,-,-,-,-,3,26,38,15,-,5,1,-,-,-,245,83,9,15,5,482,132,18,-,7,-,1,369,3,1,-,6,-,-,-,-,-,-,-,-,-,-,-,1,1,6,-,-,-,1,6,140,271,26,7,3,-,-,-,-,16,2,114,48,2,1,10213,Kyeintali(ST),MMR012017
 Male,7082,1095,367,617,2,56,-,57,1,530,290,8,179,992,154,65,60,73,5,43,145,488,47,363,694,1,18,29,6,30,264,664,1000,-,1108,206,-,1,5,8398,62,1150,1584,225,9501,10676,764,238,717,3,536,5981,237,53,6,183,24,90,308,2,59,101,93,-,4,-,26,133,17,79,2,93,703,74,4400,6030,420,482,84,301,283,1,177,473,219,131,2811,550,22,67,75318,Insein,MMR013001
 Female,6778,494,131,382,-,12,3,12,1,371,269,13,415,6818,107,43,20,58,1,30,242,372,10,56,34,1,2,5,-,-,69,401,48,-,67,54,-,2,7,911,9,33,98,132,10300,254,37,144,94,2,263,6963,233,30,8,187,18,53,422,1,91,69,104,-,3,3,16,50,18,79,3,85,32,76,3148,3501,2752,1263,76,209,80,7,88,597,236,9,1593,766,22,66,52562,Insein,MMR013001
 Total,13860,1589,498,999,2,68,3,69,2,901,559,21,594,7810,261,108,80,131,6,73,387,860,57,419,728,2,20,34,6,30,333,1065,1048,-,1175,260,-,3,12,9309,71,1183,1682,357,19801,10930,801,382,811,5,799,12944,470,83,14,370,42,143,730,3,150,170,197,-,7,3,42,183,35,158,5,178,735,150,7548,9531,3172,1745,160,510,363,8,265,1070,455,140,4404,1316,44,133,127880,Insein,MMR013001
 Male,7178,3552,310,178,1,34,1,34,-,544,632,69,100,2899,172,108,120,46,3,31,46,374,7,179,572,5,12,8,1,3,254,614,1041,-,694,220,-,-,7,12665,56,1094,1352,91,8158,11405,289,690,375,4,373,5310,143,25,5,166,9,60,218,-,39,120,47,-,-,-,14,110,19,68,3,58,832,45,3718,8997,296,326,46,143,231,-,77,162,55,77,1547,312,23,28,79930,Mingaladon,MMR013002
 Female,6796,1215,61,30,-,9,-,5,-,449,380,66,318,15928,391,50,101,30,2,23,57,134,2,14,14,4,1,1,1,-,51,353,36,-,50,45,-,1,7,794,20,23,70,60,9266,302,21,202,30,1,146,6326,59,8,9,115,6,40,256,1,47,46,77,-,1,-,3,39,3,43,1,62,49,27,2564,2369,2253,609,37,49,51,3,28,216,60,5,939,337,17,15,54330,Mingaladon,MMR013002
 Total,13974,4767,371,208,1,43,1,39,-,993,1012,135,418,18827,563,158,221,76,5,54,103,508,9,193,586,9,13,9,2,3,305,967,1077,-,744,265,-,1,14,13459,76,1117,1422,151,17424,11707,310,892,405,5,519,11636,202,33,14,281,15,100,474,1,86,166,124,-,1,-,17,149,22,111,4,120,881,72,6282,11366,2549,935,83,192,282,3,105,378,115,82,2486,649,40,43,134260,Mingaladon,MMR013002
 Male,5399,18905,442,619,4,15,-,249,3,353,550,19,35,1104,19,226,158,14,5,27,77,178,59,1002,403,3,3,9,-,2,78,3958,531,-,244,221,-,-,2,5922,78,184,482,51,4364,6610,108,27,268,-,108,1637,48,13,-,46,1,15,81,-,10,21,21,-,-,-,5,45,13,45,-,14,282,10,1504,5029,201,108,41,96,88,-,93,24,47,26,2026,645,21,12,65386,Hmawby,MMR013003
 Female,4273,9315,120,69,-,-,-,13,-,218,242,26,116,6925,19,119,74,14,1,25,127,221,15,187,36,-,-,6,-,1,3,1850,17,-,20,56,-,-,1,437,25,14,24,68,6886,71,3,11,10,-,37,2344,36,19,10,41,2,10,75,-,19,13,31,-,1,1,4,15,-,25,-,7,16,7,962,1227,1431,247,15,40,32,2,30,18,28,3,818,316,11,8,39559,Hmawby,MMR013003
 Total,9672,28220,562,688,4,15,-,262,3,571,792,45,151,8029,38,345,232,28,6,52,204,399,74,1189,439,3,3,15,-,3,81,5808,548,-,264,277,-,-,3,6359,103,198,506,119,11250,6681,111,38,278,-,145,3981,84,32,10,87,3,25,156,-,29,34,52,-,1,1,9,60,13,70,-,21,298,17,2466,6256,1632,355,56,136,120,2,123,42,75,29,2844,961,32,20,104945,Hmawby,MMR013003
 Male,9936,20542,2435,1270,2,6,-,68,1,395,210,9,73,1441,95,193,4,27,3,3,11,61,7,88,250,-,2,13,-,-,264,810,552,-,182,133,-,-,1,5280,61,146,711,32,4241,7376,146,13,119,1,53,1091,64,9,1,79,2,8,37,-,16,19,21,-,-,-,4,52,3,31,-,5,126,6,511,5907,223,152,20,43,284,-,32,56,26,22,3054,818,28,4,70020,Hlegu,MMR013004
 Female,6889,6363,498,295,-,2,-,10,-,229,102,271,227,7684,186,104,4,7,2,-,18,27,1,3,4,1,1,4,1,-,3,350,38,-,25,35,-,-,2,313,33,10,22,44,6604,84,2,9,12,-,20,1735,14,1,3,61,3,3,53,-,19,3,31,-,-,-,2,9,1,16,1,6,11,-,368,1400,1563,333,5,15,19,1,9,33,18,6,1068,345,11,5,37710,Hlegu,MMR013004
 Total,16825,26905,2933,1565,2,8,-,78,1,624,312,280,300,9125,281,297,8,34,5,3,29,88,8,91,254,1,3,17,1,-,267,1160,590,-,207,168,-,-,3,5593,94,156,733,76,10845,7460,148,22,131,1,73,2826,78,10,4,140,5,11,90,-,35,22,52,-,-,-,6,61,4,47,1,11,137,6,879,7307,1786,485,25,58,303,1,41,89,44,28,4122,1163,39,9,107730,Hlegu,MMR013004
 Male,9791,36297,1909,2030,1,29,-,117,-,637,29,14,17,219,11,444,6,15,4,2,9,48,54,73,83,-,-,1,-,5,192,3433,449,-,103,106,-,-,-,3526,34,71,344,88,5332,5921,153,7,179,-,25,1358,51,3,-,24,1,9,22,-,6,2,11,-,5,-,2,56,7,29,-,3,28,1,223,2850,364,107,13,26,99,-,26,2,10,22,2549,707,42,1,80467,Taikkyi,MMR013005
 Female,8451,14767,410,271,1,3,1,27,-,248,14,143,60,2318,12,562,1,3,1,2,7,21,35,5,4,3,-,-,-,-,7,2469,17,-,8,8,-,-,1,468,11,8,9,68,6736,73,9,2,41,-,17,1537,16,2,-,9,-,5,29,-,13,5,13,-,-,-,-,6,-,13,-,1,3,1,148,955,1419,221,5,2,36,1,10,1,5,2,1328,501,20,-,43629,Taikkyi,MMR013005
 Total,18242,51064,2319,2301,2,32,1,144,-,885,43,157,77,2537,23,1006,7,18,5,4,16,69,89,78,87,3,-,1,-,5,199,5902,466,-,111,114,-,-,1,3994,45,79,353,156,12068,5994,162,9,220,-,42,2895,67,5,-,33,1,14,51,-,19,7,24,-,5,-,2,62,7,42,-,4,31,2,371,3805,1783,328,18,28,135,1,36,3,15,24,3877,1208,62,1,124096,Taikkyi,MMR013005
 Male,4700,18430,145,2457,-,6,-,32,1,257,88,6,52,1475,95,70,19,9,-,10,10,90,10,36,72,1,-,-,2,1,40,602,200,-,103,76,-,-,2,2983,33,73,149,77,1948,2504,210,1,143,-,27,638,18,3,1,27,-,-,14,1,4,12,6,-,-,-,4,11,5,18,-,3,66,1,386,734,115,69,8,17,25,-,7,7,18,8,3037,828,44,-,43380,Htantabin,MMR013006
 Female,3211,7605,10,434,-,2,-,16,-,97,101,7,269,5689,305,39,3,3,-,5,7,44,5,4,2,1,-,-,-,-,2,359,7,-,6,11,-,-,-,269,16,7,9,35,2825,36,7,1,7,-,5,705,3,2,-,17,-,-,22,-,2,5,6,-,-,-,-,4,-,15,-,-,6,3,251,306,517,122,7,5,6,-,2,2,11,-,972,281,10,-,24743,Htantabin,MMR013006
 Total,7911,26035,155,2891,-,8,-,48,1,354,189,13,321,7164,400,109,22,12,-,15,17,134,15,40,74,2,-,-,2,1,42,961,207,-,109,87,-,-,2,3252,49,80,158,112,4773,2540,217,2,150,-,32,1343,21,5,1,44,-,-,36,1,6,17,12,-,-,-,4,15,5,33,-,3,72,4,637,1040,632,191,15,22,31,-,9,9,29,8,4009,1109,54,-,68123,Htantabin,MMR013006
 Male,6207,2126,1888,505,3,60,1,343,1,1185,1371,14,202,2512,86,263,350,35,4,318,97,399,108,262,999,2,53,30,15,8,626,2318,1352,-,1359,343,-,1,6,17655,93,2681,1758,238,8941,12216,417,81,987,2,255,8121,205,30,6,139,5,52,135,-,54,188,47,1,3,-,22,155,4,110,1,27,862,38,3078,3001,355,246,55,139,347,1,214,72,75,115,3597,682,66,33,93057,Shwepyitha,MMR013007
 Female,6804,675,745,157,2,7,-,89,-,836,1457,11,910,17833,69,154,58,27,5,398,139,324,22,48,28,-,20,4,3,2,112,1654,51,-,174,114,-,-,8,1573,17,71,73,80,8080,146,12,32,72,-,93,9960,83,7,3,80,5,44,165,1,89,66,89,1,1,-,8,36,2,86,1,24,38,19,2055,1204,1771,447,38,65,75,-,85,95,85,7,1316,424,27,15,61706,Shwepyitha,MMR013007
 Total,13011,2801,2633,662,5,67,1,432,1,2021,2828,25,1112,20345,155,417,408,62,9,716,236,723,130,310,1027,2,73,34,18,10,738,3972,1403,-,1533,457,-,1,14,19228,110,2752,1831,318,17021,12362,429,113,1059,2,348,18081,288,37,9,219,10,96,300,1,143,254,136,2,4,-,30,191,6,196,2,51,900,57,5133,4205,2126,693,93,204,422,1,299,167,160,122,4913,1106,93,48,154763,Shwepyitha,MMR013007
 Male,15135,2267,1297,1784,2,53,3,160,2,3992,731,54,578,6635,1116,304,506,66,11,356,188,1885,84,556,2094,6,62,77,30,41,907,2797,2964,-,2096,661,-,-,18,44186,115,4223,3275,1888,21607,24074,963,49,5186,2,476,19096,435,69,6,238,7,80,190,1,104,271,72,-,5,2,51,233,2,302,5,57,1985,95,7018,3465,499,411,53,117,491,-,337,348,123,215,6709,1482,93,43,200272,Hlinethaya,MMR013008
 Female,12677,683,248,813,1,7,3,40,-,3190,484,54,2337,51064,5682,243,250,36,4,335,211,1341,21,66,87,2,62,27,7,5,129,2908,184,-,460,120,-,-,13,3789,18,135,147,408,18801,276,34,26,295,1,167,18458,146,21,1,117,3,37,173,-,128,110,95,-,1,-,13,78,2,212,2,45,114,67,5905,1195,2083,785,30,41,108,2,88,283,119,25,3242,1011,43,25,142699,Hlinethaya,MMR013008
 Total,27812,2950,1545,2597,3,60,6,200,2,7182,1215,108,2915,57699,6798,547,756,102,15,691,399,3226,105,622,2181,8,124,104,37,46,1036,5705,3148,-,2556,781,-,-,31,47975,133,4358,3422,2296,40408,24350,997,75,5481,3,643,37554,581,90,7,355,10,117,363,1,232,381,167,-,6,2,64,311,4,514,7,102,2099,162,12923,4660,2582,1196,83,158,599,2,425,631,242,240,9951,2493,136,68,342971,Hlinethaya,MMR013008
 Male,6993,400,291,77,1,34,2,23,1,226,87,16,97,583,182,116,118,74,10,16,83,181,18,421,780,32,11,18,4,5,244,458,691,-,909,209,-,-,-,4279,36,1355,2349,61,8609,8244,1008,77,204,1,308,5362,531,64,9,169,28,134,290,6,52,257,117,1,6,-,42,148,7,66,1,124,380,37,2937,2100,453,369,38,86,301,1,99,150,88,163,838,159,9,26,55590,Thingangyun,MMR013009
 Female,5625,144,54,46,2,10,-,8,1,137,34,7,126,3257,81,33,116,61,-,7,88,99,1,19,30,3,1,5,-,-,32,247,21,-,77,32,-,-,1,699,14,39,104,29,6679,168,40,114,44,-,174,4897,314,32,11,146,28,87,666,1,96,182,142,-,4,1,24,44,2,43,1,118,17,20,2485,1868,2249,755,18,25,126,3,63,39,85,16,907,1085,16,37,35162,Thingangyun,MMR013009
 Total,12618,544,345,123,3,44,2,31,2,363,121,23,223,3840,263,149,234,135,10,23,171,280,19,440,810,35,12,23,4,5,276,705,712,-,986,241,-,-,1,4978,50,1394,2453,90,15288,8412,1048,191,248,1,482,10259,845,96,20,315,56,221,956,7,148,439,259,1,10,1,66,192,9,109,2,242,397,57,5422,3968,2702,1124,56,111,427,4,162,189,173,179,1745,1244,25,63,90752,Thingangyun,MMR013009
 Male,1417,246,100,33,2,25,2,20,-,73,34,7,24,116,27,21,11,32,8,4,13,85,6,67,112,6,6,2,1,-,38,135,178,-,251,31,-,-,1,1205,19,185,629,37,2515,2011,495,34,46,-,188,1491,147,18,8,61,18,66,168,-,18,73,44,-,1,1,28,46,3,16,5,73,198,25,1245,1806,174,214,13,20,125,-,24,39,43,41,348,92,4,38,17232,Yankin,MMR013010
 Female,1314,67,8,17,-,14,-,7,-,53,16,3,46,779,30,20,4,18,1,1,33,33,3,15,6,-,3,1,-,-,10,90,8,-,28,11,-,-,1,181,7,9,64,12,2430,52,24,54,6,-,164,1449,98,11,3,56,11,37,276,-,18,54,54,-,1,1,11,22,1,15,-,64,17,18,954,1391,984,410,10,6,75,2,10,22,64,4,431,1019,19,34,13295,Yankin,MMR013010
 Total,2731,313,108,50,2,39,2,27,-,126,50,10,70,895,57,41,15,50,9,5,46,118,9,82,118,6,9,3,1,-,48,225,186,-,279,42,-,-,2,1386,26,194,693,49,4945,2063,519,88,52,-,352,2940,245,29,11,117,29,103,444,-,36,127,98,-,2,2,39,68,4,31,5,137,215,43,2199,3197,1158,624,23,26,200,2,34,61,107,45,779,1111,23,72,30527,Yankin,MMR013010
 Male,4368,230,288,44,1,47,2,50,2,259,68,12,346,658,761,84,15,50,3,8,49,223,3,181,483,5,13,15,8,4,178,390,555,-,619,157,-,-,3,2914,31,719,1600,49,5687,6919,790,71,122,3,255,3660,220,39,11,121,22,102,208,2,23,136,85,-,3,-,26,91,9,73,6,80,244,122,2213,1918,337,304,30,42,263,1,144,147,54,130,541,85,19,33,40886,South Okkalapa,MMR013011
 Female,2687,80,73,19,-,9,1,8,-,147,31,17,226,4180,400,49,36,44,1,13,78,68,1,26,18,-,8,2,3,1,21,278,27,-,52,29,-,-,1,396,16,24,115,42,5397,157,37,60,14,-,160,3449,165,29,19,109,13,70,462,3,43,97,92,-,1,-,21,30,5,43,2,92,12,48,2020,1603,2032,564,20,21,58,2,37,91,69,11,591,504,5,29,27514,South Okkalapa,MMR013011
 Total,7055,310,361,63,1,56,3,58,2,406,99,29,572,4838,1161,133,51,94,4,21,127,291,4,207,501,5,21,17,11,5,199,668,582,-,671,186,-,-,4,3310,47,743,1715,91,11084,7076,827,131,136,3,415,7109,385,68,30,230,35,172,670,5,66,233,177,-,4,-,47,121,14,116,8,172,256,170,4233,3521,2369,868,50,63,321,3,181,238,123,141,1132,589,24,62,68400,South Okkalapa,MMR013011
 Male,7974,1039,475,257,2,51,1,57,2,568,199,26,200,1520,2112,196,158,99,7,31,120,1476,15,639,1087,8,20,26,1,4,764,1123,1171,-,1253,207,-,1,3,10061,68,1830,1807,82,11181,14288,822,447,362,5,949,8285,316,48,21,201,25,145,384,1,58,166,122,-,2,-,51,232,5,121,5,100,754,42,3754,3459,527,490,40,77,606,5,235,156,84,153,1325,155,9,51,87004,North Okkalapa,MMR013012
 Female,6434,350,79,84,1,16,1,9,-,606,126,28,272,10185,1109,140,58,69,3,35,152,906,4,65,36,2,3,5,-,-,57,653,45,-,82,39,-,1,2,582,22,55,108,53,11929,347,30,137,30,1,474,9383,162,42,22,208,25,87,501,-,120,118,144,-,4,-,20,84,3,101,4,92,40,27,3016,2312,3042,881,31,55,135,4,77,79,78,10,1230,419,14,26,58021,North Okkalapa,MMR013012
 Total,14408,1389,554,341,3,67,2,66,2,1174,325,54,472,11705,3221,336,216,168,10,66,272,2382,19,704,1123,10,23,31,1,4,821,1776,1216,-,1335,246,-,2,5,10643,90,1885,1915,135,23110,14635,852,584,392,6,1423,17668,478,90,43,409,50,232,885,1,178,284,266,-,6,-,71,316,8,222,9,192,794,69,6770,5771,3569,1371,71,132,741,9,312,235,162,163,2555,574,23,77,145025,North Okkalapa,MMR013012
 Male,8008,360,285,243,1,159,1,18,-,336,90,8,118,911,593,99,89,97,7,17,56,113,41,244,821,6,22,21,2,8,792,634,791,-,820,251,-,-,5,5124,89,1622,1653,76,8593,8724,1149,43,379,-,272,5306,606,65,11,152,22,122,297,2,40,126,82,-,-,-,65,178,6,73,4,45,505,130,2783,3205,313,262,30,38,435,2,311,96,51,147,1015,124,11,13,60464,Thakayta,MMR013013
