Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1141,1533,2674,Kangyidaunt,MMR017002
 Rural,8102,32190,40292,Kangyidaunt,MMR017002
 Total,9243,33723,42966,Kangyidaunt,MMR017002
 Urban,1696,2254,3950,Kyaungon,MMR017007
 Rural,6311,31141,37452,Kyaungon,MMR017007
 Total,8007,33395,41402,Kyaungon,MMR017007
 Urban,2355,3644,5999,Kyonpyaw,MMR017005
 Rural,5744,47745,53489,Kyonpyaw,MMR017005
 Total,8099,51389,59488,Kyonpyaw,MMR017005
 Urban,910,1631,2541,Ngaputaw,MMR017004
 Rural,3387,31448,34835,Ngaputaw,MMR017004
 Total,4297,33079,37376,Ngaputaw,MMR017004
 Urban,21620,15821,37441,Pathein,MMR017001
 Rural,7953,20642,28595,Pathein,MMR017001
 Total,29573,36463,66036,Pathein,MMR017001
 Urban,1355,1411,2766,Yekyi,MMR017006
 Rural,5556,19480,25036,Yekyi,MMR017006
 Total,6911,20891,27802,Yekyi,MMR017006
 Urban,818,922,1740,Thapaung,MMR017003
 Rural,5816,29681,35497,Thapaung,MMR017003
 Total,6634,30603,37237,Thapaung,MMR017003
 Urban,176,657,833,Ngayokaung(ST),MMR017004
 Rural,666,8702,9368,Ngayokaung(ST),MMR017004
 Total,842,9359,10201,Ngayokaung(ST),MMR017004
 Urban,647,2902,3549,Hainggyikyun(ST),MMR017004
 Rural,2835,22691,25526,Hainggyikyun(ST),MMR017004
 Total,3482,25593,29075,Hainggyikyun(ST),MMR017004
 Urban,252,567,819,Shwethaungyan(ST),MMR017001
 Rural,2812,6550,9362,Shwethaungyan(ST),MMR017001
 Total,3064,7117,10181,Shwethaungyan(ST),MMR017001
 Urban,1578,1097,2675,Ngwehsaung(ST),MMR017001
 Rural,1858,4937,6795,Ngwehsaung(ST),MMR017001
 Total,3436,6034,9470,Ngwehsaung(ST),MMR017001
 Urban,1837,2760,4597,Ngathaingchaung(ST),MMR017006
 Rural,2494,15822,18316,Ngathaingchaung(ST),MMR017006
 Total,4331,18582,22913,Ngathaingchaung(ST),MMR017006
 Urban,2187,3230,5417,Kyaiklatt,MMR017025
 Rural,4918,33413,38331,Kyaiklatt,MMR017025
 Total,7105,36643,43748,Kyaiklatt,MMR017025
 Urban,1692,1874,3566,Daydaye,MMR017026
 Rural,7815,37229,45044,Daydaye,MMR017026
 Total,9507,39103,48610,Daydaye,MMR017026
 Urban,4894,5160,10054,Phyapon,MMR017023
 Rural,6704,24872,31576,Phyapon,MMR017023
 Total,11598,30032,41630,Phyapon,MMR017023
 Urban,4128,5987,10115,Bogale,MMR017024
 Rural,8894,56978,65872,Bogale,MMR017024
 Total,13022,62965,75987,Bogale,MMR017024
 Urban,249,528,777,Ahmar(ST),MMR017023
 Rural,3652,23357,27009,Ahmar(ST),MMR017023
 Total,3901,23885,27786,Ahmar(ST),MMR017023
 Urban,3018,2882,5900,Nyaungdon,MMR017021
 Rural,10610,34691,45301,Nyaungdon,MMR017021
 Total,13628,37573,51201,Nyaungdon,MMR017021
 Urban,2476,2704,5180,Danubyu,MMR017022
 Rural,5642,33975,39617,Danubyu,MMR017022
 Total,8118,36679,44797,Danubyu,MMR017022
 Urban,1784,2508,4292,Pantanaw,MMR017020
 Rural,7458,48527,55985,Pantanaw,MMR017020
 Total,9242,51035,60277,Pantanaw,MMR017020
 Urban,4648,4489,9137,Maubin,MMR017019
 Rural,9189,53478,62667,Maubin,MMR017019
 Total,13837,57967,71804,Maubin,MMR017019
 Urban,5713,6800,12513,Myaungmya,MMR017014
 Rural,6474,47185,53659,Myaungmya,MMR017014
 Total,12187,53985,66172,Myaungmya,MMR017014
 Urban,2338,2967,5305,Wakema,MMR017017
 Rural,9057,53086,62143,Wakema,MMR017017
 Total,11395,56053,67448,Wakema,MMR017017
 Urban,1655,1391,3046,Einme,MMR017015
 Rural,5341,38068,43409,Einme,MMR017015
 Total,6996,39459,46455,Einme,MMR017015
 Urban,3282,4301,7583,Mawlamyinegyun,MMR017018
 Rural,7641,59662,67303,Mawlamyinegyun,MMR017018
 Total,10923,63963,74886,Mawlamyinegyun,MMR017018
 Urban,3012,4191,7203,Labutta,MMR017016
 Rural,4949,42994,47943,Labutta,MMR017016
 Total,7961,47185,55146,Labutta,MMR017016
 Urban,70,431,501,Pyinsalu(ST),MMR017016
 Rural,1386,18550,19936,Pyinsalu(ST),MMR017016
 Total,1456,18981,20437,Pyinsalu(ST),MMR017016
 Urban,2037,3269,5306,Kyangin,MMR017012
 Rural,3216,18335,21551,Kyangin,MMR017012
 Total,5253,21604,26857,Kyangin,MMR017012
 Urban,2142,3115,5257,Zalun,MMR017009
 Rural,6121,30695,36816,Zalun,MMR017009
 Total,8263,33810,42073,Zalun,MMR017009
 Urban,2568,3481,6049,Myanaung,MMR017011
 Rural,6777,47094,53871,Myanaung,MMR017011
 Total,9345,50575,59920,Myanaung,MMR017011
 Urban,414,356,770,Laymyethna,MMR017010
 Rural,3323,22151,25474,Laymyethna,MMR017010
 Total,3737,22507,26244,Laymyethna,MMR017010
 Urban,9473,10356,19829,Hinthada,MMR017008
 Rural,10765,55535,66300,Hinthada,MMR017008
 Total,20238,65891,86129,Hinthada,MMR017008
 Urban,1542,2036,3578,Ingapu,MMR017013
 Rural,8659,44992,53651,Ingapu,MMR017013
 Total,10201,47028,57229,Ingapu,MMR017013
 Urban,5063,4083,9146,Tatkon,MMR018003
 Rural,13105,29496,42601,Tatkon,MMR018003
 Total,18168,33579,51747,Tatkon,MMR018003
 Urban,6316,1930,8246,Zeyarthiri,MMR018001
 Rural,7876,9953,17829,Zeyarthiri,MMR018001
 Total,14192,11883,26075,Zeyarthiri,MMR018001
 Urban,2761,2134,4895,Ottarathiri,MMR018008
 Rural,4801,8965,13766,Ottarathiri,MMR018008
 Total,7562,11099,18661,Ottarathiri,MMR018008
 Urban,6479,3769,10248,Pobbathiri,MMR018005
 Rural,7634,9734,17368,Pobbathiri,MMR018005
 Total,14113,13503,27616,Pobbathiri,MMR018005
 Urban,9539,4917,14456,Pyinmana,MMR018006
 Rural,9581,15626,25207,Pyinmana,MMR018006
 Total,19120,20543,39663,Pyinmana,MMR018006
 Urban,3468,2655,6123,Lewe,MMR018007
 Rural,17007,42044,59051,Lewe,MMR018007
 Total,20475,44699,65174,Lewe,MMR018007
 Urban,21031,3691,24722,Zabuthiri,MMR018002
 Rural,765,833,1598,Zabuthiri,MMR018002
 Total,21796,4524,26320,Zabuthiri,MMR018002
 Urban,625,283,908,Dekkhinathiri,MMR018004
 Rural,2244,3845,6089,Dekkhinathiri,MMR018004
 Total,2869,4128,6997,Dekkhinathiri,MMR018004
 Urban,1937391,1112042,3049433,Dekkhinathiri,MMR018004
 Rural,1644360,6184039,7828399,Dekkhinathiri,MMR018004
 Total,3581751,7296081,10877832,Dekkhinathiri,MMR018004
