Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Rural,106,35391,35497,Thapaung,MMR017003
 Total,156,37081,37237,Thapaung,MMR017003
 Urban,13,820,833,Ngayokaung(ST),MMR017004
 Rural,40,9328,9368,Ngayokaung(ST),MMR017004
 Total,53,10148,10201,Ngayokaung(ST),MMR017004
 Urban,62,3487,3549,Hainggyikyun(ST),MMR017004
 Rural,194,25332,25526,Hainggyikyun(ST),MMR017004
 Total,256,28819,29075,Hainggyikyun(ST),MMR017004
 Urban,3,816,819,Shwethaungyan(ST),MMR017001
 Rural,99,9263,9362,Shwethaungyan(ST),MMR017001
 Total,102,10079,10181,Shwethaungyan(ST),MMR017001
 Urban,66,2609,2675,Ngwehsaung(ST),MMR017001
 Rural,34,6761,6795,Ngwehsaung(ST),MMR017001
 Total,100,9370,9470,Ngwehsaung(ST),MMR017001
 Urban,174,4423,4597,Ngathaingchaung(ST),MMR017006
 Rural,302,18014,18316,Ngathaingchaung(ST),MMR017006
 Total,476,22437,22913,Ngathaingchaung(ST),MMR017006
 Urban,219,5198,5417,Kyaiklatt,MMR017025
 Rural,111,38220,38331,Kyaiklatt,MMR017025
 Total,330,43418,43748,Kyaiklatt,MMR017025
 Urban,147,3419,3566,Daydaye,MMR017026
 Rural,168,44876,45044,Daydaye,MMR017026
 Total,315,48295,48610,Daydaye,MMR017026
 Urban,426,9628,10054,Phyapon,MMR017023
 Rural,179,31397,31576,Phyapon,MMR017023
 Total,605,41025,41630,Phyapon,MMR017023
 Urban,385,9730,10115,Bogale,MMR017024
 Rural,411,65461,65872,Bogale,MMR017024
 Total,796,75191,75987,Bogale,MMR017024
 Urban,16,761,777,Ahmar(ST),MMR017023
 Rural,102,26907,27009,Ahmar(ST),MMR017023
 Total,118,27668,27786,Ahmar(ST),MMR017023
 Urban,251,5649,5900,Nyaungdon,MMR017021
 Rural,182,45119,45301,Nyaungdon,MMR017021
 Total,433,50768,51201,Nyaungdon,MMR017021
 Urban,188,4992,5180,Danubyu,MMR017022
 Rural,124,39493,39617,Danubyu,MMR017022
 Total,312,44485,44797,Danubyu,MMR017022
 Urban,303,3989,4292,Pantanaw,MMR017020
 Rural,516,55469,55985,Pantanaw,MMR017020
 Total,819,59458,60277,Pantanaw,MMR017020
 Urban,526,8611,9137,Maubin,MMR017019
 Rural,264,62403,62667,Maubin,MMR017019
 Total,790,71014,71804,Maubin,MMR017019
 Urban,555,11958,12513,Myaungmya,MMR017014
 Rural,213,53446,53659,Myaungmya,MMR017014
 Total,768,65404,66172,Myaungmya,MMR017014
 Urban,156,5149,5305,Wakema,MMR017017
 Rural,259,61884,62143,Wakema,MMR017017
 Total,415,67033,67448,Wakema,MMR017017
 Urban,149,2897,3046,Einme,MMR017015
 Rural,184,43225,43409,Einme,MMR017015
 Total,333,46122,46455,Einme,MMR017015
 Urban,325,7258,7583,Mawlamyinegyun,MMR017018
 Rural,337,66966,67303,Mawlamyinegyun,MMR017018
 Total,662,74224,74886,Mawlamyinegyun,MMR017018
 Urban,320,6883,7203,Labutta,MMR017016
 Rural,171,47772,47943,Labutta,MMR017016
 Total,491,54655,55146,Labutta,MMR017016
 Urban,4,497,501,Pyinsalu(ST),MMR017016
 Rural,51,19885,19936,Pyinsalu(ST),MMR017016
 Total,55,20382,20437,Pyinsalu(ST),MMR017016
 Urban,203,5103,5306,Kyangin,MMR017012
 Rural,199,21352,21551,Kyangin,MMR017012
 Total,402,26455,26857,Kyangin,MMR017012
 Urban,179,5078,5257,Zalun,MMR017009
 Rural,114,36702,36816,Zalun,MMR017009
 Total,293,41780,42073,Zalun,MMR017009
 Urban,232,5817,6049,Myanaung,MMR017011
 Rural,240,53631,53871,Myanaung,MMR017011
 Total,472,59448,59920,Myanaung,MMR017011
 Urban,26,744,770,Laymyethna,MMR017010
 Rural,95,25379,25474,Laymyethna,MMR017010
 Total,121,26123,26244,Laymyethna,MMR017010
 Urban,917,18912,19829,Hinthada,MMR017008
 Rural,328,65972,66300,Hinthada,MMR017008
 Total,1245,84884,86129,Hinthada,MMR017008
 Urban,125,3453,3578,Ingapu,MMR017013
 Rural,331,53320,53651,Ingapu,MMR017013
 Total,456,56773,57229,Ingapu,MMR017013
 Urban,443,8703,9146,Tatkon,MMR018003
 Rural,366,42235,42601,Tatkon,MMR018003
 Total,809,50938,51747,Tatkon,MMR018003
 Urban,1569,6677,8246,Zeyarthiri,MMR018001
 Rural,701,17128,17829,Zeyarthiri,MMR018001
 Total,2270,23805,26075,Zeyarthiri,MMR018001
 Urban,325,4570,4895,Ottarathiri,MMR018008
 Rural,197,13569,13766,Ottarathiri,MMR018008
 Total,522,18139,18661,Ottarathiri,MMR018008
 Urban,901,9347,10248,Pobbathiri,MMR018005
 Rural,438,16930,17368,Pobbathiri,MMR018005
 Total,1339,26277,27616,Pobbathiri,MMR018005
 Urban,1437,13019,14456,Pyinmana,MMR018006
 Rural,430,24777,25207,Pyinmana,MMR018006
 Total,1867,37796,39663,Pyinmana,MMR018006
 Urban,372,5751,6123,Lewe,MMR018007
 Rural,485,58566,59051,Lewe,MMR018007
 Total,857,64317,65174,Lewe,MMR018007
 Urban,6181,18541,24722,Zabuthiri,MMR018002
 Rural,29,1569,1598,Zabuthiri,MMR018002
 Total,6210,20110,26320,Zabuthiri,MMR018002
 Urban,111,797,908,Dekkhinathiri,MMR018004
 Rural,45,6044,6089,Dekkhinathiri,MMR018004
 Total,156,6841,6997,Dekkhinathiri,MMR018004
 Urban,311236,2738197,3049433,Dekkhinathiri,MMR018004
 Rural,66167,7762232,7828399,Dekkhinathiri,MMR018004
 Total,377403,10500429,10877832,Dekkhinathiri,MMR018004
