Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Female,41,3,3,7,2,6,3,1,1,3,3,2,3,2,1,3,1,2,8,-,3,3,4,2,2,2,2,6,6,2,4,2,5,3,6,7,5,5,8,6,8,4,8,3,4,9,6,4,2,3,4,3,5,4,5,11,6,2,9,5,6,4,8,7,2,13,13,6,3,7,10,3,7,10,6,21,16,11,17,7,20,6,11,9,9,12,14,7,8,6,33,595,Pyawbwe,MMR010024
 Total,94,15,6,10,7,6,5,1,2,6,4,3,3,4,3,3,4,4,11,4,8,4,7,6,3,6,6,12,10,6,12,8,10,6,13,20,11,9,14,12,14,14,14,9,6,21,17,11,11,9,23,14,12,18,18,21,17,14,14,9,23,15,15,19,15,31,27,19,18,15,25,10,17,21,13,42,35,25,28,10,38,16,20,19,18,27,22,7,10,7,53,1324,Pyawbwe,MMR010024
 Male,53,6,4,9,2,1,2,2,3,2,4,3,-,7,6,3,5,9,8,2,4,2,5,4,3,7,1,6,12,10,23,13,20,9,13,19,16,13,21,16,19,9,18,37,22,31,16,17,18,19,20,14,22,11,12,19,14,11,13,9,25,7,13,12,18,25,20,17,24,11,17,20,9,15,11,24,15,12,30,8,17,13,12,14,11,12,9,7,5,2,28,1162,Meiktila,MMR010028
 Female,29,11,2,1,-,3,4,1,-,2,3,1,-,3,2,3,2,3,4,-,2,1,1,2,2,3,-,2,1,4,9,4,4,8,4,4,4,3,4,4,4,4,6,8,5,11,5,9,5,6,5,5,5,9,3,10,9,8,8,10,6,5,8,12,11,15,12,21,16,7,16,9,10,11,9,17,20,11,21,17,19,12,17,20,15,15,15,7,12,7,42,710,Meiktila,MMR010028
 Total,82,17,6,10,2,4,6,3,3,4,7,4,-,10,8,6,7,12,12,2,6,3,6,6,5,10,1,8,13,14,32,17,24,17,17,23,20,16,25,20,23,13,24,45,27,42,21,26,23,25,25,19,27,20,15,29,23,19,21,19,31,12,21,24,29,40,32,38,40,18,33,29,19,26,20,41,35,23,51,25,36,25,29,34,26,27,24,14,17,9,70,1872,Meiktila,MMR010028
 Male,47,7,5,1,-,1,5,2,2,1,1,3,-,2,1,2,2,3,3,-,2,3,1,4,1,2,-,2,5,3,6,1,5,7,7,5,10,6,12,4,9,10,13,5,7,6,9,12,10,10,9,12,9,4,5,14,5,7,9,4,14,3,12,6,8,17,8,9,14,5,3,6,11,10,11,11,6,5,11,1,8,2,8,8,6,7,3,3,3,1,15,578,Thazi,MMR010030
 Female,28,6,4,3,2,4,1,2,2,2,2,1,-,2,-,1,2,-,1,6,2,7,3,1,4,2,3,2,2,3,2,2,4,3,2,2,1,1,5,2,3,5,4,2,4,5,6,3,5,3,3,6,1,3,3,9,10,4,4,4,9,4,10,5,9,4,5,9,9,6,10,4,10,7,11,13,8,6,7,1,6,12,14,7,10,15,13,6,3,1,22,465,Thazi,MMR010030
 Total,75,13,9,4,2,5,6,4,4,3,3,4,-,4,1,3,4,3,4,6,4,10,4,5,5,4,3,4,7,6,8,3,9,10,9,7,11,7,17,6,12,15,17,7,11,11,15,15,15,13,12,18,10,7,8,23,15,11,13,8,23,7,22,11,17,21,13,18,23,11,13,10,21,17,22,24,14,11,18,2,14,14,22,15,16,22,16,9,6,2,37,1043,Thazi,MMR010030
 Male,44,5,4,2,1,1,1,1,-,3,-,1,-,1,1,2,1,-,2,1,1,6,4,2,3,3,5,1,1,3,3,4,7,6,5,11,6,8,8,7,11,8,5,4,6,13,7,7,10,8,7,9,9,11,5,12,8,10,10,11,8,4,11,6,18,18,10,9,6,10,7,7,14,9,9,16,11,8,11,7,10,6,13,10,5,10,2,5,5,3,16,620,Wundwin,MMR010031
 Female,28,1,2,1,-,1,-,1,1,1,1,1,-,2,1,-,-,4,1,-,1,2,1,2,1,3,-,3,3,1,1,2,3,2,2,-,5,2,3,2,1,2,5,3,1,3,6,10,4,3,3,5,4,4,4,3,4,7,6,5,5,7,4,5,5,12,10,2,7,5,8,5,7,15,4,15,10,11,11,5,14,7,15,8,8,9,7,1,3,4,35,432,Wundwin,MMR010031
 Total,72,6,6,3,1,2,1,2,1,4,1,2,-,3,2,2,1,4,3,1,2,8,5,4,4,6,5,4,4,4,4,6,10,8,7,11,11,10,11,9,12,10,10,7,7,16,13,17,14,11,10,14,13,15,9,15,12,17,16,16,13,11,15,11,23,30,20,11,13,15,15,12,21,24,13,31,21,19,22,12,24,13,28,18,13,19,9,6,8,7,51,1052,Wundwin,MMR010031
 Male,20,2,3,1,4,3,-,2,2,1,1,2,2,1,-,-,1,2,5,-,4,4,5,5,1,7,6,8,11,7,13,12,9,12,9,9,14,11,13,11,18,17,12,14,10,18,14,13,20,17,19,11,18,12,13,17,15,16,19,22,21,15,16,18,19,18,13,19,12,8,16,11,17,15,16,25,18,8,11,9,12,11,5,11,14,14,10,5,-,7,42,974,Mawlamyine,MMR011001
 Female,15,5,1,-,-,-,-,1,-,-,1,1,-,-,1,2,-,-,1,6,-,2,1,3,2,1,2,1,2,4,1,3,6,2,7,6,7,4,3,5,4,6,4,7,6,2,7,8,14,6,6,4,10,12,15,6,10,12,13,12,8,7,12,10,9,8,16,9,13,6,24,9,19,16,13,22,16,9,19,7,18,5,21,15,12,19,15,3,10,5,48,683,Mawlamyine,MMR011001
 Total,35,7,4,1,4,3,-,3,2,1,2,3,2,1,1,2,1,2,6,6,4,6,6,8,3,8,8,9,13,11,14,15,15,14,16,15,21,15,16,16,22,23,16,21,16,20,21,21,34,23,25,15,28,24,28,23,25,28,32,34,29,22,28,28,28,26,29,28,25,14,40,20,36,31,29,47,34,17,30,16,30,16,26,26,26,33,25,8,10,12,90,1657,Mawlamyine,MMR011001
 Male,30,5,3,1,1,2,-,-,-,2,1,-,4,2,3,5,1,4,-,2,3,1,5,4,4,1,-,2,5,4,7,6,9,5,3,9,8,13,9,2,13,6,3,4,8,11,10,14,8,3,11,8,10,4,7,7,13,13,8,9,9,7,10,15,16,11,5,10,8,5,10,6,10,8,9,16,8,13,9,3,5,4,10,8,8,10,4,6,3,5,17,604,Kyaikemaraw,MMR011002
 Female,21,7,2,2,2,-,-,-,-,2,-,1,1,-,2,3,-,3,-,1,1,-,-,2,1,2,3,2,3,1,1,-,2,-,3,2,1,2,3,3,3,1,2,4,4,4,5,2,6,2,8,5,4,4,2,13,4,7,3,7,7,3,12,12,3,8,6,7,12,6,10,5,7,10,8,8,9,11,13,5,9,4,9,11,8,7,9,8,5,3,34,438,Kyaikemaraw,MMR011002
 Total,51,12,5,3,3,2,-,-,-,4,1,1,5,2,5,8,1,7,-,3,4,1,5,6,5,3,3,4,8,5,8,6,11,5,6,11,9,15,12,5,16,7,5,8,12,15,15,16,14,5,19,13,14,8,9,20,17,20,11,16,16,10,22,27,19,19,11,17,20,11,20,11,17,18,17,24,17,24,22,8,14,8,19,19,16,17,13,14,8,8,51,1042,Kyaikemaraw,MMR011002
 Male,11,3,1,2,1,2,-,1,1,-,2,-,1,-,-,1,-,1,4,2,-,4,1,2,3,-,2,1,2,8,3,3,5,6,5,4,8,2,7,9,3,5,6,3,6,13,4,2,6,3,10,1,10,6,6,8,6,6,6,5,7,6,5,4,10,5,3,8,7,4,5,3,8,9,7,8,7,5,11,2,8,7,4,10,10,7,3,1,6,4,13,420,Chaungzon,MMR011003
 Female,7,1,-,-,-,1,-,1,1,-,-,-,2,2,-,-,1,-,-,-,1,-,-,3,-,1,1,1,2,2,2,1,3,4,1,1,3,-,-,1,1,3,3,1,1,1,2,1,4,1,1,-,3,2,4,5,6,5,6,5,4,4,6,9,3,5,6,8,3,3,7,3,6,5,6,6,10,4,10,9,4,6,13,8,10,11,4,3,6,4,15,299,Chaungzon,MMR011003
 Total,18,4,1,2,1,3,-,2,2,-,2,-,3,2,-,1,1,1,4,2,1,4,1,5,3,1,3,2,4,10,5,4,8,10,6,5,11,2,7,10,4,8,9,4,7,14,6,3,10,4,11,1,13,8,10,13,12,11,12,10,11,10,11,13,13,10,9,16,10,7,12,6,14,14,13,14,17,9,21,11,12,13,17,18,20,18,7,4,12,8,28,719,Chaungzon,MMR011003
 Male,11,2,1,1,-,-,2,3,1,2,-,2,-,1,-,1,1,3,-,2,6,3,-,4,2,5,1,3,1,5,5,1,3,6,3,2,5,6,7,6,5,5,8,1,4,8,6,5,7,7,7,6,7,8,7,12,4,2,12,4,5,6,11,8,6,10,9,6,5,5,2,5,5,5,6,3,5,4,10,6,4,8,6,5,9,4,-,1,4,2,16,413,Thanbyuzayat,MMR011004
 Female,5,4,1,2,4,-,-,-,-,1,-,1,-,1,-,1,-,1,-,1,2,1,-,2,-,1,1,2,3,2,3,-,3,-,-,3,1,1,1,3,1,-,-,1,1,3,1,-,2,3,6,5,6,2,4,5,4,3,8,5,8,3,8,6,2,6,10,8,7,5,9,3,5,4,6,13,4,6,10,2,6,2,5,12,5,6,7,3,-,3,21,306,Thanbyuzayat,MMR011004
 Total,16,6,2,3,4,-,2,3,1,3,-,3,-,2,-,2,1,4,-,3,8,4,-,6,2,6,2,5,4,7,8,1,6,6,3,5,6,7,8,9,6,5,8,2,5,11,7,5,9,10,13,11,13,10,11,17,8,5,20,9,13,9,19,14,8,16,19,14,12,10,11,8,10,9,12,16,9,10,20,8,10,10,11,17,14,10,7,4,4,5,37,719,Thanbyuzayat,MMR011004
 Male,23,4,1,1,2,3,2,3,1,1,3,-,1,5,3,1,2,1,4,2,3,3,4,3,4,2,3,3,4,1,3,2,7,6,10,9,8,6,12,6,11,9,11,7,6,9,6,4,18,8,15,10,10,15,9,14,7,17,18,8,13,6,9,7,9,2,9,8,3,7,7,6,9,12,10,17,7,7,12,5,4,11,12,12,9,6,7,7,2,4,16,629,Mudon,MMR011005
 Female,10,2,2,4,3,-,5,4,-,-,-,-,1,1,6,-,1,1,-,1,1,1,3,2,-,1,2,3,2,3,1,1,2,1,2,4,3,2,3,1,2,3,6,-,2,2,-,2,5,1,4,9,9,5,5,3,4,4,5,5,4,6,3,11,10,5,3,11,9,3,15,3,8,13,6,8,9,11,16,4,6,11,7,15,13,13,11,5,4,6,30,434,Mudon,MMR011005
 Total,33,6,3,5,5,3,7,7,1,1,3,-,2,6,9,1,3,2,4,3,4,4,7,5,4,3,5,6,6,4,4,3,9,7,12,13,11,8,15,7,13,12,17,7,8,11,6,6,23,9,19,19,19,20,14,17,11,21,23,13,17,12,12,18,19,7,12,19,12,10,22,9,17,25,16,25,16,18,28,9,10,22,19,27,22,19,18,12,6,10,46,1063,Mudon,MMR011005
 Male,22,4,4,3,1,-,-,2,1,-,-,1,-,1,2,2,2,1,1,2,-,2,5,1,3,9,1,3,2,2,3,6,3,8,3,2,5,5,8,5,4,3,8,9,7,9,8,7,8,1,3,4,4,9,7,7,8,2,9,4,12,6,4,5,11,8,11,9,7,5,15,4,7,7,6,6,1,5,3,6,7,2,4,5,9,1,2,4,3,2,8,431,Ye,MMR011006
 Female,16,9,4,2,2,-,-,3,-,2,1,1,1,4,-,-,1,5,2,1,-,1,3,2,-,-,1,1,2,3,3,1,3,7,2,-,2,3,2,1,2,1,1,2,2,3,2,4,5,5,5,-,4,6,10,4,6,9,10,7,3,3,3,9,12,5,4,4,3,3,6,-,9,12,7,12,6,8,9,6,10,4,5,9,7,5,4,4,3,8,19,381,Ye,MMR011006
 Total,38,13,8,5,3,-,-,5,1,2,1,2,1,5,2,2,3,6,3,3,-,3,8,3,3,9,2,4,4,5,6,7,6,15,5,2,7,8,10,6,6,4,9,11,9,12,10,11,13,6,8,4,8,15,17,11,14,11,19,11,15,9,7,14,23,13,15,13,10,8,21,4,16,19,13,18,7,13,12,12,17,6,9,14,16,6,6,8,6,10,27,812,Ye,MMR011006
 Male,11,4,2,-,-,1,1,-,1,-,2,-,-,1,1,-,-,-,1,1,2,2,3,-,1,2,2,2,-,-,2,2,7,2,3,1,5,2,1,3,5,7,1,1,1,7,6,3,2,4,4,2,1,1,2,8,4,1,4,7,4,5,5,5,2,6,4,8,7,3,4,5,3,7,10,8,4,1,6,2,3,3,1,3,3,-,5,7,5,1,12,281,Lamine,MMR011006
 Female,5,6,2,1,1,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,-,-,2,1,-,-,3,-,1,3,1,4,2,4,1,5,1,3,2,-,2,-,2,-,1,3,1,3,2,1,6,3,1,1,4,2,8,2,4,8,3,5,4,2,4,3,2,1,4,4,2,3,6,2,5,4,3,10,3,4,2,4,-,2,7,197,Lamine,MMR011006
 Total,16,10,4,1,1,1,2,1,1,-,2,-,-,1,2,-,-,1,1,1,3,2,3,1,1,2,2,2,2,1,2,2,10,2,4,4,6,6,3,7,6,12,2,4,3,7,8,3,4,4,5,5,2,4,4,9,10,4,5,8,8,7,13,7,6,14,7,13,11,5,8,8,5,8,14,12,6,4,12,4,8,7,4,13,6,4,7,11,5,3,19,478,Lamine,MMR011006
 Male,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,1,1,3,1,-,1,-,1,-,-,-,1,-,-,1,1,-,-,1,-,2,1,1,-,-,2,-,1,3,1,-,-,2,1,-,-,1,1,1,5,1,1,2,2,6,-,1,-,1,1,-,1,1,1,1,1,-,1,2,1,-,1,2,-,1,70,Khawzar,MMR011006
 Female,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,2,1,1,-,2,1,1,-,-,-,-,1,-,-,1,1,1,3,-,4,2,3,4,-,-,-,1,-,-,1,-,1,3,-,1,-,-,1,-,1,1,1,-,1,-,-,-,1,50,Khawzar,MMR011006
 Total,4,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,1,-,1,-,1,1,3,1,1,3,-,1,-,-,-,1,1,-,1,1,-,2,2,1,2,3,2,1,-,2,-,1,4,1,-,1,3,2,3,-,5,3,4,9,1,1,2,3,6,-,2,-,2,4,-,2,1,1,2,1,1,2,3,1,1,1,2,-,2,120,Khawzar,MMR011006
 Male,34,6,5,1,2,3,2,2,3,4,1,-,2,2,3,2,2,7,3,5,5,3,7,5,2,10,5,3,8,6,6,18,10,15,15,8,13,11,19,8,17,10,14,14,17,12,9,14,7,6,14,5,14,21,20,9,15,11,13,6,16,9,11,12,14,23,8,11,7,5,14,5,16,14,13,12,9,5,9,8,11,6,5,4,7,6,6,4,4,2,19,809,Thaton,MMR011007
 Female,24,4,5,1,3,1,1,2,1,3,-,1,1,-,1,1,1,2,1,3,2,3,2,1,2,1,2,2,3,3,3,1,2,4,4,5,5,2,2,2,8,-,3,5,6,10,5,9,3,2,10,5,5,7,8,15,12,9,8,7,8,4,10,11,10,12,4,5,13,7,10,7,12,10,6,20,9,8,19,6,10,4,12,14,14,10,6,9,7,8,13,542,Thaton,MMR011007
 Total,58,10,10,2,5,4,3,4,4,7,1,1,3,2,4,3,3,9,4,8,7,6,9,6,4,11,7,5,11,9,9,19,12,19,19,13,18,13,21,10,25,10,17,19,23,22,14,23,10,8,24,10,19,28,28,24,27,20,21,13,24,13,21,23,24,35,12,16,20,12,24,12,28,24,19,32,18,13,28,14,21,10,17,18,21,16,12,13,11,10,32,1351,Thaton,MMR011007
 Male,25,5,4,2,2,-,-,3,3,2,2,-,1,1,1,1,-,4,7,5,2,4,2,3,5,3,3,8,5,7,12,6,12,5,7,13,7,13,12,7,16,8,11,7,8,16,14,11,12,10,12,7,17,12,14,9,15,13,15,12,16,8,11,21,15,14,10,6,10,10,14,7,8,9,10,19,14,12,17,4,10,5,7,8,4,15,3,8,7,3,17,765,Paung,MMR011008
 Female,23,9,2,5,5,2,2,1,1,1,-,-,2,3,-,1,3,4,1,3,3,2,-,-,4,3,1,1,4,6,3,1,1,-,1,4,2,3,8,2,3,3,8,3,4,4,7,6,11,6,7,3,10,9,5,9,7,7,13,8,8,5,9,6,10,12,10,6,13,10,9,4,8,9,9,9,14,10,14,8,11,10,6,10,7,20,12,4,9,5,25,552,Paung,MMR011008
 Total,48,14,6,7,7,2,2,4,4,3,2,-,3,4,1,2,3,8,8,8,5,6,2,3,9,6,4,9,9,13,15,7,13,5,8,17,9,16,20,9,19,11,19,10,12,20,21,17,23,16,19,10,27,21,19,18,22,20,28,20,24,13,20,27,25,26,20,12,23,20,23,11,16,18,19,28,28,22,31,12,21,15,13,18,11,35,15,12,16,8,42,1317,Paung,MMR011008
 Male,33,4,2,2,4,2,1,2,-,2,1,1,2,-,-,1,-,2,2,1,7,5,2,4,3,3,5,6,6,5,9,4,9,8,4,6,3,10,8,9,8,5,9,10,10,9,6,10,9,8,9,6,13,6,8,9,15,6,6,4,9,8,10,4,16,8,7,5,5,9,3,5,2,8,4,11,3,4,6,3,8,3,4,8,7,2,3,2,-,-,9,520,Kyaikto,MMR011009
 Female,38,3,5,3,1,1,-,2,-,-,1,1,-,1,-,3,1,1,2,3,1,-,1,-,4,2,2,1,2,1,3,5,2,-,2,2,2,1,3,3,7,3,4,2,3,5,4,3,3,1,4,3,2,7,5,7,3,3,2,4,2,1,5,7,5,5,4,6,9,2,5,6,10,6,3,11,7,5,13,2,7,4,5,8,5,3,3,2,6,2,11,348,Kyaikto,MMR011009
 Total,71,7,7,5,5,3,1,4,-,2,2,2,2,1,-,4,1,3,4,4,8,5,3,4,7,5,7,7,8,6,12,9,11,8,6,8,5,11,11,12,15,8,13,12,13,14,10,13,12,9,13,9,15,13,13,16,18,9,8,8,11,9,15,11,21,13,11,11,14,11,8,11,12,14,7,22,10,9,19,5,15,7,9,16,12,5,6,4,6,2,20,868,Kyaikto,MMR011009
 Male,55,10,1,2,1,-,1,2,1,1,1,1,-,-,-,2,2,1,1,4,3,2,2,2,2,4,-,4,4,2,4,8,8,5,4,12,6,4,9,6,11,6,7,10,6,11,11,8,9,4,11,9,6,8,9,17,5,8,16,5,6,6,9,6,14,10,16,10,8,4,18,7,7,7,7,9,4,5,3,5,8,3,4,6,6,4,2,5,2,-,8,563,Bilin,MMR011010
 Female,22,5,3,3,1,1,2,1,-,1,1,1,-,2,4,2,-,2,-,2,4,2,5,2,2,-,3,1,3,1,3,3,4,2,-,4,1,-,3,1,4,3,4,1,4,3,2,1,4,3,6,1,4,3,4,5,3,2,5,2,8,3,6,1,8,7,10,8,9,3,3,3,7,2,3,15,5,6,4,2,12,11,6,8,9,2,3,2,2,1,16,346,Bilin,MMR011010
 Total,77,15,4,5,2,1,3,3,1,2,2,2,-,2,4,4,2,3,1,6,7,4,7,4,4,4,3,5,7,3,7,11,12,7,4,16,7,4,12,7,15,9,11,11,10,14,13,9,13,7,17,10,10,11,13,22,8,10,21,7,14,9,15,7,22,17,26,18,17,7,21,10,14,9,10,24,9,11,7,7,20,14,10,14,15,6,5,7,4,1,24,909,Bilin,MMR011010
 Male,19,6,1,1,1,-,-,2,-,-,1,-,1,1,2,4,-,1,-,1,-,2,3,1,3,1,2,2,5,5,4,1,3,2,2,5,6,5,4,4,3,1,5,6,3,5,6,3,8,7,4,4,4,6,8,9,8,8,7,7,4,2,2,6,3,4,5,8,6,4,3,-,7,8,5,5,3,1,5,3,6,2,5,2,2,3,2,1,2,2,8,332,Sittway,MMR012001
 Female,4,3,-,2,-,-,-,2,-,-,2,1,1,2,-,-,-,3,2,2,-,1,1,-,2,-,2,-,3,2,-,1,1,5,-,1,-,2,1,1,-,2,2,1,2,7,2,1,4,3,2,2,8,1,3,5,7,1,3,3,6,3,3,3,5,4,3,8,4,5,4,1,2,7,1,10,5,2,9,3,9,4,5,5,9,1,1,4,7,1,10,250,Sittway,MMR012001
 Total,23,9,1,3,1,-,-,4,-,-,3,1,2,3,2,4,-,4,2,3,-,3,4,1,5,1,4,2,8,7,4,2,4,7,2,6,6,7,5,5,3,3,7,7,5,12,8,4,12,10,6,6,12,7,11,14,15,9,10,10,10,5,5,9,8,8,8,16,10,9,7,1,9,15,6,15,8,3,14,6,15,6,10,7,11,4,3,5,9,3,18,582,Sittway,MMR012001
 Male,18,11,-,1,1,5,1,1,-,-,-,1,-,-,1,1,-,2,-,-,1,-,1,3,1,2,-,1,-,1,-,-,-,1,-,-,2,2,1,-,3,3,2,3,3,3,6,2,3,4,5,1,2,2,3,4,5,2,2,1,3,1,5,6,2,8,3,5,4,7,3,4,7,2,-,2,6,8,5,3,4,4,2,2,4,3,1,2,1,1,7,233,Ponnagyun,MMR012002
 Female,21,5,2,2,1,-,-,-,1,-,-,-,-,1,-,2,4,1,2,1,-,-,2,-,1,3,1,2,1,1,-,2,2,1,-,1,-,1,1,-,2,-,3,1,4,5,1,4,2,-,2,5,2,3,1,1,-,1,2,1,2,3,1,-,-,6,2,3,3,1,2,5,5,2,6,5,2,2,1,1,5,2,2,5,6,4,5,3,4,-,6,196,Ponnagyun,MMR012002
 Total,39,16,2,3,2,5,1,1,1,-,-,1,-,1,1,3,4,3,2,1,1,-,3,3,2,5,1,3,1,2,-,2,2,2,-,1,2,3,2,-,5,3,5,4,7,8,7,6,5,4,7,6,4,5,4,5,5,3,4,2,5,4,6,6,2,14,5,8,7,8,5,9,12,4,6,7,8,10,6,4,9,6,4,7,10,7,6,5,5,1,13,429,Ponnagyun,MMR012002
 Male,8,8,-,2,3,2,1,-,1,-,4,1,1,1,3,-,3,2,-,1,-,1,1,-,-,5,1,2,2,1,2,2,1,1,-,10,1,4,3,3,-,-,6,2,1,2,3,2,1,3,3,-,3,5,2,3,-,4,11,4,6,2,2,3,2,3,6,3,2,1,4,3,4,3,2,9,7,2,2,1,1,2,-,4,4,-,2,-,-,1,4,221,Pauktaw,MMR012007
 Female,9,7,-,2,-,5,1,2,2,2,-,-,2,-,1,2,4,2,2,1,1,-,2,1,-,-,-,-,-,-,1,-,1,-,1,4,-,2,1,2,-,-,3,2,1,2,2,3,3,1,3,3,2,2,1,1,2,-,1,2,3,-,3,2,2,2,3,3,-,-,1,1,2,2,1,5,-,4,4,1,3,1,2,-,2,2,1,2,1,-,6,153,Pauktaw,MMR012007
 Total,17,15,-,4,3,7,2,2,3,2,4,1,3,1,4,2,7,4,2,2,1,1,3,1,-,5,1,2,2,1,3,2,2,1,1,14,1,6,4,5,-,-,9,4,2,4,5,5,4,4,6,3,5,7,3,4,2,4,12,6,9,2,5,5,4,5,9,6,2,1,5,4,6,5,3,14,7,6,6,2,4,3,2,4,6,2,3,2,1,1,10,374,Pauktaw,MMR012007
 Male,19,12,1,2,-,1,1,1,-,-,-,1,-,1,-,-,1,-,1,-,2,2,1,1,2,1,-,2,1,1,5,1,2,2,2,3,-,2,2,2,1,1,3,2,2,3,2,2,1,1,4,4,5,4,2,2,4,5,5,-,4,1,2,6,6,3,8,4,1,2,6,-,1,4,3,9,5,4,7,5,4,6,5,4,5,6,2,4,2,-,4,251,Yethedaung,MMR012008
 Female,10,9,1,2,1,1,1,-,1,-,1,-,-,3,2,-,-,-,1,-,1,2,-,1,-,-,2,-,-,1,2,-,1,1,1,-,-,2,1,1,1,5,1,1,-,3,2,1,3,-,3,1,1,2,3,4,3,1,2,-,1,2,1,5,4,8,4,-,2,3,4,1,4,1,3,4,7,3,5,2,7,2,7,7,6,3,1,3,2,3,11,202,Yethedaung,MMR012008
 Total,29,21,2,4,1,2,2,1,1,-,1,1,-,4,2,-,1,-,2,-,3,4,1,2,2,1,2,2,1,2,7,1,3,3,3,3,-,4,3,3,2,6,4,3,2,6,4,3,4,1,7,5,6,6,5,6,7,6,7,-,5,3,3,11,10,11,12,4,3,5,10,1,5,5,6,13,12,7,12,7,11,8,12,11,11,9,3,7,4,3,15,453,Yethedaung,MMR012008
 Male,43,14,1,4,5,2,4,5,3,2,2,2,3,1,3,-,1,3,1,3,3,3,1,5,3,3,2,3,4,3,5,2,2,3,3,4,2,2,1,2,3,3,3,2,2,2,5,4,8,8,6,8,3,8,4,10,11,5,6,3,5,6,6,9,12,15,10,7,10,4,6,1,9,4,4,9,4,3,9,2,6,2,3,4,8,5,6,4,1,1,2,439,Myauk U,MMR012003
 Female,46,10,4,5,5,3,1,3,-,-,1,2,1,-,1,-,-,2,3,3,3,2,2,1,-,-,-,-,-,-,3,2,2,2,2,2,-,2,3,2,3,-,3,2,3,2,4,6,3,1,1,1,4,4,-,2,2,2,5,2,3,4,5,3,3,7,2,4,5,2,2,2,3,4,3,8,4,5,11,2,9,3,4,5,3,5,3,4,1,3,10,300,Myauk U,MMR012003
 Total,89,24,5,9,10,5,5,8,3,2,3,4,4,1,4,-,1,5,4,6,6,5,3,6,3,3,2,3,4,3,8,4,4,5,5,6,2,4,4,4,6,3,6,4,5,4,9,10,11,9,7,9,7,12,4,12,13,7,11,5,8,10,11,12,15,22,12,11,15,6,8,3,12,8,7,17,8,8,20,4,15,5,7,9,11,10,9,8,2,4,12,739,Myauk U,MMR012003
 Male,19,11,5,4,1,1,1,5,-,3,-,-,1,1,2,1,-,3,6,2,-,1,1,3,2,1,1,-,4,3,2,-,4,3,2,2,1,2,3,1,3,-,1,5,5,5,5,5,6,6,7,6,9,6,4,9,6,5,4,4,13,11,7,4,5,4,6,9,5,3,4,2,6,6,3,7,4,8,7,2,5,4,7,7,3,3,4,4,3,-,6,365,Kyauktaw,MMR012004
 Female,26,12,3,1,2,2,1,2,-,2,2,-,2,3,3,-,-,2,2,2,1,2,2,3,2,4,-,2,1,1,1,1,2,1,-,2,1,2,3,1,5,4,2,2,1,1,3,2,4,1,4,4,4,4,2,2,3,2,3,3,4,3,1,2,3,4,2,3,4,2,4,-,3,5,3,9,3,1,4,-,7,3,2,3,8,3,-,3,2,4,9,259,Kyauktaw,MMR012004
 Total,45,23,8,5,3,3,2,7,-,5,2,-,3,4,5,1,-,5,8,4,1,3,3,6,4,5,1,2,5,4,3,1,6,4,2,4,2,4,6,2,8,4,3,7,6,6,8,7,10,7,11,10,13,10,6,11,9,7,7,7,17,14,8,6,8,8,8,12,9,5,8,2,9,11,6,16,7,9,11,2,12,7,9,10,11,6,4,7,5,4,15,624,Kyauktaw,MMR012004
 Male,25,6,1,-,4,-,-,4,2,1,-,2,1,1,1,3,1,-,3,-,1,2,3,1,-,4,1,3,2,1,4,1,2,-,1,4,-,1,3,1,2,2,3,2,-,3,2,2,6,4,3,1,5,4,2,5,-,8,3,3,4,5,5,2,2,7,2,6,2,2,8,3,2,9,3,8,1,2,4,2,1,7,1,2,6,5,2,2,-,-,5,260,Minbya,MMR012005
