Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Bungalow/Brick house,251,1794,2045,Thayetchaung,MMR006003
 Semi-pacca house,269,2067,2336,Thayetchaung,MMR006003
 Wooden house,1263,11291,12554,Thayetchaung,MMR006003
 Bamboo,328,3908,4236,Thayetchaung,MMR006003
 Hut 2 - 3 years,29,1053,1082,Thayetchaung,MMR006003
 Hut 1 year,5,290,295,Thayetchaung,MMR006003
 Other,27,28,55,Thayetchaung,MMR006003
 Total,2407,20467,22874,Thayetchaung,MMR006003
 Condominium/Apartment/Flat,8,649,657,Yebyu,MMR006004
 Bungalow/Brick house,153,1370,1523,Yebyu,MMR006004
 Semi-pacca house,152,2096,2248,Yebyu,MMR006004
 Wooden house,622,12328,12950,Yebyu,MMR006004
 Bamboo,102,3628,3730,Yebyu,MMR006004
 Hut 2 - 3 years,18,625,643,Yebyu,MMR006004
 Hut 1 year,19,230,249,Yebyu,MMR006004
 Other,3,70,73,Yebyu,MMR006004
 Total,1077,20996,22073,Yebyu,MMR006004
 Condominium/Apartment/Flat,16,10,26,Myitta(ST),MMR006001
 Bungalow/Brick house,13,82,95,Myitta(ST),MMR006001
 Semi-pacca house,32,140,172,Myitta(ST),MMR006001
 Wooden house,243,1666,1909,Myitta(ST),MMR006001
 Bamboo,189,1622,1811,Myitta(ST),MMR006001
 Hut 2 - 3 years,2,151,153,Myitta(ST),MMR006001
 Hut 1 year,1,14,15,Myitta(ST),MMR006001
 Other,-,9,9,Myitta(ST),MMR006001
 Total,496,3694,4190,Myitta(ST),MMR006001
 Condominium/Apartment/Flat,62,239,301,Kaleinaung(ST),MMR006004
 Bungalow/Brick house,40,50,90,Kaleinaung(ST),MMR006004
 Semi-pacca house,68,136,204,Kaleinaung(ST),MMR006004
 Wooden house,212,1648,1860,Kaleinaung(ST),MMR006004
 Bamboo,204,1373,1577,Kaleinaung(ST),MMR006004
 Hut 2 - 3 years,6,106,112,Kaleinaung(ST),MMR006004
 Hut 1 year,5,70,75,Kaleinaung(ST),MMR006004
 Other,27,31,58,Kaleinaung(ST),MMR006004
 Total,624,3653,4277,Kaleinaung(ST),MMR006004
 Condominium/Apartment/Flat,466,1634,2100,Myeik,MMR006005
 Bungalow/Brick house,3387,1782,5169,Myeik,MMR006005
 Semi-pacca house,2413,1641,4054,Myeik,MMR006005
 Wooden house,10188,15073,25261,Myeik,MMR006005
 Bamboo,4979,11179,16158,Myeik,MMR006005
 Hut 2 - 3 years,47,1030,1077,Myeik,MMR006005
 Hut 1 year,16,271,287,Myeik,MMR006005
 Other,52,191,243,Myeik,MMR006005
 Total,21548,32801,54349,Myeik,MMR006005
 Condominium/Apartment/Flat,334,139,473,Kyunsu,MMR006006
 Bungalow/Brick house,49,203,252,Kyunsu,MMR006006
 Semi-pacca house,63,821,884,Kyunsu,MMR006006
 Wooden house,301,16250,16551,Kyunsu,MMR006006
 Bamboo,368,10749,11117,Kyunsu,MMR006006
 Hut 2 - 3 years,19,2777,2796,Kyunsu,MMR006006
 Hut 1 year,7,334,341,Kyunsu,MMR006006
 Other,1,573,574,Kyunsu,MMR006006
 Total,1142,31846,32988,Kyunsu,MMR006006
 Condominium/Apartment/Flat,96,130,226,Palaw,MMR006007
 Bungalow/Brick house,645,1488,2133,Palaw,MMR006007
 Semi-pacca house,268,812,1080,Palaw,MMR006007
 Wooden house,1478,5707,7185,Palaw,MMR006007
 Bamboo,1030,6298,7328,Palaw,MMR006007
 Hut 2 - 3 years,36,352,388,Palaw,MMR006007
 Hut 1 year,6,75,81,Palaw,MMR006007
 Other,12,92,104,Palaw,MMR006007
 Total,3571,14954,18525,Palaw,MMR006007
 Condominium/Apartment/Flat,16,312,328,Tanintharyi,MMR006008
 Bungalow/Brick house,21,378,399,Tanintharyi,MMR006008
 Semi-pacca house,135,979,1114,Tanintharyi,MMR006008
 Wooden house,692,7963,8655,Tanintharyi,MMR006008
 Bamboo,242,7683,7925,Tanintharyi,MMR006008
 Hut 2 - 3 years,18,1088,1106,Tanintharyi,MMR006008
 Hut 1 year,1,321,322,Tanintharyi,MMR006008
 Other,1,79,80,Tanintharyi,MMR006008
 Total,1126,18803,19929,Tanintharyi,MMR006008
 Condominium/Apartment/Flat,56,101,157,Palauk(ST),MMR006007
 Bungalow/Brick house,121,664,785,Palauk(ST),MMR006007
 Semi-pacca house,88,305,393,Palauk(ST),MMR006007
 Wooden house,408,2454,2862,Palauk(ST),MMR006007
 Bamboo,514,2026,2540,Palauk(ST),MMR006007
 Hut 2 - 3 years,17,267,284,Palauk(ST),MMR006007
 Hut 1 year,4,69,73,Palauk(ST),MMR006007
 Other,3,31,34,Palauk(ST),MMR006007
 Total,1211,5917,7128,Palauk(ST),MMR006007
 Condominium/Apartment/Flat,2421,866,3287,Kawthoung,MMR006009
 Bungalow/Brick house,3196,1998,5194,Kawthoung,MMR006009
 Semi-pacca house,2563,1096,3659,Kawthoung,MMR006009
 Wooden house,3783,6321,10104,Kawthoung,MMR006009
 Bamboo,453,1882,2335,Kawthoung,MMR006009
 Hut 2 - 3 years,79,419,498,Kawthoung,MMR006009
 Hut 1 year,11,89,100,Kawthoung,MMR006009
 Other,74,230,304,Kawthoung,MMR006009
 Total,12580,12901,25481,Kawthoung,MMR006009
 Condominium/Apartment/Flat,11,505,516,Bokepyin,MMR006010
 Bungalow/Brick house,50,110,160,Bokepyin,MMR006010
 Semi-pacca house,71,202,273,Bokepyin,MMR006010
 Wooden house,588,4551,5139,Bokepyin,MMR006010
 Bamboo,289,1824,2113,Bokepyin,MMR006010
 Hut 2 - 3 years,4,399,403,Bokepyin,MMR006010
 Hut 1 year,3,129,132,Bokepyin,MMR006010
 Other,31,109,140,Bokepyin,MMR006010
 Total,1047,7829,8876,Bokepyin,MMR006010
 Condominium/Apartment/Flat,308,110,418,Khamaukgyi,MMR006009
 Bungalow/Brick house,74,438,512,Khamaukgyi,MMR006009
 Semi-pacca house,92,254,346,Khamaukgyi,MMR006009
 Wooden house,1044,752,1796,Khamaukgyi,MMR006009
 Bamboo,666,771,1437,Khamaukgyi,MMR006009
 Hut 2 - 3 years,28,79,107,Khamaukgyi,MMR006009
 Hut 1 year,33,44,77,Khamaukgyi,MMR006009
 Other,110,62,172,Khamaukgyi,MMR006009
 Total,2355,2510,4865,Khamaukgyi,MMR006009
 Condominium/Apartment/Flat,106,7,113,Pyigyimandaing,MMR006010
 Bungalow/Brick house,21,8,29,Pyigyimandaing,MMR006010
 Semi-pacca house,33,39,72,Pyigyimandaing,MMR006010
 Wooden house,318,908,1226,Pyigyimandaing,MMR006010
 Bamboo,85,1008,1093,Pyigyimandaing,MMR006010
 Hut 2 - 3 years,96,296,392,Pyigyimandaing,MMR006010
 Hut 1 year,45,76,121,Pyigyimandaing,MMR006010
 Other,11,47,58,Pyigyimandaing,MMR006010
 Total,715,2389,3104,Pyigyimandaing,MMR006010
 Condominium/Apartment/Flat,67,633,700,Karathuri(ST),MMR006010
 Bungalow/Brick house,19,20,39,Karathuri(ST),MMR006010
 Semi-pacca house,42,39,81,Karathuri(ST),MMR006010
 Wooden house,100,1608,1708,Karathuri(ST),MMR006010
 Bamboo,56,765,821,Karathuri(ST),MMR006010
 Hut 2 - 3 years,-,273,273,Karathuri(ST),MMR006010
 Hut 1 year,-,73,73,Karathuri(ST),MMR006010
 Other,2,65,67,Karathuri(ST),MMR006010
 Total,286,3476,3762,Karathuri(ST),MMR006010
 Condominium/Apartment/Flat,1747,2122,3869,Bago,MMR007001
 Bungalow/Brick house,7071,1792,8863,Bago,MMR007001
 Semi-pacca house,7287,2605,9892,Bago,MMR007001
 Wooden house,28544,28310,56854,Bago,MMR007001
 Bamboo,9252,15155,24407,Bago,MMR007001
 Hut 2 - 3 years,451,1280,1731,Bago,MMR007001
 Hut 1 year,277,795,1072,Bago,MMR007001
 Other,263,181,444,Bago,MMR007001
 Total,54892,52240,107132,Bago,MMR007001
 Condominium/Apartment/Flat,45,8,53,Tanatpin,MMR007002
 Bungalow/Brick house,292,390,682,Tanatpin,MMR007002
 Semi-pacca house,269,980,1249,Tanatpin,MMR007002
 Wooden house,1723,12802,14525,Tanatpin,MMR007002
 Bamboo,1246,13663,14909,Tanatpin,MMR007002
 Hut 2 - 3 years,21,547,568,Tanatpin,MMR007002
 Hut 1 year,21,450,471,Tanatpin,MMR007002
 Other,12,58,70,Tanatpin,MMR007002
 Total,3629,28898,32527,Tanatpin,MMR007002
 Condominium/Apartment/Flat,12,39,51,Kawa,MMR007003
 Bungalow/Brick house,234,434,668,Kawa,MMR007003
 Semi-pacca house,409,1476,1885,Kawa,MMR007003
 Wooden house,2024,15562,17586,Kawa,MMR007003
 Bamboo,1458,22945,24403,Kawa,MMR007003
 Hut 2 - 3 years,35,906,941,Kawa,MMR007003
 Hut 1 year,28,361,389,Kawa,MMR007003
 Other,54,98,152,Kawa,MMR007003
 Total,4254,41821,46075,Kawa,MMR007003
 Condominium/Apartment/Flat,66,31,97,Waw,MMR007004
 Bungalow/Brick house,403,529,932,Waw,MMR007004
 Semi-pacca house,297,1210,1507,Waw,MMR007004
 Wooden house,2791,19509,22300,Waw,MMR007004
 Bamboo,1359,9566,10925,Waw,MMR007004
 Hut 2 - 3 years,70,699,769,Waw,MMR007004
 Hut 1 year,45,393,438,Waw,MMR007004
 Other,15,100,115,Waw,MMR007004
 Total,5046,32037,37083,Waw,MMR007004
 Condominium/Apartment/Flat,190,105,295,Nyaunglebin,MMR007005
 Bungalow/Brick house,981,732,1713,Nyaunglebin,MMR007005
 Semi-pacca house,1185,1309,2494,Nyaunglebin,MMR007005
 Wooden house,7681,19145,26826,Nyaunglebin,MMR007005
 Bamboo,2900,9503,12403,Nyaunglebin,MMR007005
 Hut 2 - 3 years,49,518,567,Nyaunglebin,MMR007005
 Hut 1 year,32,268,300,Nyaunglebin,MMR007005
 Other,44,120,164,Nyaunglebin,MMR007005
 Total,13062,31700,44762,Nyaunglebin,MMR007005
 Condominium/Apartment/Flat,92,213,305,Kyauktaga,MMR007006
 Bungalow/Brick house,590,1471,2061,Kyauktaga,MMR007006
 Semi-pacca house,853,3058,3911,Kyauktaga,MMR007006
 Wooden house,3990,25895,29885,Kyauktaga,MMR007006
 Bamboo,1167,12369,13536,Kyauktaga,MMR007006
 Hut 2 - 3 years,113,902,1015,Kyauktaga,MMR007006
 Hut 1 year,59,817,876,Kyauktaga,MMR007006
 Other,9,50,59,Kyauktaga,MMR007006
 Total,6873,44775,51648,Kyauktaga,MMR007006
 Condominium/Apartment/Flat,33,266,299,Daik U,MMR007007
 Bungalow/Brick house,855,1157,2012,Daik U,MMR007007
 Semi-pacca house,571,2014,2585,Daik U,MMR007007
 Wooden house,5422,22046,27468,Daik U,MMR007007
 Bamboo,1778,10458,12236,Daik U,MMR007007
 Hut 2 - 3 years,34,557,591,Daik U,MMR007007
 Hut 1 year,29,403,432,Daik U,MMR007007
 Other,18,112,130,Daik U,MMR007007
 Total,8740,37013,45753,Daik U,MMR007007
 Condominium/Apartment/Flat,284,213,497,Shwegyin,MMR007008
 Bungalow/Brick house,538,176,714,Shwegyin,MMR007008
 Semi-pacca house,445,394,839,Shwegyin,MMR007008
 Wooden house,3055,10080,13135,Shwegyin,MMR007008
 Bamboo,474,4977,5451,Shwegyin,MMR007008
 Hut 2 - 3 years,35,564,599,Shwegyin,MMR007008
 Hut 1 year,16,401,417,Shwegyin,MMR007008
 Other,18,112,130,Shwegyin,MMR007008
 Total,4865,16917,21782,Shwegyin,MMR007008
 Condominium/Apartment/Flat,1349,1384,2733,Toungoo,MMR007009
 Bungalow/Brick house,3558,1486,5044,Toungoo,MMR007009
 Semi-pacca house,3306,2462,5768,Toungoo,MMR007009
 Wooden house,10662,17016,27678,Toungoo,MMR007009
 Bamboo,2609,11429,14038,Toungoo,MMR007009
 Hut 2 - 3 years,235,892,1127,Toungoo,MMR007009
 Hut 1 year,85,625,710,Toungoo,MMR007009
 Other,96,266,362,Toungoo,MMR007009
 Total,21900,35560,57460,Toungoo,MMR007009
 Condominium/Apartment/Flat,182,1466,1648,Yaedashe,MMR007010
 Bungalow/Brick house,791,1422,2213,Yaedashe,MMR007010
 Semi-pacca house,699,1992,2691,Yaedashe,MMR007010
 Wooden house,2466,19567,22033,Yaedashe,MMR007010
 Bamboo,1747,17383,19130,Yaedashe,MMR007010
 Hut 2 - 3 years,38,1688,1726,Yaedashe,MMR007010
 Hut 1 year,13,773,786,Yaedashe,MMR007010
 Other,19,281,300,Yaedashe,MMR007010
 Total,5955,44572,50527,Yaedashe,MMR007010
 Condominium/Apartment/Flat,11,304,315,Kyaukkyi,MMR007011
 Bungalow/Brick house,130,336,466,Kyaukkyi,MMR007011
 Semi-pacca house,136,882,1018,Kyaukkyi,MMR007011
 Wooden house,1507,12603,14110,Kyaukkyi,MMR007011
 Bamboo,336,5103,5439,Kyaukkyi,MMR007011
 Hut 2 - 3 years,107,812,919,Kyaukkyi,MMR007011
 Hut 1 year,25,363,388,Kyaukkyi,MMR007011
 Other,6,222,228,Kyaukkyi,MMR007011
 Total,2258,20625,22883,Kyaukkyi,MMR007011
 Condominium/Apartment/Flat,530,165,695,Pyu,MMR007012
 Bungalow/Brick house,1749,1452,3201,Pyu,MMR007012
 Semi-pacca house,1695,3327,5022,Pyu,MMR007012
 Wooden house,6831,22083,28914,Pyu,MMR007012
 Bamboo,2475,11468,13943,Pyu,MMR007012
 Hut 2 - 3 years,220,1443,1663,Pyu,MMR007012
 Hut 1 year,58,691,749,Pyu,MMR007012
 Other,269,475,744,Pyu,MMR007012
 Total,13827,41104,54931,Pyu,MMR007012
 Condominium/Apartment/Flat,42,520,562,Oatwin,MMR007013
 Bungalow/Brick house,294,1435,1729,Oatwin,MMR007013
 Semi-pacca house,277,2528,2805,Oatwin,MMR007013
 Wooden house,1555,18050,19605,Oatwin,MMR007013
 Bamboo,900,9873,10773,Oatwin,MMR007013
 Hut 2 - 3 years,14,765,779,Oatwin,MMR007013
 Hut 1 year,11,323,334,Oatwin,MMR007013
 Other,116,167,283,Oatwin,MMR007013
 Total,3209,33661,36870,Oatwin,MMR007013
 Condominium/Apartment/Flat,21,101,122,Htantapin,MMR007014
 Bungalow/Brick house,173,774,947,Htantapin,MMR007014
 Semi-pacca house,325,1559,1884,Htantapin,MMR007014
 Wooden house,961,12539,13500,Htantapin,MMR007014
 Bamboo,792,8780,9572,Htantapin,MMR007014
 Hut 2 - 3 years,67,357,424,Htantapin,MMR007014
 Hut 1 year,20,174,194,Htantapin,MMR007014
 Other,17,121,138,Htantapin,MMR007014
 Total,2376,24405,26781,Htantapin,MMR007014
 Condominium/Apartment/Flat,1607,736,2343,Pyay,MMR008001
 Bungalow/Brick house,4298,1082,5380,Pyay,MMR008001
 Semi-pacca house,3799,1391,5190,Pyay,MMR008001
 Wooden house,10426,17434,27860,Pyay,MMR008001
 Bamboo,8085,7554,15639,Pyay,MMR008001
 Hut 2 - 3 years,306,1124,1430,Pyay,MMR008001
 Hut 1 year,139,389,528,Pyay,MMR008001
 Other,155,32,187,Pyay,MMR008001
 Total,28815,29742,58557,Pyay,MMR008001
 Condominium/Apartment/Flat,29,323,352,Paukkhaung,MMR008002
 Bungalow/Brick house,248,129,377,Paukkhaung,MMR008002
 Semi-pacca house,410,445,855,Paukkhaung,MMR008002
 Wooden house,2255,15536,17791,Paukkhaung,MMR008002
 Bamboo,625,11124,11749,Paukkhaung,MMR008002
 Hut 2 - 3 years,28,809,837,Paukkhaung,MMR008002
 Hut 1 year,4,312,316,Paukkhaung,MMR008002
 Other,7,63,70,Paukkhaung,MMR008002
 Total,3606,28741,32347,Paukkhaung,MMR008002
 Condominium/Apartment/Flat,88,1535,1623,Padaung,MMR008003
 Bungalow/Brick house,307,464,771,Padaung,MMR008003
 Semi-pacca house,409,946,1355,Padaung,MMR008003
 Wooden house,2386,20238,22624,Padaung,MMR008003
 Bamboo,1155,9671,10826,Padaung,MMR008003
 Hut 2 - 3 years,39,937,976,Padaung,MMR008003
 Hut 1 year,72,512,584,Padaung,MMR008003
 Other,12,121,133,Padaung,MMR008003
 Total,4468,34424,38892,Padaung,MMR008003
 Condominium/Apartment/Flat,50,132,182,Paunde,MMR008004
 Bungalow/Brick house,563,257,820,Paunde,MMR008004
 Semi-pacca house,520,615,1135,Paunde,MMR008004
 Wooden house,3938,20447,24385,Paunde,MMR008004
 Bamboo,1114,7821,8935,Paunde,MMR008004
 Hut 2 - 3 years,170,645,815,Paunde,MMR008004
 Hut 1 year,20,247,267,Paunde,MMR008004
 Other,106,55,161,Paunde,MMR008004
 Total,6481,30219,36700,Paunde,MMR008004
 Condominium/Apartment/Flat,49,565,614,Thegon,MMR008005
 Bungalow/Brick house,232,579,811,Thegon,MMR008005
 Semi-pacca house,627,1355,1982,Thegon,MMR008005
 Wooden house,2523,21532,24055,Thegon,MMR008005
 Bamboo,724,6378,7102,Thegon,MMR008005
 Hut 2 - 3 years,67,751,818,Thegon,MMR008005
 Hut 1 year,20,440,460,Thegon,MMR008005
 Other,24,84,108,Thegon,MMR008005
 Total,4266,31684,35950,Thegon,MMR008005
 Condominium/Apartment/Flat,50,722,772,Shwedaung,MMR008006
 Bungalow/Brick house,410,219,629,Shwedaung,MMR008006
 Semi-pacca house,615,757,1372,Shwedaung,MMR008006
 Wooden house,1912,19154,21066,Shwedaung,MMR008006
 Bamboo,1357,6838,8195,Shwedaung,MMR008006
 Hut 2 - 3 years,126,888,1014,Shwedaung,MMR008006
 Hut 1 year,35,373,408,Shwedaung,MMR008006
 Other,13,95,108,Shwedaung,MMR008006
 Total,4518,29046,33564,Shwedaung,MMR008006
 Condominium/Apartment/Flat,130,84,214,Tharyarwaddy,MMR008007
 Bungalow/Brick house,707,199,906,Tharyarwaddy,MMR008007
 Semi-pacca house,1084,1113,2197,Tharyarwaddy,MMR008007
 Wooden house,4335,15847,20182,Tharyarwaddy,MMR008007
 Bamboo,1831,10694,12525,Tharyarwaddy,MMR008007
 Hut 2 - 3 years,20,280,300,Tharyarwaddy,MMR008007
 Hut 1 year,36,212,248,Tharyarwaddy,MMR008007
 Other,21,33,54,Tharyarwaddy,MMR008007
 Total,8164,28462,36626,Tharyarwaddy,MMR008007
 Condominium/Apartment/Flat,58,12,70,Letpadan,MMR008008
 Bungalow/Brick house,478,284,762,Letpadan,MMR008008
 Semi-pacca house,631,1110,1741,Letpadan,MMR008008
 Wooden house,3077,17995,21072,Letpadan,MMR008008
 Bamboo,1249,17633,18882,Letpadan,MMR008008
 Hut 2 - 3 years,82,368,450,Letpadan,MMR008008
 Hut 1 year,86,251,337,Letpadan,MMR008008
 Other,74,96,170,Letpadan,MMR008008
 Total,5735,37749,43484,Letpadan,MMR008008
 Condominium/Apartment/Flat,53,149,202,Minhla,MMR009013
 Bungalow/Brick house,282,293,575,Minhla,MMR009013
 Semi-pacca house,394,1247,1641,Minhla,MMR009013
 Wooden house,1652,18405,20057,Minhla,MMR009013
 Bamboo,297,7665,7962,Minhla,MMR009013
 Hut 2 - 3 years,8,139,147,Minhla,MMR009013
 Hut 1 year,9,214,223,Minhla,MMR009013
 Other,7,80,87,Minhla,MMR009013
 Total,2702,28192,30894,Minhla,MMR009013
 Condominium/Apartment/Flat,18,160,178,Okpo,MMR008010
 Bungalow/Brick house,261,334,595,Okpo,MMR008010
 Semi-pacca house,219,1389,1608,Okpo,MMR008010
 Wooden house,1860,18577,20437,Okpo,MMR008010
 Bamboo,435,8255,8690,Okpo,MMR008010
 Hut 2 - 3 years,1,220,221,Okpo,MMR008010
 Hut 1 year,5,131,136,Okpo,MMR008010
 Other,1,28,29,Okpo,MMR008010
 Total,2800,29094,31894,Okpo,MMR008010
 Condominium/Apartment/Flat,26,2,28,Zigon,MMR008011
 Bungalow/Brick house,199,62,261,Zigon,MMR008011
 Semi-pacca house,439,324,763,Zigon,MMR008011
 Wooden house,2513,9648,12161,Zigon,MMR008011
 Bamboo,758,3736,4494,Zigon,MMR008011
 Hut 2 - 3 years,16,313,329,Zigon,MMR008011
 Hut 1 year,12,140,152,Zigon,MMR008011
 Other,4,18,22,Zigon,MMR008011
 Total,3967,14243,18210,Zigon,MMR008011
 Condominium/Apartment/Flat,74,36,110,Nattalin,MMR008012
 Bungalow/Brick house,538,328,866,Nattalin,MMR008012
 Semi-pacca house,374,1039,1413,Nattalin,MMR008012
 Wooden house,2774,26758,29532,Nattalin,MMR008012
 Bamboo,842,12307,13149,Nattalin,MMR008012
 Hut 2 - 3 years,21,391,412,Nattalin,MMR008012
 Hut 1 year,5,229,234,Nattalin,MMR008012
 Other,14,39,53,Nattalin,MMR008012
 Total,4642,41127,45769,Nattalin,MMR008012
 Condominium/Apartment/Flat,31,10,41,Monyo,MMR008013
 Bungalow/Brick house,140,106,246,Monyo,MMR008013
 Semi-pacca house,135,554,689,Monyo,MMR008013
 Wooden house,1328,14323,15651,Monyo,MMR008013
 Bamboo,738,15310,16048,Monyo,MMR008013
 Hut 2 - 3 years,3,286,289,Monyo,MMR008013
 Hut 1 year,2,305,307,Monyo,MMR008013
 Other,3,13,16,Monyo,MMR008013
 Total,2380,30907,33287,Monyo,MMR008013
 Condominium/Apartment/Flat,66,13,79,Gyobingauk,MMR008014
 Bungalow/Brick house,588,128,716,Gyobingauk,MMR008014
 Semi-pacca house,568,523,1091,Gyobingauk,MMR008014
 Wooden house,3610,17538,21148,Gyobingauk,MMR008014
 Bamboo,683,6011,6694,Gyobingauk,MMR008014
 Hut 2 - 3 years,42,391,433,Gyobingauk,MMR008014
 Hut 1 year,12,371,383,Gyobingauk,MMR008014
 Other,15,27,42,Gyobingauk,MMR008014
 Total,5584,25002,30586,Gyobingauk,MMR008014
 Condominium/Apartment/Flat,1931,673,2604,Magway,MMR009001
 Bungalow/Brick house,4179,1950,6129,Magway,MMR009001
 Semi-pacca house,1610,1797,3407,Magway,MMR009001
 Wooden house,2032,16563,18595,Magway,MMR009001
 Bamboo,9823,26244,36067,Magway,MMR009001
 Hut 2 - 3 years,149,975,1124,Magway,MMR009001
 Hut 1 year,58,457,515,Magway,MMR009001
 Other,88,148,236,Magway,MMR009001
 Total,19870,48807,68677,Magway,MMR009001
 Condominium/Apartment/Flat,308,11,319,Yenangyoung,MMR009002
 Bungalow/Brick house,931,460,1391,Yenangyoung,MMR009002
 Semi-pacca house,674,559,1233,Yenangyoung,MMR009002
 Wooden house,1558,9147,10705,Yenangyoung,MMR009002
 Bamboo,7047,10555,17602,Yenangyoung,MMR009002
 Hut 2 - 3 years,71,619,690,Yenangyoung,MMR009002
 Hut 1 year,30,249,279,Yenangyoung,MMR009002
 Other,57,224,281,Yenangyoung,MMR009002
 Total,10676,21824,32500,Yenangyoung,MMR009002
 Condominium/Apartment/Flat,201,425,626,Chauk,MMR009003
 Bungalow/Brick house,964,1792,2756,Chauk,MMR009003
 Semi-pacca house,1016,1560,2576,Chauk,MMR009003
 Wooden house,2297,8311,10608,Chauk,MMR009003
 Bamboo,5760,20606,26366,Chauk,MMR009003
 Hut 2 - 3 years,49,816,865,Chauk,MMR009003
 Hut 1 year,28,401,429,Chauk,MMR009003
 Other,86,306,392,Chauk,MMR009003
 Total,10401,34217,44618,Chauk,MMR009003
 Condominium/Apartment/Flat,359,664,1023,Taungdwingyi,MMR009004
 Bungalow/Brick house,1105,981,2086,Taungdwingyi,MMR009004
 Semi-pacca house,683,1805,2488,Taungdwingyi,MMR009004
 Wooden house,4726,35054,39780,Taungdwingyi,MMR009004
 Bamboo,3096,11079,14175,Taungdwingyi,MMR009004
 Hut 2 - 3 years,53,367,420,Taungdwingyi,MMR009004
 Hut 1 year,11,181,192,Taungdwingyi,MMR009004
 Other,22,77,99,Taungdwingyi,MMR009004
 Total,10055,50208,60263,Taungdwingyi,MMR009004
 Condominium/Apartment/Flat,36,86,122,Myothit,MMR009005
 Bungalow/Brick house,173,477,650,Myothit,MMR009005
 Semi-pacca house,113,981,1094,Myothit,MMR009005
 Wooden house,778,21505,22283,Myothit,MMR009005
 Bamboo,629,11188,11817,Myothit,MMR009005
 Hut 2 - 3 years,11,766,777,Myothit,MMR009005
 Hut 1 year,2,116,118,Myothit,MMR009005
 Other,4,83,87,Myothit,MMR009005
 Total,1746,35202,36948,Myothit,MMR009005
 Condominium/Apartment/Flat,35,324,359,Natmauk,MMR009006
 Bungalow/Brick house,379,2544,2923,Natmauk,MMR009006
 Semi-pacca house,193,3677,3870,Natmauk,MMR009006
 Wooden house,1077,26400,27477,Natmauk,MMR009006
 Bamboo,1481,11422,12903,Natmauk,MMR009006
 Hut 2 - 3 years,2,726,728,Natmauk,MMR009006
 Hut 1 year,4,93,97,Natmauk,MMR009006
 Other,3,66,69,Natmauk,MMR009006
 Total,3174,45252,48426,Natmauk,MMR009006
 Condominium/Apartment/Flat,702,705,1407,Minbu,MMR009007
 Bungalow/Brick house,1007,681,1688,Minbu,MMR009007
 Semi-pacca house,558,854,1412,Minbu,MMR009007
 Wooden house,960,8812,9772,Minbu,MMR009007
 Bamboo,5736,22328,28064,Minbu,MMR009007
 Hut 2 - 3 years,96,698,794,Minbu,MMR009007
 Hut 1 year,65,409,474,Minbu,MMR009007
 Other,66,140,206,Minbu,MMR009007
 Total,9190,34627,43817,Minbu,MMR009007
 Condominium/Apartment/Flat,66,349,415,Pwint Phyu,MMR009008
 Bungalow/Brick house,165,714,879,Pwint Phyu,MMR009008
 Semi-pacca house,118,789,907,Pwint Phyu,MMR009008
 Wooden house,208,5400,5608,Pwint Phyu,MMR009008
 Bamboo,879,30382,31261,Pwint Phyu,MMR009008
 Hut 2 - 3 years,16,466,482,Pwint Phyu,MMR009008
 Hut 1 year,1,138,139,Pwint Phyu,MMR009008
 Other,1,72,73,Pwint Phyu,MMR009008
 Total,1454,38310,39764,Pwint Phyu,MMR009008
 Condominium/Apartment/Flat,2,374,376,Ngape,MMR009009
 Bungalow/Brick house,78,174,252,Ngape,MMR009009
 Semi-pacca house,106,251,357,Ngape,MMR009009
 Wooden house,110,4213,4323,Ngape,MMR009009
 Bamboo,678,6285,6963,Ngape,MMR009009
 Hut 2 - 3 years,1,127,128,Ngape,MMR009009
 Hut 1 year,-,49,49,Ngape,MMR009009
 Other,4,5,9,Ngape,MMR009009
 Total,979,11478,12457,Ngape,MMR009009
 Condominium/Apartment/Flat,48,444,492,Salin,MMR009010
 Bungalow/Brick house,283,867,1150,Salin,MMR009010
 Semi-pacca house,250,1265,1515,Salin,MMR009010
 Wooden house,358,15847,16205,Salin,MMR009010
 Bamboo,1840,33121,34961,Salin,MMR009010
 Hut 2 - 3 years,3,878,881,Salin,MMR009010
 Hut 1 year,-,297,297,Salin,MMR009010
 Other,4,100,104,Salin,MMR009010
 Total,2786,52819,55605,Salin,MMR009010
 Condominium/Apartment/Flat,239,38,277,Saytottara,MMR009011
 Bungalow/Brick house,41,20,61,Saytottara,MMR009011
 Semi-pacca house,109,40,149,Saytottara,MMR009011
 Wooden house,302,2253,2555,Saytottara,MMR009011
 Bamboo,779,6563,7342,Saytottara,MMR009011
 Hut 2 - 3 years,14,204,218,Saytottara,MMR009011
 Hut 1 year,19,117,136,Saytottara,MMR009011
 Other,22,20,42,Saytottara,MMR009011
 Total,1525,9255,10780,Saytottara,MMR009011
 Condominium/Apartment/Flat,95,461,556,Thayet,MMR009012
 Bungalow/Brick house,478,199,677,Thayet,MMR009012
 Semi-pacca house,772,548,1320,Thayet,MMR009012
 Wooden house,2126,12172,14298,Thayet,MMR009012
 Bamboo,1049,7467,8516,Thayet,MMR009012
 Hut 2 - 3 years,25,272,297,Thayet,MMR009012
 Hut 1 year,8,161,169,Thayet,MMR009012
 Other,10,129,139,Thayet,MMR009012
 Total,4563,21409,25972,Thayet,MMR009012
