Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Urban,795,499,1294,Kamma,MMR009015
 Rural,10486,7363,17849,Kamma,MMR009015
 Total,11281,7862,19143,Kamma,MMR009015
 Urban,1899,9726,11625,Aunglan,MMR009016
 Rural,18673,27311,45984,Aunglan,MMR009016
 Total,20572,37037,57609,Aunglan,MMR009016
 Urban,456,825,1281,Sinpaungwe`,MMR009017
 Rural,13785,13618,27403,Sinpaungwe`,MMR009017
 Total,14241,14443,28684,Sinpaungwe`,MMR009017
 Urban,5648,13421,19069,Pakokku,MMR009018
 Rural,21551,25720,47271,Pakokku,MMR009018
 Total,27199,39141,66340,Pakokku,MMR009018
 Urban,1918,2981,4899,Yesagyo,MMR009019
 Rural,25359,17074,42433,Yesagyo,MMR009019
 Total,27277,20055,47332,Yesagyo,MMR009019
 Urban,651,1150,1801,Myaing,MMR009020
 Rural,30146,21694,51840,Myaing,MMR009020
 Total,30797,22844,53641,Myaing,MMR009020
 Urban,710,991,1701,Pauk,MMR009021
 Rural,20416,16848,37264,Pauk,MMR009021
 Total,21126,17839,38965,Pauk,MMR009021
 Urban,857,1272,2129,Seikphyu,MMR009022
 Rural,10657,10641,21298,Seikphyu,MMR009022
 Total,11514,11913,23427,Seikphyu,MMR009022
 Urban,1186,2072,3258,Gangaw,MMR009023
 Rural,11642,15012,26654,Gangaw,MMR009023
 Total,12828,17084,29912,Gangaw,MMR009023
