Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Total,6958,3909,10867,Mineyu(ST),MMR016011
 Urban,1631,1043,2674,Kangyidaunt,MMR017002
 Rural,18193,22099,40292,Kangyidaunt,MMR017002
 Total,19824,23142,42966,Kangyidaunt,MMR017002
 Urban,2330,1620,3950,Kyaungon,MMR017007
 Rural,15223,22229,37452,Kyaungon,MMR017007
 Total,17553,23849,41402,Kyaungon,MMR017007
 Urban,3663,2336,5999,Kyonpyaw,MMR017005
 Rural,20431,33058,53489,Kyonpyaw,MMR017005
 Total,24094,35394,59488,Kyonpyaw,MMR017005
 Urban,1258,1283,2541,Ngaputaw,MMR017004
 Rural,11603,23232,34835,Ngaputaw,MMR017004
 Total,12861,24515,37376,Ngaputaw,MMR017004
 Urban,27028,10413,37441,Pathein,MMR017001
 Rural,12651,15944,28595,Pathein,MMR017001
 Total,39679,26357,66036,Pathein,MMR017001
 Urban,1804,962,2766,Yekyi,MMR017006
 Rural,10169,14867,25036,Yekyi,MMR017006
 Total,11973,15829,27802,Yekyi,MMR017006
 Urban,1052,688,1740,Thapaung,MMR017003
 Rural,12910,22587,35497,Thapaung,MMR017003
 Total,13962,23275,37237,Thapaung,MMR017003
 Urban,387,446,833,Ngayokaung(ST),MMR017004
 Rural,2356,7012,9368,Ngayokaung(ST),MMR017004
 Total,2743,7458,10201,Ngayokaung(ST),MMR017004
 Urban,1769,1780,3549,Hainggyikyun(ST),MMR017004
 Rural,8285,17241,25526,Hainggyikyun(ST),MMR017004
 Total,10054,19021,29075,Hainggyikyun(ST),MMR017004
 Urban,301,518,819,Shwethaungyan(ST),MMR017001
 Rural,3609,5753,9362,Shwethaungyan(ST),MMR017001
 Total,3910,6271,10181,Shwethaungyan(ST),MMR017001
 Urban,1226,1449,2675,Ngwehsaung(ST),MMR017001
 Rural,1875,4920,6795,Ngwehsaung(ST),MMR017001
 Total,3101,6369,9470,Ngwehsaung(ST),MMR017001
 Urban,2540,2057,4597,Ngathaingchaung(ST),MMR017006
 Rural,6513,11803,18316,Ngathaingchaung(ST),MMR017006
 Total,9053,13860,22913,Ngathaingchaung(ST),MMR017006
 Urban,3174,2243,5417,Kyaiklatt,MMR017025
 Rural,15286,23045,38331,Kyaiklatt,MMR017025
 Total,18460,25288,43748,Kyaiklatt,MMR017025
 Urban,2084,1482,3566,Daydaye,MMR017026
 Rural,14616,30428,45044,Daydaye,MMR017026
 Total,16700,31910,48610,Daydaye,MMR017026
 Urban,5783,4271,10054,Phyapon,MMR017023
 Rural,10888,20688,31576,Phyapon,MMR017023
 Total,16671,24959,41630,Phyapon,MMR017023
 Urban,5218,4897,10115,Bogale,MMR017024
 Rural,18323,47549,65872,Bogale,MMR017024
 Total,23541,52446,75987,Bogale,MMR017024
 Urban,360,417,777,Ahmar(ST),MMR017023
 Rural,7011,19998,27009,Ahmar(ST),MMR017023
 Total,7371,20415,27786,Ahmar(ST),MMR017023
 Urban,3522,2378,5900,Nyaungdon,MMR017021
 Rural,20685,24616,45301,Nyaungdon,MMR017021
 Total,24207,26994,51201,Nyaungdon,MMR017021
 Urban,3265,1915,5180,Danubyu,MMR017022
 Rural,14317,25300,39617,Danubyu,MMR017022
 Total,17582,27215,44797,Danubyu,MMR017022
 Urban,2487,1805,4292,Pantanaw,MMR017020
 Rural,21308,34677,55985,Pantanaw,MMR017020
 Total,23795,36482,60277,Pantanaw,MMR017020
 Urban,5837,3300,9137,Maubin,MMR017019
 Rural,24991,37676,62667,Maubin,MMR017019
 Total,30828,40976,71804,Maubin,MMR017019
 Urban,8188,4325,12513,Myaungmya,MMR017014
 Rural,23204,30455,53659,Myaungmya,MMR017014
 Total,31392,34780,66172,Myaungmya,MMR017014
 Urban,3357,1948,5305,Wakema,MMR017017
 Rural,23143,39000,62143,Wakema,MMR017017
 Total,26500,40948,67448,Wakema,MMR017017
 Urban,2130,916,3046,Einme,MMR017015
 Rural,18129,25280,43409,Einme,MMR017015
 Total,20259,26196,46455,Einme,MMR017015
 Urban,4094,3489,7583,Mawlamyinegyun,MMR017018
 Rural,20113,47190,67303,Mawlamyinegyun,MMR017018
 Total,24207,50679,74886,Mawlamyinegyun,MMR017018
 Urban,4169,3034,7203,Labutta,MMR017016
 Rural,13594,34349,47943,Labutta,MMR017016
 Total,17763,37383,55146,Labutta,MMR017016
 Urban,157,344,501,Pyinsalu(ST),MMR017016
 Rural,4543,15393,19936,Pyinsalu(ST),MMR017016
 Total,4700,15737,20437,Pyinsalu(ST),MMR017016
 Urban,3551,1755,5306,Kyangin,MMR017012
 Rural,9030,12521,21551,Kyangin,MMR017012
 Total,12581,14276,26857,Kyangin,MMR017012
 Urban,3096,2161,5257,Zalun,MMR017009
 Rural,12537,24279,36816,Zalun,MMR017009
 Total,15633,26440,42073,Zalun,MMR017009
 Urban,4050,1999,6049,Myanaung,MMR017011
 Rural,18867,35004,53871,Myanaung,MMR017011
 Total,22917,37003,59920,Myanaung,MMR017011
 Urban,445,325,770,Laymyethna,MMR017010
 Rural,8281,17193,25474,Laymyethna,MMR017010
 Total,8726,17518,26244,Laymyethna,MMR017010
 Urban,13166,6663,19829,Hinthada,MMR017008
 Rural,23788,42512,66300,Hinthada,MMR017008
 Total,36954,49175,86129,Hinthada,MMR017008
 Urban,2043,1535,3578,Ingapu,MMR017013
 Rural,16724,36927,53651,Ingapu,MMR017013
 Total,18767,38462,57229,Ingapu,MMR017013
 Urban,5997,3149,9146,Tatkon,MMR018003
 Rural,13822,28779,42601,Tatkon,MMR018003
 Total,19819,31928,51747,Tatkon,MMR018003
 Urban,7450,796,8246,Zeyarthiri,MMR018001
 Rural,9268,8561,17829,Zeyarthiri,MMR018001
 Total,16718,9357,26075,Zeyarthiri,MMR018001
 Urban,3280,1615,4895,Ottarathiri,MMR018008
 Rural,5019,8747,13766,Ottarathiri,MMR018008
 Total,8299,10362,18661,Ottarathiri,MMR018008
 Urban,7446,2802,10248,Pobbathiri,MMR018005
 Rural,6988,10380,17368,Pobbathiri,MMR018005
 Total,14434,13182,27616,Pobbathiri,MMR018005
 Urban,11484,2972,14456,Pyinmana,MMR018006
 Rural,12654,12553,25207,Pyinmana,MMR018006
 Total,24138,15525,39663,Pyinmana,MMR018006
 Urban,4369,1754,6123,Lewe,MMR018007
 Rural,20633,38418,59051,Lewe,MMR018007
 Total,25002,40172,65174,Lewe,MMR018007
 Urban,20649,4073,24722,Zabuthiri,MMR018002
 Rural,696,902,1598,Zabuthiri,MMR018002
 Total,21345,4975,26320,Zabuthiri,MMR018002
 Urban,712,196,908,Dekkhinathiri,MMR018004
 Rural,1991,4098,6089,Dekkhinathiri,MMR018004
 Total,2703,4294,6997,Dekkhinathiri,MMR018004
 Urban,2311115,738318,3049433,Dekkhinathiri,MMR018004
 Rural,3071875,4756524,7828399,Dekkhinathiri,MMR018004
 Total,5382990,5494842,10877832,Dekkhinathiri,MMR018004
