Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total,Township,MIMU_code
 Urban,631,4268,4899,Yesagyo,MMR009019
 Rural,1660,40773,42433,Yesagyo,MMR009019
 Total,2291,45041,47332,Yesagyo,MMR009019
 Urban,355,1446,1801,Myaing,MMR009020
 Rural,1299,50541,51840,Myaing,MMR009020
 Total,1654,51987,53641,Myaing,MMR009020
 Urban,168,1533,1701,Pauk,MMR009021
 Rural,323,36941,37264,Pauk,MMR009021
 Total,491,38474,38965,Pauk,MMR009021
 Urban,158,1971,2129,Seikphyu,MMR009022
 Rural,163,21135,21298,Seikphyu,MMR009022
 Total,321,23106,23427,Seikphyu,MMR009022
 Urban,627,2631,3258,Gangaw,MMR009023
 Rural,1172,25482,26654,Gangaw,MMR009023
 Total,1799,28113,29912,Gangaw,MMR009023
 Urban,32,1091,1123,Htilin,MMR009024
 Rural,52,9357,9409,Htilin,MMR009024
 Total,84,10448,10532,Htilin,MMR009024
 Urban,44,1217,1261,Saw,MMR009025
 Rural,23,7041,7064,Saw,MMR009025
 Total,67,8258,8325,Saw,MMR009025
